Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
텨라,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,1.0,False
동시호가 억 머야 블록딜,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,1.0,False
과태료내고 자사주소각 안하겠네,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,1.0,False
일몰기한 년 배당분리과세 법안이,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,1.0,False
뭔가 착각을 단단히 하고 있는,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,1.0,False
과태료 천이면 앞으로 이사진 연봉 천만큼 더,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,0.9936144001447991,False
상법 개정 너무 실망스럽네,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,0.9531103765032255,False
개태원이는 비됴 테이프나 만들어라,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,1.0,False
민주당 정신 못 차렸네,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,1.0,False
자사주소의무화 법안 어길시 개인 과태료,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,0.7869586537734276,False
자사주 소각 및 배당분리과세 SK지주,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,0.9027551283980647,True
자사주소각의무화 확정,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,1.0,False
저거 저,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,1.0,False
이런 뉴스에도 왜 안 뜨죠,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,1.0,False
복상사 기원글 누가 지웠누,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,0.7842404328030074,False
년간 적정가,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,1.0,False
전과범 지 배때기 불릴 생각만 한다,0,0_오늘_자사주_코스피_전과범,"['오늘', '자사주', '코스피', '전과범', '개잡주', '한다', '주식은', '최가', '최태원', '외인']","['자사주 소각 및 배당분리과세 SK지주', '최가 오늘 복상사 가능할까요', '자사주 소각 의무화 되어야 한다']",오늘 - 자사주 - 코스피 - 전과범 - 개잡주 - 한다 - 주식은 - 최가 - 최태원 - 외인,1.0,False
개태원의 SK 그룹주,1,1_sk_pbr_per_수급,"['sk', 'pbr', 'per', '수급', '전망', '글에', '개태원의', '공장', 'sk는', 'sk이노']","['SK 년 PER', 'SK', 'Sk']",sk - pbr - per - 수급 - 전망 - 글에 - 개태원의 - 공장 - sk는 - sk이노,1.0,False
