Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
만원까지 수직하할할듯함,0,0_내가_그냥_만원까지_서시요,"['내가', '그냥', '만원까지', '서시요', '잠수함', '이런', '줄을', '한국', '주가', '거래량봐라']","['한화가 잠수함 수주 한다고 캐나다 대서 특필', '내가 이 그지 사서 진짜 달동안 한푼도 못먹음', '내가 한국 주식시장이 더럽다는 이유']",내가 - 그냥 - 만원까지 - 서시요 - 잠수함 - 이런 - 줄을 - 한국 - 주가 - 거래량봐라,0.8621982097422753,False
이창용은 문재인이 임명함,-1,-1_한화_역시_지주사_시난,"['한화', '역시', '지주사', '시난', '지수', '누르기', '진짜', 'aue에서', 'cj로', 'nxt']","['한화 HD현대 LS 두산 연결 지배지', '두산대비 저평가 지주사 한화', '한화 UAE 에지 두바이 에어쇼서 방산 협력']",한화 - 역시 - 지주사 - 시난 - 지수 - 누르기 - 진짜 - aue에서 - cj로 - nxt,0.0,False
nxt 올라봐야 소용없다,-1,-1_한화_역시_지주사_시난,"['한화', '역시', '지주사', '시난', '지수', '누르기', '진짜', 'aue에서', 'cj로', 'nxt']","['한화 HD현대 LS 두산 연결 지배지', '두산대비 저평가 지주사 한화', '한화 UAE 에지 두바이 에어쇼서 방산 협력']",한화 - 역시 - 지주사 - 시난 - 지수 - 누르기 - 진짜 - aue에서 - cj로 - nxt,0.0,False
하루종일 거래량보다 동시 호과 거래가 많냐,0,0_내가_그냥_만원까지_서시요,"['내가', '그냥', '만원까지', '서시요', '잠수함', '이런', '줄을', '한국', '주가', '거래량봐라']","['한화가 잠수함 수주 한다고 캐나다 대서 특필', '내가 이 그지 사서 진짜 달동안 한푼도 못먹음', '내가 한국 주식시장이 더럽다는 이유']",내가 - 그냥 - 만원까지 - 서시요 - 잠수함 - 이런 - 줄을 - 한국 - 주가 - 거래량봐라,0.8928765921040985,False
동시호가 헐값 주고받기,0,0_내가_그냥_만원까지_서시요,"['내가', '그냥', '만원까지', '서시요', '잠수함', '이런', '줄을', '한국', '주가', '거래량봐라']","['한화가 잠수함 수주 한다고 캐나다 대서 특필', '내가 이 그지 사서 진짜 달동안 한푼도 못먹음', '내가 한국 주식시장이 더럽다는 이유']",내가 - 그냥 - 만원까지 - 서시요 - 잠수함 - 이런 - 줄을 - 한국 - 주가 - 거래량봐라,0.8251672765014683,False
동호가,1,1_주식_한화_하한가_믿음,"['주식', '한화', '하한가', '믿음', '가나요', 'cb', '결심', '계좌녹이는', '기사', '눈에는']","['하한가 가나요', '한화 주가 눌림에 대한 비판적 분석', '믿음 신뢰 없는 주식']",주식 - 한화 - 하한가 - 믿음 - 가나요 - cb - 결심 - 계좌녹이는 - 기사 - 눈에는,1.0,False
망했구먼,-1,-1_한화_역시_지주사_시난,"['한화', '역시', '지주사', '시난', '지수', '누르기', '진짜', 'aue에서', 'cj로', 'nxt']","['한화 HD현대 LS 두산 연결 지배지', '두산대비 저평가 지주사 한화', '한화 UAE 에지 두바이 에어쇼서 방산 협력']",한화 - 역시 - 지주사 - 시난 - 지수 - 누르기 - 진짜 - aue에서 - cj로 - nxt,0.0,False
두산보다 못한,1,1_주식_한화_하한가_믿음,"['주식', '한화', '하한가', '믿음', '가나요', 'cb', '결심', '계좌녹이는', '기사', '눈에는']","['하한가 가나요', '한화 주가 눌림에 대한 비판적 분석', '믿음 신뢰 없는 주식']",주식 - 한화 - 하한가 - 믿음 - 가나요 - cb - 결심 - 계좌녹이는 - 기사 - 눈에는,0.8200912134015508,False
배당을 별도기준으로 주면 답이 없다,-1,-1_한화_역시_지주사_시난,"['한화', '역시', '지주사', '시난', '지수', '누르기', '진짜', 'aue에서', 'cj로', 'nxt']","['한화 HD현대 LS 두산 연결 지배지', '두산대비 저평가 지주사 한화', '한화 UAE 에지 두바이 에어쇼서 방산 협력']",한화 - 역시 - 지주사 - 시난 - 지수 - 누르기 - 진짜 - aue에서 - cj로 - nxt,0.0,False
화나,-1,-1_한화_역시_지주사_시난,"['한화', '역시', '지주사', '시난', '지수', '누르기', '진짜', 'aue에서', 'cj로', 'nxt']","['한화 HD현대 LS 두산 연결 지배지', '두산대비 저평가 지주사 한화', '한화 UAE 에지 두바이 에어쇼서 방산 협력']",한화 - 역시 - 지주사 - 시난 - 지수 - 누르기 - 진짜 - aue에서 - cj로 - nxt,0.0,False
계엄령 연상케한 한화생명 주총 주주 출입 가,0,0_내가_그냥_만원까지_서시요,"['내가', '그냥', '만원까지', '서시요', '잠수함', '이런', '줄을', '한국', '주가', '거래량봐라']","['한화가 잠수함 수주 한다고 캐나다 대서 특필', '내가 이 그지 사서 진짜 달동안 한푼도 못먹음', '내가 한국 주식시장이 더럽다는 이유']",내가 - 그냥 - 만원까지 - 서시요 - 잠수함 - 이런 - 줄을 - 한국 - 주가 - 거래량봐라,1.0,False
이거 존버해야 되는데 배당금은 얼마나오나요,-1,-1_한화_역시_지주사_시난,"['한화', '역시', '지주사', '시난', '지수', '누르기', '진짜', 'aue에서', 'cj로', 'nxt']","['한화 HD현대 LS 두산 연결 지배지', '두산대비 저평가 지주사 한화', '한화 UAE 에지 두바이 에어쇼서 방산 협력']",한화 - 역시 - 지주사 - 시난 - 지수 - 누르기 - 진짜 - aue에서 - cj로 - nxt,0.0,False
모아가시면 됩니다,0,0_내가_그냥_만원까지_서시요,"['내가', '그냥', '만원까지', '서시요', '잠수함', '이런', '줄을', '한국', '주가', '거래량봐라']","['한화가 잠수함 수주 한다고 캐나다 대서 특필', '내가 이 그지 사서 진짜 달동안 한푼도 못먹음', '내가 한국 주식시장이 더럽다는 이유']",내가 - 그냥 - 만원까지 - 서시요 - 잠수함 - 이런 - 줄을 - 한국 - 주가 - 거래량봐라,0.8224293468624612,False
이 sheep swag 들 이래놓고 또 만,1,1_주식_한화_하한가_믿음,"['주식', '한화', '하한가', '믿음', '가나요', 'cb', '결심', '계좌녹이는', '기사', '눈에는']","['하한가 가나요', '한화 주가 눌림에 대한 비판적 분석', '믿음 신뢰 없는 주식']",주식 - 한화 - 하한가 - 믿음 - 가나요 - cb - 결심 - 계좌녹이는 - 기사 - 눈에는,1.0,False
