Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
막판에 으로 만들기 위해 만주 이상 동,-1,-1_넷마블_게임_칠대죄_월봉,"['넷마블', '게임', '칠대죄', '월봉', '가즈아', '사전등록', '얼마나', '분기', '오늘도', '오리진']","['넷마블 월봉 위로 일 선이 떠 있다 내린다', '넷마블 엔씨', '넷마블']",넷마블 - 게임 - 칠대죄 - 월봉 - 가즈아 - 사전등록 - 얼마나 - 분기 - 오늘도 - 오리진,0.0,False
기관 외인 블랙리스트로 낙인 찍히면,0,0_오늘_이게_올해_많이,"['오늘', '이게', '올해', '많이', '없는데', '있는', '일선', '찍고', '아이온', '공매도']","['올해 최고 K게임은 넥슨 마비노기 모바일', '오늘 하락으로서 당분간은 지지부진할 예정', '결전 참여 하려면 오늘 버텨야 하는 날 이구나']",오늘 - 이게 - 올해 - 많이 - 없는데 - 있는 - 일선 - 찍고 - 아이온 - 공매도,1.0,False
어라이즈 스팀순위 위,0,0_오늘_이게_올해_많이,"['오늘', '이게', '올해', '많이', '없는데', '있는', '일선', '찍고', '아이온', '공매도']","['올해 최고 K게임은 넥슨 마비노기 모바일', '오늘 하락으로서 당분간은 지지부진할 예정', '결전 참여 하려면 오늘 버텨야 하는 날 이구나']",오늘 - 이게 - 올해 - 많이 - 없는데 - 있는 - 일선 - 찍고 - 아이온 - 공매도,0.9185500150473049,False
겁나 찍어누르네,0,0_오늘_이게_올해_많이,"['오늘', '이게', '올해', '많이', '없는데', '있는', '일선', '찍고', '아이온', '공매도']","['올해 최고 K게임은 넥슨 마비노기 모바일', '오늘 하락으로서 당분간은 지지부진할 예정', '결전 참여 하려면 오늘 버텨야 하는 날 이구나']",오늘 - 이게 - 올해 - 많이 - 없는데 - 있는 - 일선 - 찍고 - 아이온 - 공매도,0.904938974960342,False
개월짜리 시레기게임,-1,-1_넷마블_게임_칠대죄_월봉,"['넷마블', '게임', '칠대죄', '월봉', '가즈아', '사전등록', '얼마나', '분기', '오늘도', '오리진']","['넷마블 월봉 위로 일 선이 떠 있다 내린다', '넷마블 엔씨', '넷마블']",넷마블 - 게임 - 칠대죄 - 월봉 - 가즈아 - 사전등록 - 얼마나 - 분기 - 오늘도 - 오리진,0.0,False
언제 만 가노,0,0_오늘_이게_올해_많이,"['오늘', '이게', '올해', '많이', '없는데', '있는', '일선', '찍고', '아이온', '공매도']","['올해 최고 K게임은 넥슨 마비노기 모바일', '오늘 하락으로서 당분간은 지지부진할 예정', '결전 참여 하려면 오늘 버텨야 하는 날 이구나']",오늘 - 이게 - 올해 - 많이 - 없는데 - 있는 - 일선 - 찍고 - 아이온 - 공매도,0.9446053199713368,False
엔씨 이상 상승,1,1_엔씨_영차_개노답주_계단식,"['엔씨', '영차', '개노답주', '계단식', '난제네', '기대한다', '끝났고', '나락가는구나', '뉴비입니다', '너무좋아']","['엔씨 반등했다', '엔씨 이상 상승', '엔씨 보니 넷마블이 선녀다']",엔씨 - 영차 - 개노답주 - 계단식 - 난제네 - 기대한다 - 끝났고 - 나락가는구나 - 뉴비입니다 - 너무좋아,0.9966750621604074,True
투자할거면 어디내놔도,0,0_오늘_이게_올해_많이,"['오늘', '이게', '올해', '많이', '없는데', '있는', '일선', '찍고', '아이온', '공매도']","['올해 최고 K게임은 넥슨 마비노기 모바일', '오늘 하락으로서 당분간은 지지부진할 예정', '결전 참여 하려면 오늘 버텨야 하는 날 이구나']",오늘 - 이게 - 올해 - 많이 - 없는데 - 있는 - 일선 - 찍고 - 아이온 - 공매도,1.0,False
이제,1,1_엔씨_영차_개노답주_계단식,"['엔씨', '영차', '개노답주', '계단식', '난제네', '기대한다', '끝났고', '나락가는구나', '뉴비입니다', '너무좋아']","['엔씨 반등했다', '엔씨 이상 상승', '엔씨 보니 넷마블이 선녀다']",엔씨 - 영차 - 개노답주 - 계단식 - 난제네 - 기대한다 - 끝났고 - 나락가는구나 - 뉴비입니다 - 너무좋아,0.9418916825095239,False
뉴스는 호재거리만 올라오는데,-1,-1_넷마블_게임_칠대죄_월봉,"['넷마블', '게임', '칠대죄', '월봉', '가즈아', '사전등록', '얼마나', '분기', '오늘도', '오리진']","['넷마블 월봉 위로 일 선이 떠 있다 내린다', '넷마블 엔씨', '넷마블']",넷마블 - 게임 - 칠대죄 - 월봉 - 가즈아 - 사전등록 - 얼마나 - 분기 - 오늘도 - 오리진,0.0,False
광고비만 줄여도 좀 영업이익좀 날텐데,-1,-1_넷마블_게임_칠대죄_월봉,"['넷마블', '게임', '칠대죄', '월봉', '가즈아', '사전등록', '얼마나', '분기', '오늘도', '오리진']","['넷마블 월봉 위로 일 선이 떠 있다 내린다', '넷마블 엔씨', '넷마블']",넷마블 - 게임 - 칠대죄 - 월봉 - 가즈아 - 사전등록 - 얼마나 - 분기 - 오늘도 - 오리진,0.0,False
물을 타도 가능성 있는 회사에 물타야죠,0,0_오늘_이게_올해_많이,"['오늘', '이게', '올해', '많이', '없는데', '있는', '일선', '찍고', '아이온', '공매도']","['올해 최고 K게임은 넥슨 마비노기 모바일', '오늘 하락으로서 당분간은 지지부진할 예정', '결전 참여 하려면 오늘 버텨야 하는 날 이구나']",오늘 - 이게 - 올해 - 많이 - 없는데 - 있는 - 일선 - 찍고 - 아이온 - 공매도,1.0,False
자사주소각과 배당이 기대됨,-1,-1_넷마블_게임_칠대죄_월봉,"['넷마블', '게임', '칠대죄', '월봉', '가즈아', '사전등록', '얼마나', '분기', '오늘도', '오리진']","['넷마블 월봉 위로 일 선이 떠 있다 내린다', '넷마블 엔씨', '넷마블']",넷마블 - 게임 - 칠대죄 - 월봉 - 가즈아 - 사전등록 - 얼마나 - 분기 - 오늘도 - 오리진,0.0,False
오늘 쌍바닥 찍은거야 아닌거야,0,0_오늘_이게_올해_많이,"['오늘', '이게', '올해', '많이', '없는데', '있는', '일선', '찍고', '아이온', '공매도']","['올해 최고 K게임은 넥슨 마비노기 모바일', '오늘 하락으로서 당분간은 지지부진할 예정', '결전 참여 하려면 오늘 버텨야 하는 날 이구나']",오늘 - 이게 - 올해 - 많이 - 없는데 - 있는 - 일선 - 찍고 - 아이온 - 공매도,1.0,False
뱀피르가즈아,-1,-1_넷마블_게임_칠대죄_월봉,"['넷마블', '게임', '칠대죄', '월봉', '가즈아', '사전등록', '얼마나', '분기', '오늘도', '오리진']","['넷마블 월봉 위로 일 선이 떠 있다 내린다', '넷마블 엔씨', '넷마블']",넷마블 - 게임 - 칠대죄 - 월봉 - 가즈아 - 사전등록 - 얼마나 - 분기 - 오늘도 - 오리진,0.0,False
엔씨오르넹,1,1_엔씨_영차_개노답주_계단식,"['엔씨', '영차', '개노답주', '계단식', '난제네', '기대한다', '끝났고', '나락가는구나', '뉴비입니다', '너무좋아']","['엔씨 반등했다', '엔씨 이상 상승', '엔씨 보니 넷마블이 선녀다']",엔씨 - 영차 - 개노답주 - 계단식 - 난제네 - 기대한다 - 끝났고 - 나락가는구나 - 뉴비입니다 - 너무좋아,1.0,False
