Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
또또 개인만 팔았네,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
대세는 에이피알,3,3_무슴_꿀임_대세는_개똥으로,"['무슴', '꿀임', '대세는', '개똥으로', '이상', '오눌', '아는', '서경배', '반대로', '무슴아']","['무슴 저사람', '주주들을 개똥으로 아는 서경배', '무반꿀 무슴 반대로 하면 꿀임']",무슴 - 꿀임 - 대세는 - 개똥으로 - 이상 - 오눌 - 아는 - 서경배 - 반대로 - 무슴아,1.0,False
누누히 말하지만 아무네 퍼시픽 사지,0,0_연기금_할망구_세력들_보고,"['연기금', '할망구', '세력들', '보고', '일본', '떨어져', '오늘', '코스피', 'vi', '가격이라면']","['연기금 깆고 코스피 장사하나', '오늘 종가 보고 기분 좋은 가격이라면', '일본 여자 할망구 다까였지 사나이']",연기금 - 할망구 - 세력들 - 보고 - 일본 - 떨어져 - 오늘 - 코스피 - vi - 가격이라면,0.8700443837477619,False
수급이 의외네,1,1_것이_공듀의전언_관련주_당나라,"['것이', '공듀의전언', '관련주', '당나라', '매각', '매도로', '프로그램', '미선물', '반전기대', '변경점']","['낼 프로그램 매도로 하락함', '자산 매각 실적개선 한일령', '프리장에서 터는 것이 손실 최소화 하는 길']",것이 - 공듀의전언 - 관련주 - 당나라 - 매각 - 매도로 - 프로그램 - 미선물 - 반전기대 - 변경점,0.9794684541710938,False
동시호가 마지막까지 장난질,0,0_연기금_할망구_세력들_보고,"['연기금', '할망구', '세력들', '보고', '일본', '떨어져', '오늘', '코스피', 'vi', '가격이라면']","['연기금 깆고 코스피 장사하나', '오늘 종가 보고 기분 좋은 가격이라면', '일본 여자 할망구 다까였지 사나이']",연기금 - 할망구 - 세력들 - 보고 - 일본 - 떨어져 - 오늘 - 코스피 - vi - 가격이라면,0.7280998912688369,False
추가 매수 시작,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
시 분,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
쌍으로 죽이려,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
망했따따땨,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
그래 더 매수하라는 뜻으로 생각하고,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
아직도 매도 안하고,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
약점이던 대중의존도가 떨어지면서 실적,0,0_연기금_할망구_세력들_보고,"['연기금', '할망구', '세력들', '보고', '일본', '떨어져', '오늘', '코스피', 'vi', '가격이라면']","['연기금 깆고 코스피 장사하나', '오늘 종가 보고 기분 좋은 가격이라면', '일본 여자 할망구 다까였지 사나이']",연기금 - 할망구 - 세력들 - 보고 - 일본 - 떨어져 - 오늘 - 코스피 - vi - 가격이라면,0.9193160887551094,False
낼 프로그램 매도로 하락함,1,1_것이_공듀의전언_관련주_당나라,"['것이', '공듀의전언', '관련주', '당나라', '매각', '매도로', '프로그램', '미선물', '반전기대', '변경점']","['낼 프로그램 매도로 하락함', '자산 매각 실적개선 한일령', '프리장에서 터는 것이 손실 최소화 하는 길']",것이 - 공듀의전언 - 관련주 - 당나라 - 매각 - 매도로 - 프로그램 - 미선물 - 반전기대 - 변경점,0.9346816912384484,True
일단,3,3_무슴_꿀임_대세는_개똥으로,"['무슴', '꿀임', '대세는', '개똥으로', '이상', '오눌', '아는', '서경배', '반대로', '무슴아']","['무슴 저사람', '주주들을 개똥으로 아는 서경배', '무반꿀 무슴 반대로 하면 꿀임']",무슴 - 꿀임 - 대세는 - 개똥으로 - 이상 - 오눌 - 아는 - 서경배 - 반대로 - 무슴아,1.0,False
지금 매집 세력들 플러스 만들기는 힘,0,0_연기금_할망구_세력들_보고,"['연기금', '할망구', '세력들', '보고', '일본', '떨어져', '오늘', '코스피', 'vi', '가격이라면']","['연기금 깆고 코스피 장사하나', '오늘 종가 보고 기분 좋은 가격이라면', '일본 여자 할망구 다까였지 사나이']",연기금 - 할망구 - 세력들 - 보고 - 일본 - 떨어져 - 오늘 - 코스피 - vi - 가격이라면,0.8764075858970826,False
지속 하락 예상,1,1_것이_공듀의전언_관련주_당나라,"['것이', '공듀의전언', '관련주', '당나라', '매각', '매도로', '프로그램', '미선물', '반전기대', '변경점']","['낼 프로그램 매도로 하락함', '자산 매각 실적개선 한일령', '프리장에서 터는 것이 손실 최소화 하는 길']",것이 - 공듀의전언 - 관련주 - 당나라 - 매각 - 매도로 - 프로그램 - 미선물 - 반전기대 - 변경점,1.0,False
누군가 자꾸 매집을 하고 있다,2,2_너무_적당히_웃기다_누군가,"['너무', '적당히', '웃기다', '누군가', '게시판', '그모지', '나스닥', '넥스트', '닉네쓰는애나와봐', '담주']","['게시판 너무 웃기다', '앞서 누군가 말하기를 오늘 미장 박살', '진짜 여기 애들보면 너무 웃기다']",너무 - 적당히 - 웃기다 - 누군가 - 게시판 - 그모지 - 나스닥 - 넥스트 - 닉네쓰는애나와봐 - 담주,0.9547770939948858,False
세상에서 제일 웃긴 말,2,2_너무_적당히_웃기다_누군가,"['너무', '적당히', '웃기다', '누군가', '게시판', '그모지', '나스닥', '넥스트', '닉네쓰는애나와봐', '담주']","['게시판 너무 웃기다', '앞서 누군가 말하기를 오늘 미장 박살', '진짜 여기 애들보면 너무 웃기다']",너무 - 적당히 - 웃기다 - 누군가 - 게시판 - 그모지 - 나스닥 - 넥스트 - 닉네쓰는애나와봐 - 담주,1.0,False
그모지 상한가 닉네쓰는애나와봐,2,2_너무_적당히_웃기다_누군가,"['너무', '적당히', '웃기다', '누군가', '게시판', '그모지', '나스닥', '넥스트', '닉네쓰는애나와봐', '담주']","['게시판 너무 웃기다', '앞서 누군가 말하기를 오늘 미장 박살', '진짜 여기 애들보면 너무 웃기다']",너무 - 적당히 - 웃기다 - 누군가 - 게시판 - 그모지 - 나스닥 - 넥스트 - 닉네쓰는애나와봐 - 담주,1.0,False
아모레는 이제 은퇴할때 된듯하네,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
니네 연기금 팔기시작하면 나락인거알제,0,0_연기금_할망구_세력들_보고,"['연기금', '할망구', '세력들', '보고', '일본', '떨어져', '오늘', '코스피', 'vi', '가격이라면']","['연기금 깆고 코스피 장사하나', '오늘 종가 보고 기분 좋은 가격이라면', '일본 여자 할망구 다까였지 사나이']",연기금 - 할망구 - 세력들 - 보고 - 일본 - 떨어져 - 오늘 - 코스피 - vi - 가격이라면,1.0,False
갱배야 니가 사람이가,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
화장품 대장주 에이피알로 빨리들 오세요,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
진짜 여기 애들보면 너무 웃기다,2,2_너무_적당히_웃기다_누군가,"['너무', '적당히', '웃기다', '누군가', '게시판', '그모지', '나스닥', '넥스트', '닉네쓰는애나와봐', '담주']","['게시판 너무 웃기다', '앞서 누군가 말하기를 오늘 미장 박살', '진짜 여기 애들보면 너무 웃기다']",너무 - 적당히 - 웃기다 - 누군가 - 게시판 - 그모지 - 나스닥 - 넥스트 - 닉네쓰는애나와봐 - 담주,1.0,True
삼성에서 목표주가 원씩이나 올려줬네,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
이번주 터치 한번 하고,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
역시,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
화장품섹터 대장주 아모레퍼시픽 아니었던가요,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
너네,-1,-1_오늘_미장이_화장품_반도체,"['오늘', '미장이', '화장품', '반도체', '에이피알', '다시', '아모레퍼시픽', '아모레', '년전', '미국']","['오늘 상', '오늘', '연기금 개미 매수기회 오늘 대장주는 화장품']",오늘 - 미장이 - 화장품 - 반도체 - 에이피알 - 다시 - 아모레퍼시픽 - 아모레 - 년전 - 미국,0.0,False
온갖 조작 세력들 다 튀어나오는구나,0,0_연기금_할망구_세력들_보고,"['연기금', '할망구', '세력들', '보고', '일본', '떨어져', '오늘', '코스피', 'vi', '가격이라면']","['연기금 깆고 코스피 장사하나', '오늘 종가 보고 기분 좋은 가격이라면', '일본 여자 할망구 다까였지 사나이']",연기금 - 할망구 - 세력들 - 보고 - 일본 - 떨어져 - 오늘 - 코스피 - vi - 가격이라면,0.8461787528640969,False
