Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
그림이,2,2_하나_송출_되는자리_공매상환,"['하나', '송출', '되는자리', '공매상환', '기관이', '그림이', '꼴랑', '넥스트에서도', '달성한', '누르는']","['기관이 외인 공매 상환 일조 했네', '달성한 맥쿼리 창구가 센가 주가 누르는 동조 세', '악재 하나 송출 했으니 호재 하나 송출']",하나 - 송출 - 되는자리 - 공매상환 - 기관이 - 그림이 - 꼴랑 - 넥스트에서도 - 달성한 - 누르는,1.0,False
배당,3,3_관세_증권사_맥쿼리_건설,"['관세', '증권사', '맥쿼리', '건설', '거래원', '공시내용', '기술자', '급등', 'ls증권에서', 'vs']","['증권사 정보가 맞다면 맥쿼리 넥스트 주 추매', '관세 적용 관세 완화 효과', '관세 영향력은 언론 환율수혜는 주주가 알아서']",관세 - 증권사 - 맥쿼리 - 건설 - 거래원 - 공시내용 - 기술자 - 급등 - ls증권에서 - vs,0.9921126659085743,False
와 무슨 꿍꿍일까,-1,-1_맥쿼리_로렉스찬_공매도_밥캣,"['맥쿼리', '로렉스찬', '공매도', '밥캣', '주가', '도둑을', '법대로하자', '밥캣의', '회사', '하고']","['회사 임원이 횡령도 하고 배임도 하고', '맥쿼리 등장 자체가 주가 상승과 이어지나', '밥캣의 주가는 로렉스찬 도둑의 영향력이 아직']",맥쿼리 - 로렉스찬 - 공매도 - 밥캣 - 주가 - 도둑을 - 법대로하자 - 밥캣의 - 회사 - 하고,0.0,False
이제는 공매도가 프로가 넘네,3,3_관세_증권사_맥쿼리_건설,"['관세', '증권사', '맥쿼리', '건설', '거래원', '공시내용', '기술자', '급등', 'ls증권에서', 'vs']","['증권사 정보가 맞다면 맥쿼리 넥스트 주 추매', '관세 적용 관세 완화 효과', '관세 영향력은 언론 환율수혜는 주주가 알아서']",관세 - 증권사 - 맥쿼리 - 건설 - 거래원 - 공시내용 - 기술자 - 급등 - ls증권에서 - vs,0.8205886891860363,False
이게 머지 종가에,0,0_오늘은_외인창구_계속_많이,"['오늘은', '외인창구', '계속', '많이', '지배주주', '진짜', '매도', '두산', '걸어', '거진']","['법대로는 계속 매수중 주총전 결정 나겠지', '두산 지배 주주 오늘 많이 준비했네 전 창구에서', '낼도 매도 물량 내보내면 지배주주 반칙이다']",오늘은 - 외인창구 - 계속 - 많이 - 지배주주 - 진짜 - 매도 - 두산 - 걸어 - 거진,0.898914246705077,False
이상 상승했어요,-1,-1_맥쿼리_로렉스찬_공매도_밥캣,"['맥쿼리', '로렉스찬', '공매도', '밥캣', '주가', '도둑을', '법대로하자', '밥캣의', '회사', '하고']","['회사 임원이 횡령도 하고 배임도 하고', '맥쿼리 등장 자체가 주가 상승과 이어지나', '밥캣의 주가는 로렉스찬 도둑의 영향력이 아직']",맥쿼리 - 로렉스찬 - 공매도 - 밥캣 - 주가 - 도둑을 - 법대로하자 - 밥캣의 - 회사 - 하고,0.0,False
물타고 물타고 오늘의 평단,1,1_밥캣코리아_신고_금감원_두산밥캣코리아,"['밥캣코리아', '신고', '금감원', '두산밥캣코리아', '재건', '전략', '한국', '물타고', '재건주', '진짜']","['금감원 신고 완료 개인인증 번거롭지만 완수', '밥캣코리아 기사 낼 금감원 고발 조치', '금감원 신고 절차 주가 시세조작 신고']",밥캣코리아 - 신고 - 금감원 - 두산밥캣코리아 - 재건 - 전략 - 한국 - 물타고 - 재건주 - 진짜,0.9910353346109466,False
지배주주가 외인창구 다 약쳐났어요,0,0_오늘은_외인창구_계속_많이,"['오늘은', '외인창구', '계속', '많이', '지배주주', '진짜', '매도', '두산', '걸어', '거진']","['법대로는 계속 매수중 주총전 결정 나겠지', '두산 지배 주주 오늘 많이 준비했네 전 창구에서', '낼도 매도 물량 내보내면 지배주주 반칙이다']",오늘은 - 외인창구 - 계속 - 많이 - 지배주주 - 진짜 - 매도 - 두산 - 걸어 - 거진,1.0,False
로렉스찬 도둑의 흑심은 알고 있다,-1,-1_맥쿼리_로렉스찬_공매도_밥캣,"['맥쿼리', '로렉스찬', '공매도', '밥캣', '주가', '도둑을', '법대로하자', '밥캣의', '회사', '하고']","['회사 임원이 횡령도 하고 배임도 하고', '맥쿼리 등장 자체가 주가 상승과 이어지나', '밥캣의 주가는 로렉스찬 도둑의 영향력이 아직']",맥쿼리 - 로렉스찬 - 공매도 - 밥캣 - 주가 - 도둑을 - 법대로하자 - 밥캣의 - 회사 - 하고,0.0,False
깨비 댓글들 봐라 소설쓰냐,-1,-1_맥쿼리_로렉스찬_공매도_밥캣,"['맥쿼리', '로렉스찬', '공매도', '밥캣', '주가', '도둑을', '법대로하자', '밥캣의', '회사', '하고']","['회사 임원이 횡령도 하고 배임도 하고', '맥쿼리 등장 자체가 주가 상승과 이어지나', '밥캣의 주가는 로렉스찬 도둑의 영향력이 아직']",맥쿼리 - 로렉스찬 - 공매도 - 밥캣 - 주가 - 도둑을 - 법대로하자 - 밥캣의 - 회사 - 하고,0.0,False
