Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
삼바 주 가지고 있던 사람인데,0,0_삼바_만원_오늘_에피스,"['삼바', '만원', '오늘', '에피스', '목표가', '개미', '시총', '주가', '이거', '팔아서']","['삼바 에피스 주씩 받았는데', '삼바 주 가졌는데 오늘 뭐 휴지된건가요', '삼바 주가조작 개미 피해확산 우려된']",삼바 - 만원 - 오늘 - 에피스 - 목표가 - 개미 - 시총 - 주가 - 이거 - 팔아서,0.928708164899483,False
호가,1,1_peace가_궁금합니다_기사떴다_너라도,"['peace가', '궁금합니다', '기사떴다', '너라도', '대박', '똥견', '목표가제시', '박았다', '배정수', '보기엔']","['Peace가 보기엔 오후장', '주 주 주주 보세요 흥분x', '인적분활 하여간 삼슝사기꾼']",peace가 - 궁금합니다 - 기사떴다 - 너라도 - 대박 - 똥견 - 목표가제시 - 박았다 - 배정수 - 보기엔,1.0,False
에피스 하한가 확실,0,0_삼바_만원_오늘_에피스,"['삼바', '만원', '오늘', '에피스', '목표가', '개미', '시총', '주가', '이거', '팔아서']","['삼바 에피스 주씩 받았는데', '삼바 주 가졌는데 오늘 뭐 휴지된건가요', '삼바 주가조작 개미 피해확산 우려된']",삼바 - 만원 - 오늘 - 에피스 - 목표가 - 개미 - 시총 - 주가 - 이거 - 팔아서,0.9007155957551635,False
종가 훅 빠질듯,0,0_삼바_만원_오늘_에피스,"['삼바', '만원', '오늘', '에피스', '목표가', '개미', '시총', '주가', '이거', '팔아서']","['삼바 에피스 주씩 받았는데', '삼바 주 가졌는데 오늘 뭐 휴지된건가요', '삼바 주가조작 개미 피해확산 우려된']",삼바 - 만원 - 오늘 - 에피스 - 목표가 - 개미 - 시총 - 주가 - 이거 - 팔아서,1.0,False
이하,1,1_peace가_궁금합니다_기사떴다_너라도,"['peace가', '궁금합니다', '기사떴다', '너라도', '대박', '똥견', '목표가제시', '박았다', '배정수', '보기엔']","['Peace가 보기엔 오후장', '주 주 주주 보세요 흥분x', '인적분활 하여간 삼슝사기꾼']",peace가 - 궁금합니다 - 기사떴다 - 너라도 - 대박 - 똥견 - 목표가제시 - 박았다 - 배정수 - 보기엔,0.8616824550523856,False
이거,1,1_peace가_궁금합니다_기사떴다_너라도,"['peace가', '궁금합니다', '기사떴다', '너라도', '대박', '똥견', '목표가제시', '박았다', '배정수', '보기엔']","['Peace가 보기엔 오후장', '주 주 주주 보세요 흥분x', '인적분활 하여간 삼슝사기꾼']",peace가 - 궁금합니다 - 기사떴다 - 너라도 - 대박 - 똥견 - 목표가제시 - 박았다 - 배정수 - 보기엔,0.8884452667960206,False
삼바기술력부족 차세대신약CMO계약해지,-1,-1_삼바_삼바는_에피스_긴급,"['삼바', '삼바는', '에피스', '긴급', 'cmo하청', '급락자리임', '거래정지전', '물량', '물탐', '대장이라했제']","['삼바 거래정지전 매수후 프로', '단점 시장이 안좋음 장점 트럼프 약품', '낼 삼전 하닉 음봉이고 삼바는 상향']",삼바 - 삼바는 - 에피스 - 긴급 - cmo하청 - 급락자리임 - 거래정지전 - 물량 - 물탐 - 대장이라했제,0.0,False
역대 최대 라더니 증권가도 낚인 삼바,0,0_삼바_만원_오늘_에피스,"['삼바', '만원', '오늘', '에피스', '목표가', '개미', '시총', '주가', '이거', '팔아서']","['삼바 에피스 주씩 받았는데', '삼바 주 가졌는데 오늘 뭐 휴지된건가요', '삼바 주가조작 개미 피해확산 우려된']",삼바 - 만원 - 오늘 - 에피스 - 목표가 - 개미 - 시총 - 주가 - 이거 - 팔아서,1.0,False
오늘너무대박인데,0,0_삼바_만원_오늘_에피스,"['삼바', '만원', '오늘', '에피스', '목표가', '개미', '시총', '주가', '이거', '팔아서']","['삼바 에피스 주씩 받았는데', '삼바 주 가졌는데 오늘 뭐 휴지된건가요', '삼바 주가조작 개미 피해확산 우려된']",삼바 - 만원 - 오늘 - 에피스 - 목표가 - 개미 - 시총 - 주가 - 이거 - 팔아서,0.943312925623189,False
이거 사느니 엘엔케이바이오 산다,-1,-1_삼바_삼바는_에피스_긴급,"['삼바', '삼바는', '에피스', '긴급', 'cmo하청', '급락자리임', '거래정지전', '물량', '물탐', '대장이라했제']","['삼바 거래정지전 매수후 프로', '단점 시장이 안좋음 장점 트럼프 약품', '낼 삼전 하닉 음봉이고 삼바는 상향']",삼바 - 삼바는 - 에피스 - 긴급 - cmo하청 - 급락자리임 - 거래정지전 - 물량 - 물탐 - 대장이라했제,0.0,False
만원 이하 올 때까지,0,0_삼바_만원_오늘_에피스,"['삼바', '만원', '오늘', '에피스', '목표가', '개미', '시총', '주가', '이거', '팔아서']","['삼바 에피스 주씩 받았는데', '삼바 주 가졌는데 오늘 뭐 휴지된건가요', '삼바 주가조작 개미 피해확산 우려된']",삼바 - 만원 - 오늘 - 에피스 - 목표가 - 개미 - 시총 - 주가 - 이거 - 팔아서,1.0,False
시초가는 맞췄는데 종가 만원 예상했,0,0_삼바_만원_오늘_에피스,"['삼바', '만원', '오늘', '에피스', '목표가', '개미', '시총', '주가', '이거', '팔아서']","['삼바 에피스 주씩 받았는데', '삼바 주 가졌는데 오늘 뭐 휴지된건가요', '삼바 주가조작 개미 피해확산 우려된']",삼바 - 만원 - 오늘 - 에피스 - 목표가 - 개미 - 시총 - 주가 - 이거 - 팔아서,1.0,False
