Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
하유,2,2_li_cimb_gi_lig넥스원을,"['li', 'cimb', 'gi', 'lig넥스원을', '격차', 'ning', '결의', '계속', '탈출은', '기사떴다']","['계속 얘기하고 있다', '이재명 순방의 핵심은 방산', 'NING GI LI']",li - cimb - gi - lig넥스원을 - 격차 - ning - 결의 - 계속 - 탈출은 - 기사떴다,1.0,False
중요한 것은 꺾이지 않는 마음,0,0_진짜_꺼억_따리_모지리,"['진짜', '꺼억', '따리', '모지리', '방산은', '요시님', '너희', '지금', '오늘', '내가']","['너희 들 지금 방산주 매도 치는거 알고', '인증도 안하고 꺼억 꺼억 거리네', '주 주주가 분석 글도 쓰고 참 진짜 기가 찬다']",진짜 - 꺼억 - 따리 - 모지리 - 방산은 - 요시님 - 너희 - 지금 - 오늘 - 내가,0.9716262092417466,False
먼소리냐 오늘 신용 안 털렸는데 내가,0,0_진짜_꺼억_따리_모지리,"['진짜', '꺼억', '따리', '모지리', '방산은', '요시님', '너희', '지금', '오늘', '내가']","['너희 들 지금 방산주 매도 치는거 알고', '인증도 안하고 꺼억 꺼억 거리네', '주 주주가 분석 글도 쓰고 참 진짜 기가 찬다']",진짜 - 꺼억 - 따리 - 모지리 - 방산은 - 요시님 - 너희 - 지금 - 오늘 - 내가,1.0,False
외인 기관은 자기들 손실나면서까지,-1,-1_년차_우크라_우크라이나_한에,"['년차', '우크라', '우크라이나', '한에', '진짜', '년차속보', '아침', '일본', '타임', '전쟁']","['우크라이나 전쟁 이번엔 진짜 끝날까요', '년차 한에 양봉전환', '년차 한에 물렸다']",년차 - 우크라 - 우크라이나 - 한에 - 진짜 - 년차속보 - 아침 - 일본 - 타임 - 전쟁,0.0,False
중꺽마 봐라 내말이 결국 맞았지,0,0_진짜_꺼억_따리_모지리,"['진짜', '꺼억', '따리', '모지리', '방산은', '요시님', '너희', '지금', '오늘', '내가']","['너희 들 지금 방산주 매도 치는거 알고', '인증도 안하고 꺼억 꺼억 거리네', '주 주주가 분석 글도 쓰고 참 진짜 기가 찬다']",진짜 - 꺼억 - 따리 - 모지리 - 방산은 - 요시님 - 너희 - 지금 - 오늘 - 내가,0.842366439387695,False
주식은 미련이 사람잡는곳,-1,-1_년차_우크라_우크라이나_한에,"['년차', '우크라', '우크라이나', '한에', '진짜', '년차속보', '아침', '일본', '타임', '전쟁']","['우크라이나 전쟁 이번엔 진짜 끝날까요', '년차 한에 양봉전환', '년차 한에 물렸다']",년차 - 우크라 - 우크라이나 - 한에 - 진짜 - 년차속보 - 아침 - 일본 - 타임 - 전쟁,0.0,False
NING GI LI,2,2_li_cimb_gi_lig넥스원을,"['li', 'cimb', 'gi', 'lig넥스원을', '격차', 'ning', '결의', '계속', '탈출은', '기사떴다']","['계속 얘기하고 있다', '이재명 순방의 핵심은 방산', 'NING GI LI']",li - cimb - gi - lig넥스원을 - 격차 - ning - 결의 - 계속 - 탈출은 - 기사떴다,0.9897557261864158,True
계획대로 진행중,1,1_이재명_만원_오늘_내가,"['이재명', '만원', '오늘', '내가', '개쩔었냉', '걱정된다면', '걸렸네', '것이냐', '계획대로', '공매도는']","['내가 억 산 가격 왔다 이제부터 수익이', '이재명 마지막 일정 튀르키에', '수주계약 발표는 이재명 귀국 후']",이재명 - 만원 - 오늘 - 내가 - 개쩔었냉 - 걱정된다면 - 걸렸네 - 것이냐 - 계획대로 - 공매도는,0.7788210556521152,False
다시보는 하이먼민스키 모델,-1,-1_년차_우크라_우크라이나_한에,"['년차', '우크라', '우크라이나', '한에', '진짜', '년차속보', '아침', '일본', '타임', '전쟁']","['우크라이나 전쟁 이번엔 진짜 끝날까요', '년차 한에 양봉전환', '년차 한에 물렸다']",년차 - 우크라 - 우크라이나 - 한에 - 진짜 - 년차속보 - 아침 - 일본 - 타임 - 전쟁,0.0,False
미련가지면 안돼,0,0_진짜_꺼억_따리_모지리,"['진짜', '꺼억', '따리', '모지리', '방산은', '요시님', '너희', '지금', '오늘', '내가']","['너희 들 지금 방산주 매도 치는거 알고', '인증도 안하고 꺼억 꺼억 거리네', '주 주주가 분석 글도 쓰고 참 진짜 기가 찬다']",진짜 - 꺼억 - 따리 - 모지리 - 방산은 - 요시님 - 너희 - 지금 - 오늘 - 내가,0.9305443266421934,False
