Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
올해의 주가 반등 포인트,4,4_간다_만간다_다가온다_내년,"['간다', '만간다', '다가온다', '내년', '기도하자', '기다리자', '몇일전', '만까지', '반공일은잡주반성하는날', '오르겠지']","['만까지 언제 올까요', '올해의 주가 반등 포인트', '이창용 총재 임기가 내년 월 일까지']",간다 - 만간다 - 다가온다 - 내년 - 기도하자 - 기다리자 - 몇일전 - 만까지 - 반공일은잡주반성하는날 - 오르겠지,1.0,True
이창용 총재 임기가 내년 월 일까지,4,4_간다_만간다_다가온다_내년,"['간다', '만간다', '다가온다', '내년', '기도하자', '기다리자', '몇일전', '만까지', '반공일은잡주반성하는날', '오르겠지']","['만까지 언제 올까요', '올해의 주가 반등 포인트', '이창용 총재 임기가 내년 월 일까지']",간다 - 만간다 - 다가온다 - 내년 - 기도하자 - 기다리자 - 몇일전 - 만까지 - 반공일은잡주반성하는날 - 오르겠지,1.0,True
오늘 잘버티네요 스테이블코인 이제 상승,-1,-1_골드만_카카오페이_스테이블코인_희망회로,"['골드만', '카카오페이', '스테이블코인', '희망회로', '시원하게', '너무', '하한가', '가는', '가지고있는', 'sto']","['지옥 출입문에 대기 타고 계시느라 고생이 많으세요', '박스권 상단에선 희망회로 돌더니 막상 하단오니까', '골드만']",골드만 - 카카오페이 - 스테이블코인 - 희망회로 - 시원하게 - 너무 - 하한가 - 가는 - 가지고있는 - sto,0.0,False
페이는 창용이땜시 안돼,0,0_스테이블코인_a등급_강원정선으로모여라_esg,"['스테이블코인', 'a등급', '강원정선으로모여라', 'esg', '개미귀신', '개미흡혈귀', '개잡주', '개가', '경마', '고름']","['ESG 평가 A등급 지나가던 개가 웃겠다', '스테이블코인 신뢰의 언어 로 부상 한국 해답은', '돈나무언니 스테이블 코인 관련 서클 비트마인 매수']",스테이블코인 - a등급 - 강원정선으로모여라 - esg - 개미귀신 - 개미흡혈귀 - 개잡주 - 개가 - 경마 - 고름,1.0,False
STO 법안부터 처리하고 다음이 스테이,-1,-1_골드만_카카오페이_스테이블코인_희망회로,"['골드만', '카카오페이', '스테이블코인', '희망회로', '시원하게', '너무', '하한가', '가는', '가지고있는', 'sto']","['지옥 출입문에 대기 타고 계시느라 고생이 많으세요', '박스권 상단에선 희망회로 돌더니 막상 하단오니까', '골드만']",골드만 - 카카오페이 - 스테이블코인 - 희망회로 - 시원하게 - 너무 - 하한가 - 가는 - 가지고있는 - sto,0.0,False
한용이 때문에 한국은 스테이블은 힘들겠다,0,0_스테이블코인_a등급_강원정선으로모여라_esg,"['스테이블코인', 'a등급', '강원정선으로모여라', 'esg', '개미귀신', '개미흡혈귀', '개잡주', '개가', '경마', '고름']","['ESG 평가 A등급 지나가던 개가 웃겠다', '스테이블코인 신뢰의 언어 로 부상 한국 해답은', '돈나무언니 스테이블 코인 관련 서클 비트마인 매수']",스테이블코인 - a등급 - 강원정선으로모여라 - esg - 개미귀신 - 개미흡혈귀 - 개잡주 - 개가 - 경마 - 고름,0.8211365115965623,False
카카오톡 업데이트로,-1,-1_골드만_카카오페이_스테이블코인_희망회로,"['골드만', '카카오페이', '스테이블코인', '희망회로', '시원하게', '너무', '하한가', '가는', '가지고있는', 'sto']","['지옥 출입문에 대기 타고 계시느라 고생이 많으세요', '박스권 상단에선 희망회로 돌더니 막상 하단오니까', '골드만']",골드만 - 카카오페이 - 스테이블코인 - 희망회로 - 시원하게 - 너무 - 하한가 - 가는 - 가지고있는 - sto,0.0,False
ROOM 이 잦으면 뭐다,3,3_room_걸두만이_곡소리가_그래도,"['room', '걸두만이', '곡소리가', '그래도', '기도값내라', '기도해줬으니', '나보고', '날마다', '내눈엔', '놨네']","['범수형 좋은 말할때 올려놔', '지금이 저점이다 더 빠질때가 안보인다 내눈엔', '나보고 징징 댄다고 말한 얼건이 주가 보고']",room - 걸두만이 - 곡소리가 - 그래도 - 기도값내라 - 기도해줬으니 - 나보고 - 날마다 - 내눈엔 - 놨네,1.0,False
차트 개박살낫네,-1,-1_골드만_카카오페이_스테이블코인_희망회로,"['골드만', '카카오페이', '스테이블코인', '희망회로', '시원하게', '너무', '하한가', '가는', '가지고있는', 'sto']","['지옥 출입문에 대기 타고 계시느라 고생이 많으세요', '박스권 상단에선 희망회로 돌더니 막상 하단오니까', '골드만']",골드만 - 카카오페이 - 스테이블코인 - 희망회로 - 시원하게 - 너무 - 하한가 - 가는 - 가지고있는 - sto,0.0,False
스테이블코인은,1,1_주식_스테이블_코인_ai버블,"['주식', '스테이블', '코인', 'ai버블', '격언', '고생했다', '기관의', '니미', '대장주', 'ooo']","['주포가 없는 주식', '스테이블 코인', '스테이블 코인 법안']",주식 - 스테이블 - 코인 - ai버블 - 격언 - 고생했다 - 기관의 - 니미 - 대장주 - ooo,0.706299222970532,False
짜고 치는 고 스톱,0,0_스테이블코인_a등급_강원정선으로모여라_esg,"['스테이블코인', 'a등급', '강원정선으로모여라', 'esg', '개미귀신', '개미흡혈귀', '개잡주', '개가', '경마', '고름']","['ESG 평가 A등급 지나가던 개가 웃겠다', '스테이블코인 신뢰의 언어 로 부상 한국 해답은', '돈나무언니 스테이블 코인 관련 서클 비트마인 매수']",스테이블코인 - a등급 - 강원정선으로모여라 - esg - 개미귀신 - 개미흡혈귀 - 개잡주 - 개가 - 경마 - 고름,0.8177178497323341,False
는절대안된다,-1,-1_골드만_카카오페이_스테이블코인_희망회로,"['골드만', '카카오페이', '스테이블코인', '희망회로', '시원하게', '너무', '하한가', '가는', '가지고있는', 'sto']","['지옥 출입문에 대기 타고 계시느라 고생이 많으세요', '박스권 상단에선 희망회로 돌더니 막상 하단오니까', '골드만']",골드만 - 카카오페이 - 스테이블코인 - 희망회로 - 시원하게 - 너무 - 하한가 - 가는 - 가지고있는 - sto,0.0,False
소탐대실,1,1_주식_스테이블_코인_ai버블,"['주식', '스테이블', '코인', 'ai버블', '격언', '고생했다', '기관의', '니미', '대장주', 'ooo']","['주포가 없는 주식', '스테이블 코인', '스테이블 코인 법안']",주식 - 스테이블 - 코인 - ai버블 - 격언 - 고생했다 - 기관의 - 니미 - 대장주 - ooo,0.8230005802525061,False
개미흡혈귀 개미귀신 일본극우자금 매국노,0,0_스테이블코인_a등급_강원정선으로모여라_esg,"['스테이블코인', 'a등급', '강원정선으로모여라', 'esg', '개미귀신', '개미흡혈귀', '개잡주', '개가', '경마', '고름']","['ESG 평가 A등급 지나가던 개가 웃겠다', '스테이블코인 신뢰의 언어 로 부상 한국 해답은', '돈나무언니 스테이블 코인 관련 서클 비트마인 매수']",스테이블코인 - a등급 - 강원정선으로모여라 - esg - 개미귀신 - 개미흡혈귀 - 개잡주 - 개가 - 경마 - 고름,0.8835862653869163,False
