Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
시반에 만주 거래 뭔가요,-1,-1_삼성물산_ai가_시총_오르고,"['삼성물산', 'ai가', '시총', '오르고', '종목', '뉴스', '가치', '삼성증권', '삼물의', '삼성물산의']","['AI가 발견한 종목', '삼성물산 분기보고서 요약 정리', '삼성물산 지분 가치']",삼성물산 - ai가 - 시총 - 오르고 - 종목 - 뉴스 - 가치 - 삼성증권 - 삼물의 - 삼성물산의,0.0,False
진짜 궁금해서 여쭤보는데 이렇게,1,1_삼성물산_오늘_이렇게_삼성그룹,"['삼성물산', '오늘', '이렇게', '삼성그룹', '적정', '오늘은', '지주사', '진짜', '간만에', '거래재개하면']","['애들아 오늘은 삼성물산 분석해줄께 참', '적정 물산 주가 만원 배당금 천원에 대한', '삼성물산 이런게 삼성그룹 지주사 라니']",삼성물산 - 오늘 - 이렇게 - 삼성그룹 - 적정 - 오늘은 - 지주사 - 진짜 - 간만에 - 거래재개하면,1.0,False
개잡주,0,0_공견_진짜_주가_강력한,"['공견', '진짜', '주가', '강력한', '개잡주', '공약', '공포의', '계엄령', '고기반', '너의']","['계엄령 연상케한 한화생명 주총', '삼물 강력한 주가 통제', '모두를 실망 시키는 주가']",공견 - 진짜 - 주가 - 강력한 - 개잡주 - 공약 - 공포의 - 계엄령 - 고기반 - 너의,1.0,False
삼물 강력한 주가 통제,0,0_공견_진짜_주가_강력한,"['공견', '진짜', '주가', '강력한', '개잡주', '공약', '공포의', '계엄령', '고기반', '너의']","['계엄령 연상케한 한화생명 주총', '삼물 강력한 주가 통제', '모두를 실망 시키는 주가']",공견 - 진짜 - 주가 - 강력한 - 개잡주 - 공약 - 공포의 - 계엄령 - 고기반 - 너의,0.9589016122491958,True
삼성증권 시장가 매도,-1,-1_삼성물산_ai가_시총_오르고,"['삼성물산', 'ai가', '시총', '오르고', '종목', '뉴스', '가치', '삼성증권', '삼물의', '삼성물산의']","['AI가 발견한 종목', '삼성물산 분기보고서 요약 정리', '삼성물산 지분 가치']",삼성물산 - ai가 - 시총 - 오르고 - 종목 - 뉴스 - 가치 - 삼성증권 - 삼물의 - 삼성물산의,0.0,False
와우,-1,-1_삼성물산_ai가_시총_오르고,"['삼성물산', 'ai가', '시총', '오르고', '종목', '뉴스', '가치', '삼성증권', '삼물의', '삼성물산의']","['AI가 발견한 종목', '삼성물산 분기보고서 요약 정리', '삼성물산 지분 가치']",삼성물산 - ai가 - 시총 - 오르고 - 종목 - 뉴스 - 가치 - 삼성증권 - 삼물의 - 삼성물산의,0.0,False
바이오 가 떨어지는데,-1,-1_삼성물산_ai가_시총_오르고,"['삼성물산', 'ai가', '시총', '오르고', '종목', '뉴스', '가치', '삼성증권', '삼물의', '삼성물산의']","['AI가 발견한 종목', '삼성물산 분기보고서 요약 정리', '삼성물산 지분 가치']",삼성물산 - ai가 - 시총 - 오르고 - 종목 - 뉴스 - 가치 - 삼성증권 - 삼물의 - 삼성물산의,0.0,False
최소,0,0_공견_진짜_주가_강력한,"['공견', '진짜', '주가', '강력한', '개잡주', '공약', '공포의', '계엄령', '고기반', '너의']","['계엄령 연상케한 한화생명 주총', '삼물 강력한 주가 통제', '모두를 실망 시키는 주가']",공견 - 진짜 - 주가 - 강력한 - 개잡주 - 공약 - 공포의 - 계엄령 - 고기반 - 너의,0.8687009242183714,False
음 안좋은 예상은 빗나가질 않네,-1,-1_삼성물산_ai가_시총_오르고,"['삼성물산', 'ai가', '시총', '오르고', '종목', '뉴스', '가치', '삼성증권', '삼물의', '삼성물산의']","['AI가 발견한 종목', '삼성물산 분기보고서 요약 정리', '삼성물산 지분 가치']",삼성물산 - ai가 - 시총 - 오르고 - 종목 - 뉴스 - 가치 - 삼성증권 - 삼물의 - 삼성물산의,0.0,False
계엄령 연상케한 한화생명 주총,0,0_공견_진짜_주가_강력한,"['공견', '진짜', '주가', '강력한', '개잡주', '공약', '공포의', '계엄령', '고기반', '너의']","['계엄령 연상케한 한화생명 주총', '삼물 강력한 주가 통제', '모두를 실망 시키는 주가']",공견 - 진짜 - 주가 - 강력한 - 개잡주 - 공약 - 공포의 - 계엄령 - 고기반 - 너의,1.0,True
