Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
년동안 상속세 낼라고,0,0_오늘_개잡주_이유_동시호가,"['오늘', '개잡주', '이유', '동시호가', '하락조작', 'ai', 'sds', '공모가', '물산', '고평까']","['AI데이터 센타 설치 선도 기업 주가가 피똥싸', 'AI데이터 센터 주관 기업의 주가가 이', '오늘 과연 어떤 흐름을 보일지']",오늘 - 개잡주 - 이유 - 동시호가 - 하락조작 - ai - sds - 공모가 - 물산 - 고평까,0.9109621459498131,False
동시호가에,0,0_오늘_개잡주_이유_동시호가,"['오늘', '개잡주', '이유', '동시호가', '하락조작', 'ai', 'sds', '공모가', '물산', '고평까']","['AI데이터 센타 설치 선도 기업 주가가 피똥싸', 'AI데이터 센터 주관 기업의 주가가 이', '오늘 과연 어떤 흐름을 보일지']",오늘 - 개잡주 - 이유 - 동시호가 - 하락조작 - ai - sds - 공모가 - 물산 - 고평까,0.9614106333129634,False
맥쿼리가 매수하네,0,0_오늘_개잡주_이유_동시호가,"['오늘', '개잡주', '이유', '동시호가', '하락조작', 'ai', 'sds', '공모가', '물산', '고평까']","['AI데이터 센타 설치 선도 기업 주가가 피똥싸', 'AI데이터 센터 주관 기업의 주가가 이', '오늘 과연 어떤 흐름을 보일지']",오늘 - 개잡주 - 이유 - 동시호가 - 하락조작 - ai - sds - 공모가 - 물산 - 고평까,1.0,False
UBS의 비례적 하락매도는 범죄 목적의 실행,0,0_오늘_개잡주_이유_동시호가,"['오늘', '개잡주', '이유', '동시호가', '하락조작', 'ai', 'sds', '공모가', '물산', '고평까']","['AI데이터 센타 설치 선도 기업 주가가 피똥싸', 'AI데이터 센터 주관 기업의 주가가 이', '오늘 과연 어떤 흐름을 보일지']",오늘 - 개잡주 - 이유 - 동시호가 - 하락조작 - ai - sds - 공모가 - 물산 - 고평까,0.9713917395523356,False
차라리 큐리오시스를 그냥 놔둘걸,0,0_오늘_개잡주_이유_동시호가,"['오늘', '개잡주', '이유', '동시호가', '하락조작', 'ai', 'sds', '공모가', '물산', '고평까']","['AI데이터 센타 설치 선도 기업 주가가 피똥싸', 'AI데이터 센터 주관 기업의 주가가 이', '오늘 과연 어떤 흐름을 보일지']",오늘 - 개잡주 - 이유 - 동시호가 - 하락조작 - ai - sds - 공모가 - 물산 - 고평까,1.0,False
소외주 벌레주 잡주,0,0_오늘_개잡주_이유_동시호가,"['오늘', '개잡주', '이유', '동시호가', '하락조작', 'ai', 'sds', '공모가', '물산', '고평까']","['AI데이터 센타 설치 선도 기업 주가가 피똥싸', 'AI데이터 센터 주관 기업의 주가가 이', '오늘 과연 어떤 흐름을 보일지']",오늘 - 개잡주 - 이유 - 동시호가 - 하락조작 - ai - sds - 공모가 - 물산 - 고평까,0.8679787983350392,False
삼성 하락조작범이 아예 외인 조작계좌로 대폭,1,1_삼성에스디에스_삼성_삼성비서실_삼성비서실의,"['삼성에스디에스', '삼성', '삼성비서실', '삼성비서실의', '악질', '요약', 'ai', '목표주가', '대폭', 'morg']","['삼성에스디에스', 'AI 요약 삼성에스디에스 Morg', 'AI 요약 삼성에스디에스 JP M']",삼성에스디에스 - 삼성 - 삼성비서실 - 삼성비서실의 - 악질 - 요약 - ai - 목표주가 - 대폭 - morg,1.0,False
오 후 장 조심하세여,0,0_오늘_개잡주_이유_동시호가,"['오늘', '개잡주', '이유', '동시호가', '하락조작', 'ai', 'sds', '공모가', '물산', '고평까']","['AI데이터 센타 설치 선도 기업 주가가 피똥싸', 'AI데이터 센터 주관 기업의 주가가 이', '오늘 과연 어떤 흐름을 보일지']",오늘 - 개잡주 - 이유 - 동시호가 - 하락조작 - ai - sds - 공모가 - 물산 - 고평까,1.0,False
형들 리버스 슈팅이 뭐야,0,0_오늘_개잡주_이유_동시호가,"['오늘', '개잡주', '이유', '동시호가', '하락조작', 'ai', 'sds', '공모가', '물산', '고평까']","['AI데이터 센타 설치 선도 기업 주가가 피똥싸', 'AI데이터 센터 주관 기업의 주가가 이', '오늘 과연 어떤 흐름을 보일지']",오늘 - 개잡주 - 이유 - 동시호가 - 하락조작 - ai - sds - 공모가 - 물산 - 고평까,1.0,False
주봉이 딱 쌍봉 만들 사이즈데,0,0_오늘_개잡주_이유_동시호가,"['오늘', '개잡주', '이유', '동시호가', '하락조작', 'ai', 'sds', '공모가', '물산', '고평까']","['AI데이터 센타 설치 선도 기업 주가가 피똥싸', 'AI데이터 센터 주관 기업의 주가가 이', '오늘 과연 어떤 흐름을 보일지']",오늘 - 개잡주 - 이유 - 동시호가 - 하락조작 - ai - sds - 공모가 - 물산 - 고평까,1.0,False
