Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
물타고 물타고 오늘의 평단,0,0_실적이_물타고_이해가_원에,"['실적이', '물타고', '이해가', '원에', '안가긴', '한금지', '나오고', '같이', '개미들', '갭많이뜨는거']","['실적이 이렇게 좋은데도 주가가 왜 이모냥이죠', '난 징징거리는 주주들이 이해가 안가긴 함', '솔직히 한금지 주주들 좀 이해가 안가긴 해']",실적이 - 물타고 - 이해가 - 원에 - 안가긴 - 한금지 - 나오고 - 같이 - 개미들 - 갭많이뜨는거,1.0,False
년 년 까지 배당 비과세 자,2,2_비과세_프로_정부는_스팩상장폐지,"['비과세', '프로', '정부는', '스팩상장폐지', '배당금은', '증권사', '만원에서', '라이선', '금요일에', '내년부터']","['한투 IMA계좌 금리 프로 프로 가능함', '정부는 증권사 스팩상장폐지 해라', '정부는 증권사 스팩상장폐지 하라']",비과세 - 프로 - 정부는 - 스팩상장폐지 - 배당금은 - 증권사 - 만원에서 - 라이선 - 금요일에 - 내년부터,0.7407491113296035,False
빨리깨라 손절하게,0,0_실적이_물타고_이해가_원에,"['실적이', '물타고', '이해가', '원에', '안가긴', '한금지', '나오고', '같이', '개미들', '갭많이뜨는거']","['실적이 이렇게 좋은데도 주가가 왜 이모냥이죠', '난 징징거리는 주주들이 이해가 안가긴 함', '솔직히 한금지 주주들 좀 이해가 안가긴 해']",실적이 - 물타고 - 이해가 - 원에 - 안가긴 - 한금지 - 나오고 - 같이 - 개미들 - 갭많이뜨는거,1.0,False
느그들 지지 받아야 승계가 되는줄 아나본데,0,0_실적이_물타고_이해가_원에,"['실적이', '물타고', '이해가', '원에', '안가긴', '한금지', '나오고', '같이', '개미들', '갭많이뜨는거']","['실적이 이렇게 좋은데도 주가가 왜 이모냥이죠', '난 징징거리는 주주들이 이해가 안가긴 함', '솔직히 한금지 주주들 좀 이해가 안가긴 해']",실적이 - 물타고 - 이해가 - 원에 - 안가긴 - 한금지 - 나오고 - 같이 - 개미들 - 갭많이뜨는거,1.0,False
금요일에 사서 화요일에 팔아라 증시 수익률,2,2_비과세_프로_정부는_스팩상장폐지,"['비과세', '프로', '정부는', '스팩상장폐지', '배당금은', '증권사', '만원에서', '라이선', '금요일에', '내년부터']","['한투 IMA계좌 금리 프로 프로 가능함', '정부는 증권사 스팩상장폐지 해라', '정부는 증권사 스팩상장폐지 하라']",비과세 - 프로 - 정부는 - 스팩상장폐지 - 배당금은 - 증권사 - 만원에서 - 라이선 - 금요일에 - 내년부터,1.0,False
뉴욕증시 연준 트럼프 양대 풋 에 반등,-1,-1_오늘_분봉_다음주_불타기,"['오늘', '분봉', '다음주', '불타기', '한국', '사업자', '만원', '까지', '매수', '증권사']","['오늘 만원 넘길수도', '까지 꾹꾹 눌러 불타기 갑니', '일 IMA 사업자 확정 되면 주가 날아갈겁']",오늘 - 분봉 - 다음주 - 불타기 - 한국 - 사업자 - 만원 - 까지 - 매수 - 증권사,0.0,False
부 모 를 바 꿔 라,1,1_요약_자사주_소각_분봉,"['요약', '자사주', '소각', '분봉', 'ir내용', '고맙습니다', '금통위에서', '공시', '돔황쳐', '동일한패턴']","['차트 분석은 끝났으니 연말 시황 및 기', '자사주 소각', '공시 확인 자사주 소각']",요약 - 자사주 - 소각 - 분봉 - ir내용 - 고맙습니다 - 금통위에서 - 공시 - 돔황쳐 - 동일한패턴,0.9252038230013238,False
주주환원최악 증권사 김남구회장물러나라,-1,-1_오늘_분봉_다음주_불타기,"['오늘', '분봉', '다음주', '불타기', '한국', '사업자', '만원', '까지', '매수', '증권사']","['오늘 만원 넘길수도', '까지 꾹꾹 눌러 불타기 갑니', '일 IMA 사업자 확정 되면 주가 날아갈겁']",오늘 - 분봉 - 다음주 - 불타기 - 한국 - 사업자 - 만원 - 까지 - 매수 - 증권사,0.0,False
다음주 야당주최 상법개정 토론회,-1,-1_오늘_분봉_다음주_불타기,"['오늘', '분봉', '다음주', '불타기', '한국', '사업자', '만원', '까지', '매수', '증권사']","['오늘 만원 넘길수도', '까지 꾹꾹 눌러 불타기 갑니', '일 IMA 사업자 확정 되면 주가 날아갈겁']",오늘 - 분봉 - 다음주 - 불타기 - 한국 - 사업자 - 만원 - 까지 - 매수 - 증권사,0.0,False
우선주 매수 배당에 향후 우상향 주,2,2_비과세_프로_정부는_스팩상장폐지,"['비과세', '프로', '정부는', '스팩상장폐지', '배당금은', '증권사', '만원에서', '라이선', '금요일에', '내년부터']","['한투 IMA계좌 금리 프로 프로 가능함', '정부는 증권사 스팩상장폐지 해라', '정부는 증권사 스팩상장폐지 하라']",비과세 - 프로 - 정부는 - 스팩상장폐지 - 배당금은 - 증권사 - 만원에서 - 라이선 - 금요일에 - 내년부터,0.7965065798155927,False
