Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
시간외대량거래,1,1_속도_증권사_분기_오늘도,"['속도', '증권사', '분기', '오늘도', '만원', '고려아연', '경영권분쟁', '거래가중', '금액보라', '국가기간산업이고']","['증권사 레포트 만원 이란다', '수출 규제로 이트륨 가격 폭등 첨단 산업', '고려아연 분기 폭팔적 성장 예상 증권사 리포']",속도 - 증권사 - 분기 - 오늘도 - 만원 - 고려아연 - 경영권분쟁 - 거래가중 - 금액보라 - 국가기간산업이고,0.9761571955861185,False
오늘이 패닉셀일지 아님 뭔가 준비 중,-1,-1_매수_mbk가_기타금융_mbk,"['매수', 'mbk가', '기타금융', 'mbk', '고려아연', '급하게', '폭락', '만주', '가능성', '가면']","['mbk사는데 공개 매수 선언 안하는가', '기타금융 매수 주체', '작년 만원때도 연말 기타금융 매수']",매수 - mbk가 - 기타금융 - mbk - 고려아연 - 급하게 - 폭락 - 만주 - 가능성 - 가면,0.0,False
오마이갓 개인 무더기 설겆이,0,0_다시_신성델타_윤범아_지금,"['다시', '신성델타', '윤범아', '지금', '그래', '내리면', '여기서', '에서', '반등', '하고']","['왜 여기서 찬티 안티 하고 있나요', '에서 다시 매수할려는데', '지분싸움 다시 시작될까요']",다시 - 신성델타 - 윤범아 - 지금 - 그래 - 내리면 - 여기서 - 에서 - 반등 - 하고,1.0,False
만주 던졌다 내일 다 죽었다,-1,-1_매수_mbk가_기타금융_mbk,"['매수', 'mbk가', '기타금융', 'mbk', '고려아연', '급하게', '폭락', '만주', '가능성', '가면']","['mbk사는데 공개 매수 선언 안하는가', '기타금융 매수 주체', '작년 만원때도 연말 기타금융 매수']",매수 - mbk가 - 기타금융 - mbk - 고려아연 - 급하게 - 폭락 - 만주 - 가능성 - 가면,0.0,False
내일은 늦으리 폭락,-1,-1_매수_mbk가_기타금융_mbk,"['매수', 'mbk가', '기타금융', 'mbk', '고려아연', '급하게', '폭락', '만주', '가능성', '가면']","['mbk사는데 공개 매수 선언 안하는가', '기타금융 매수 주체', '작년 만원때도 연말 기타금융 매수']",매수 - mbk가 - 기타금융 - mbk - 고려아연 - 급하게 - 폭락 - 만주 - 가능성 - 가면,0.0,False
만원 위에선 일단 매도기회 줄 때 탈출,0,0_다시_신성델타_윤범아_지금,"['다시', '신성델타', '윤범아', '지금', '그래', '내리면', '여기서', '에서', '반등', '하고']","['왜 여기서 찬티 안티 하고 있나요', '에서 다시 매수할려는데', '지분싸움 다시 시작될까요']",다시 - 신성델타 - 윤범아 - 지금 - 그래 - 내리면 - 여기서 - 에서 - 반등 - 하고,0.95252504711185,False
중일 갈등생겨서 희토류통제하면,0,0_다시_신성델타_윤범아_지금,"['다시', '신성델타', '윤범아', '지금', '그래', '내리면', '여기서', '에서', '반등', '하고']","['왜 여기서 찬티 안티 하고 있나요', '에서 다시 매수할려는데', '지분싸움 다시 시작될까요']",다시 - 신성델타 - 윤범아 - 지금 - 그래 - 내리면 - 여기서 - 에서 - 반등 - 하고,0.8169948837870511,False
막판 폭락 가능성,-1,-1_매수_mbk가_기타금융_mbk,"['매수', 'mbk가', '기타금융', 'mbk', '고려아연', '급하게', '폭락', '만주', '가능성', '가면']","['mbk사는데 공개 매수 선언 안하는가', '기타금융 매수 주체', '작년 만원때도 연말 기타금융 매수']",매수 - mbk가 - 기타금융 - mbk - 고려아연 - 급하게 - 폭락 - 만주 - 가능성 - 가면,0.0,False
오른다,0,0_다시_신성델타_윤범아_지금,"['다시', '신성델타', '윤범아', '지금', '그래', '내리면', '여기서', '에서', '반등', '하고']","['왜 여기서 찬티 안티 하고 있나요', '에서 다시 매수할려는데', '지분싸움 다시 시작될까요']",다시 - 신성델타 - 윤범아 - 지금 - 그래 - 내리면 - 여기서 - 에서 - 반등 - 하고,1.0,False
개나 소나 아는 경영권 지분싸움 설레발로,0,0_다시_신성델타_윤범아_지금,"['다시', '신성델타', '윤범아', '지금', '그래', '내리면', '여기서', '에서', '반등', '하고']","['왜 여기서 찬티 안티 하고 있나요', '에서 다시 매수할려는데', '지분싸움 다시 시작될까요']",다시 - 신성델타 - 윤범아 - 지금 - 그래 - 내리면 - 여기서 - 에서 - 반등 - 하고,0.9802241813909921,False
