Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
벌레글 차단하는 방법,-1,-1_월계미성_삼성전기_구리_미주아로,"['월계미성', '삼성전기', '구리', '미주아로', '방법', '아지매', '돌파', '오늘', '자빠져', '자냐']","['월계미성 지짐이 자빠져 자냐', '월계미성 구리 아지매 동네 알부자 할배나', '월계미성 구리 아지매 동네 알부자 할배나 꼬']",월계미성 - 삼성전기 - 구리 - 미주아로 - 방법 - 아지매 - 돌파 - 오늘 - 자빠져 - 자냐,0.0,False
지렸냐,0,0_no_재명아_울보영감_dogs,"['no', '재명아', '울보영감', 'dogs', 'ai시대', 'skc에서', '가장', '고래들이', '겨나왐마', '감옥행']","['분기 실적 리뷰 및 목표주가 산정', '재명아 재명아 재명아', 'No 통일교 No 신천지 No dogs']",no - 재명아 - 울보영감 - dogs - ai시대 - skc에서 - 가장 - 고래들이 - 겨나왐마 - 감옥행,1.0,False
개인넘 외인넘들 아 진짜 넘하네,1,1_월계미성_미주아로_미성_씨드,"['월계미성', '미주아로', '미성', '씨드', '월계동', '결행한겨', '드디어', '반항해', '아무리', '빛의']","['씨드 천 월계동 미성 미주아로 창공을 향해', '씨드 천 월계동 미성 미주아로 저 높은', '씨드 천 월계동 미성 미주아로 저 넓은']",월계미성 - 미주아로 - 미성 - 씨드 - 월계동 - 결행한겨 - 드디어 - 반항해 - 아무리 - 빛의,0.9540570026147874,False
외국인은 오릴 마음이 없구 배당 받아 먹을라구,1,1_월계미성_미주아로_미성_씨드,"['월계미성', '미주아로', '미성', '씨드', '월계동', '결행한겨', '드디어', '반항해', '아무리', '빛의']","['씨드 천 월계동 미성 미주아로 창공을 향해', '씨드 천 월계동 미성 미주아로 저 높은', '씨드 천 월계동 미성 미주아로 저 넓은']",월계미성 - 미주아로 - 미성 - 씨드 - 월계동 - 결행한겨 - 드디어 - 반항해 - 아무리 - 빛의,0.8532507351405387,False
월계미성 미주야 용쓴다,2,2_보합끝내라_온다_모시겠습니다_줍자,"['보합끝내라', '온다', '모시겠습니다', '줍자', '초호황', '폭락일세', '장시작한지분에', '우주까지', '욕창걸리거써', '용쓴다']","['우주까지 모시겠습니다', '코스피 올라도', 'Fc bga 초호황 온다']",보합끝내라 - 온다 - 모시겠습니다 - 줍자 - 초호황 - 폭락일세 - 장시작한지분에 - 우주까지 - 욕창걸리거써 - 용쓴다,1.0,False
외국 단타 시궁쥐 골드만 메르치 출몰 조심,-1,-1_월계미성_삼성전기_구리_미주아로,"['월계미성', '삼성전기', '구리', '미주아로', '방법', '아지매', '돌파', '오늘', '자빠져', '자냐']","['월계미성 지짐이 자빠져 자냐', '월계미성 구리 아지매 동네 알부자 할배나', '월계미성 구리 아지매 동네 알부자 할배나 꼬']",월계미성 - 삼성전기 - 구리 - 미주아로 - 방법 - 아지매 - 돌파 - 오늘 - 자빠져 - 자냐,0.0,False
엄청 기분나뻐 으이,-1,-1_월계미성_삼성전기_구리_미주아로,"['월계미성', '삼성전기', '구리', '미주아로', '방법', '아지매', '돌파', '오늘', '자빠져', '자냐']","['월계미성 지짐이 자빠져 자냐', '월계미성 구리 아지매 동네 알부자 할배나', '월계미성 구리 아지매 동네 알부자 할배나 꼬']",월계미성 - 삼성전기 - 구리 - 미주아로 - 방법 - 아지매 - 돌파 - 오늘 - 자빠져 - 자냐,0.0,False
욕창영감,0,0_no_재명아_울보영감_dogs,"['no', '재명아', '울보영감', 'dogs', 'ai시대', 'skc에서', '가장', '고래들이', '겨나왐마', '감옥행']","['분기 실적 리뷰 및 목표주가 산정', '재명아 재명아 재명아', 'No 통일교 No 신천지 No dogs']",no - 재명아 - 울보영감 - dogs - ai시대 - skc에서 - 가장 - 고래들이 - 겨나왐마 - 감옥행,1.0,False
정숭뿡아,0,0_no_재명아_울보영감_dogs,"['no', '재명아', '울보영감', 'dogs', 'ai시대', 'skc에서', '가장', '고래들이', '겨나왐마', '감옥행']","['분기 실적 리뷰 및 목표주가 산정', '재명아 재명아 재명아', 'No 통일교 No 신천지 No dogs']",no - 재명아 - 울보영감 - dogs - ai시대 - skc에서 - 가장 - 고래들이 - 겨나왐마 - 감옥행,1.0,False
외넘들이,-1,-1_월계미성_삼성전기_구리_미주아로,"['월계미성', '삼성전기', '구리', '미주아로', '방법', '아지매', '돌파', '오늘', '자빠져', '자냐']","['월계미성 지짐이 자빠져 자냐', '월계미성 구리 아지매 동네 알부자 할배나', '월계미성 구리 아지매 동네 알부자 할배나 꼬']",월계미성 - 삼성전기 - 구리 - 미주아로 - 방법 - 아지매 - 돌파 - 오늘 - 자빠져 - 자냐,0.0,False
