Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
두산에너빌리티 내 일 정 보,0,0_두산에너빌리티_이유가_두산에너빌_순익,"['두산에너빌리티', '이유가', '두산에너빌', '순익', '분기', '원전', '계속', '두빌', '거야', '갵이한']","['원전 안가는 이유가 있음', '두산에너빌 분기 순익 억 적자', '두산에너빌 분기 순익 억 적자전']",두산에너빌리티 - 이유가 - 두산에너빌 - 순익 - 분기 - 원전 - 계속 - 두빌 - 거야 - 갵이한,1.0,False
속 보 두산에너빌리티 곧 입 니다,0,0_두산에너빌리티_이유가_두산에너빌_순익,"['두산에너빌리티', '이유가', '두산에너빌', '순익', '분기', '원전', '계속', '두빌', '거야', '갵이한']","['원전 안가는 이유가 있음', '두산에너빌 분기 순익 억 적자', '두산에너빌 분기 순익 억 적자전']",두산에너빌리티 - 이유가 - 두산에너빌 - 순익 - 분기 - 원전 - 계속 - 두빌 - 거야 - 갵이한,0.9818242014651317,False
선뚜 깼네,2,2_개미들_개미가_개미들만_개미들은,"['개미들', '개미가', '개미들만', '개미들은', '개미밖에없는데', '개미탕이냐', '개미탕이네', '개잡주네', '곡소리', '기가막히다']","['보리달마 라는 닉네임 에게 전하는 말', '리포트는 좋은데 왜 개미들만 살까 왠지 총알받', '개미들 만원 넘어서 팔라고 대기중']",개미들 - 개미가 - 개미들만 - 개미들은 - 개미밖에없는데 - 개미탕이냐 - 개미탕이네 - 개잡주네 - 곡소리 - 기가막히다,0.8359097010200305,False
한주 두주는 뭐냐 아씽,2,2_개미들_개미가_개미들만_개미들은,"['개미들', '개미가', '개미들만', '개미들은', '개미밖에없는데', '개미탕이냐', '개미탕이네', '개잡주네', '곡소리', '기가막히다']","['보리달마 라는 닉네임 에게 전하는 말', '리포트는 좋은데 왜 개미들만 살까 왠지 총알받', '개미들 만원 넘어서 팔라고 대기중']",개미들 - 개미가 - 개미들만 - 개미들은 - 개미밖에없는데 - 개미탕이냐 - 개미탕이네 - 개잡주네 - 곡소리 - 기가막히다,0.8140549732928487,False
종가 장난질좀 하지마라 놈들아,2,2_개미들_개미가_개미들만_개미들은,"['개미들', '개미가', '개미들만', '개미들은', '개미밖에없는데', '개미탕이냐', '개미탕이네', '개잡주네', '곡소리', '기가막히다']","['보리달마 라는 닉네임 에게 전하는 말', '리포트는 좋은데 왜 개미들만 살까 왠지 총알받', '개미들 만원 넘어서 팔라고 대기중']",개미들 - 개미가 - 개미들만 - 개미들은 - 개미밖에없는데 - 개미탕이냐 - 개미탕이네 - 개잡주네 - 곡소리 - 기가막히다,1.0,False
거래량이 많을땐 천만주 적을땐 백만주,-1,-1_두빌_제탄_환율_오늘,"['두빌', '제탄', '환율', '오늘', '미국이', '하면', '백만주', '오르는데', '외인', '기사떳네요']","['두빌 종토방해산하고 비대위 체제로 전환해야', '주식천재 박두환씨가 두빌 원대 하락', '환율 오르는데']",두빌 - 제탄 - 환율 - 오늘 - 미국이 - 하면 - 백만주 - 오르는데 - 외인 - 기사떳네요,0.0,False
만깨지겠는데 깨지면 만까지도 봐야하나,-1,-1_두빌_제탄_환율_오늘,"['두빌', '제탄', '환율', '오늘', '미국이', '하면', '백만주', '오르는데', '외인', '기사떳네요']","['두빌 종토방해산하고 비대위 체제로 전환해야', '주식천재 박두환씨가 두빌 원대 하락', '환율 오르는데']",두빌 - 제탄 - 환율 - 오늘 - 미국이 - 하면 - 백만주 - 오르는데 - 외인 - 기사떳네요,0.0,False
개관 또 동시호가로 장난질 시작했지,0,0_두산에너빌리티_이유가_두산에너빌_순익,"['두산에너빌리티', '이유가', '두산에너빌', '순익', '분기', '원전', '계속', '두빌', '거야', '갵이한']","['원전 안가는 이유가 있음', '두산에너빌 분기 순익 억 적자', '두산에너빌 분기 순익 억 적자전']",두산에너빌리티 - 이유가 - 두산에너빌 - 순익 - 분기 - 원전 - 계속 - 두빌 - 거야 - 갵이한,0.9204387133067242,False
개인 신용 너무 높아,-1,-1_두빌_제탄_환율_오늘,"['두빌', '제탄', '환율', '오늘', '미국이', '하면', '백만주', '오르는데', '외인', '기사떳네요']","['두빌 종토방해산하고 비대위 체제로 전환해야', '주식천재 박두환씨가 두빌 원대 하락', '환율 오르는데']",두빌 - 제탄 - 환율 - 오늘 - 미국이 - 하면 - 백만주 - 오르는데 - 외인 - 기사떳네요,0.0,False
외인이 프로그램으로 마구 던지네,-1,-1_두빌_제탄_환율_오늘,"['두빌', '제탄', '환율', '오늘', '미국이', '하면', '백만주', '오르는데', '외인', '기사떳네요']","['두빌 종토방해산하고 비대위 체제로 전환해야', '주식천재 박두환씨가 두빌 원대 하락', '환율 오르는데']",두빌 - 제탄 - 환율 - 오늘 - 미국이 - 하면 - 백만주 - 오르는데 - 외인 - 기사떳네요,0.0,False
