Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
연금이 매수량이 네,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,0.910029079905977,False
한국항공우주 익 일,1,1_uae_한국항공우주_kf_uae에,"['uae', '한국항공우주', 'kf', 'uae에', 'uae는', '두바이', '테자스', '식사', '음식', 'kai']","['두바이 에어쇼에서 인도 테자스 전투기', 'KF UAE 와 공동지분', 'KAI UAE 국영 방산기업과 MOU']",uae - 한국항공우주 - kf - uae에 - uae는 - 두바이 - 테자스 - 식사 - 음식 - kai,0.7706225111940643,False
한국항공우주 익 일 속 보,1,1_uae_한국항공우주_kf_uae에,"['uae', '한국항공우주', 'kf', 'uae에', 'uae는', '두바이', '테자스', '식사', '음식', 'kai']","['두바이 에어쇼에서 인도 테자스 전투기', 'KF UAE 와 공동지분', 'KAI UAE 국영 방산기업과 MOU']",uae - 한국항공우주 - kf - uae에 - uae는 - 두바이 - 테자스 - 식사 - 음식 - kai,0.778365310599856,False
한국항공우주 긴 급 건,-1,-1_kf_이재명_kkmd_각하께서는,"['kf', '이재명', 'kkmd', '각하께서는', '계약보다', '국회에서', 'uae에서', '급락', '내년에', '내리니']","['국회에서 KF 블랙이글스 예산을', 'KF', '외신보도 KF 뜨면 세계 항공']",kf - 이재명 - kkmd - 각하께서는 - 계약보다 - 국회에서 - uae에서 - 급락 - 내년에 - 내리니,0.0,False
메릴린치 동시호가 왜 들어온겨,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
nh 대량매수 아니면 지금 자에 가있겠네,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
개발비 부담 줄일려고 기술 통째로 넘겨주지,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
다 팔고 튀어라,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
오르락 내리락,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
전쟁종료,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,0.8882129871668013,False
두번째 개미털기 또 시작이네,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
지금 외인 기관 다 도망가고있다,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,0.8061250473597191,True
외쿡인들의 매도세,-1,-1_kf_이재명_kkmd_각하께서는,"['kf', '이재명', 'kkmd', '각하께서는', '계약보다', '국회에서', 'uae에서', '급락', '내년에', '내리니']","['국회에서 KF 블랙이글스 예산을', 'KF', '외신보도 KF 뜨면 세계 항공']",kf - 이재명 - kkmd - 각하께서는 - 계약보다 - 국회에서 - uae에서 - 급락 - 내년에 - 내리니,0.0,False
가만있다가는 수익 다 날림,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,0.9643051767926433,False
오늘은 휴대폰 덮고 볼일봐라,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
종합지수 내리니,-1,-1_kf_이재명_kkmd_각하께서는,"['kf', '이재명', 'kkmd', '각하께서는', '계약보다', '국회에서', 'uae에서', '급락', '내년에', '내리니']","['국회에서 KF 블랙이글스 예산을', 'KF', '외신보도 KF 뜨면 세계 항공']",kf - 이재명 - kkmd - 각하께서는 - 계약보다 - 국회에서 - uae에서 - 급락 - 내년에 - 내리니,0.0,False
어이 뉴비 운전자,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
이제 방산 주도주로 나설때가 안되었나,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
한마디를 하겠는데,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
거봐 양봉 보지,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
U자 하락,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
로에 손절했는 사람 많제 난,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
이야 대단하다,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,0.8863210689537419,False
한에 LIG보면 오늘 양전 가능,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,0.9306242849111425,False
다른방산주 다양전이다,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,0.9809066774132912,False
폴란드 FA 가동률 이상,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,0.8160486430519441,False
머니 털렷따,0,0_오늘_외인_지금_기관이,"['오늘', '외인', '지금', '기관이', '전투기', 'fa', '방산', '주가', '팔고', '전쟁종료']","['오늘 양봉 보고 꼬라 박나요', '외인 기관이 수주없는거 몰랐겠냐', '지금 외인 기관 다 도망가고있다']",오늘 - 외인 - 지금 - 기관이 - 전투기 - fa - 방산 - 주가 - 팔고 - 전쟁종료,1.0,False
