Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
끝난거 같은데,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
개잡주,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
국장은 실적 좋아도,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
오늘도,-1,-1_자사주_배당_사건_묻지마,"['자사주', '배당', '사건', '묻지마', '소각', '오늘도', '년차', '관련', '경고다', '관계']","['배당 받자마자 팔려는 사람들이 많네', '자사주 소각 배당 분리과세 동시 충족하는', '자사주 소각 배당 분리 과세 유일하게 중']",자사주 - 배당 - 사건 - 묻지마 - 소각 - 오늘도 - 년차 - 관련 - 경고다 - 관계,0.0,False
계단식 하락,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
세대는 이재명 대통령 정치에 분노,1,1_관세협상_요약_하나금융지주_배당,"['관세협상', '요약', '하나금융지주', '배당', '성공적', '세대는', 'ai가', '자랑하고', '하나금융', '은행주']","['AI 요약 하나금융지주 Twenty', '한 미 관세협상 성공적 자랑하고 결과', '한 미 관세협상 성공적 자랑하고 결과물']",관세협상 - 요약 - 하나금융지주 - 배당 - 성공적 - 세대는 - ai가 - 자랑하고 - 하나금융 - 은행주,0.6834851719638712,False
시총 위 종목이,-1,-1_자사주_배당_사건_묻지마,"['자사주', '배당', '사건', '묻지마', '소각', '오늘도', '년차', '관련', '경고다', '관계']","['배당 받자마자 팔려는 사람들이 많네', '자사주 소각 배당 분리과세 동시 충족하는', '자사주 소각 배당 분리 과세 유일하게 중']",자사주 - 배당 - 사건 - 묻지마 - 소각 - 오늘도 - 년차 - 관련 - 경고다 - 관계,0.0,False
국가 백년대계를 다시 짤 새로운 지도자,-1,-1_자사주_배당_사건_묻지마,"['자사주', '배당', '사건', '묻지마', '소각', '오늘도', '년차', '관련', '경고다', '관계']","['배당 받자마자 팔려는 사람들이 많네', '자사주 소각 배당 분리과세 동시 충족하는', '자사주 소각 배당 분리 과세 유일하게 중']",자사주 - 배당 - 사건 - 묻지마 - 소각 - 오늘도 - 년차 - 관련 - 경고다 - 관계,0.0,False
층 보내주세요,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
짜증나게 하지말고,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,0.9572980958587813,False
국민들은 사법질서 무너뜨린 법무장관 규탄,1,1_관세협상_요약_하나금융지주_배당,"['관세협상', '요약', '하나금융지주', '배당', '성공적', '세대는', 'ai가', '자랑하고', '하나금융', '은행주']","['AI 요약 하나금융지주 Twenty', '한 미 관세협상 성공적 자랑하고 결과', '한 미 관세협상 성공적 자랑하고 결과물']",관세협상 - 요약 - 하나금융지주 - 배당 - 성공적 - 세대는 - ai가 - 자랑하고 - 하나금융 - 은행주,0.7206952536329004,False
위에 앵무새야,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
한 미 관세협상 성공적이라는데 우리,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
이번달안에 만넘기고 지지받자,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
대면 대출 금지 수익에 크게 영향 받,1,1_관세협상_요약_하나금융지주_배당,"['관세협상', '요약', '하나금융지주', '배당', '성공적', '세대는', 'ai가', '자랑하고', '하나금융', '은행주']","['AI 요약 하나금융지주 Twenty', '한 미 관세협상 성공적 자랑하고 결과', '한 미 관세협상 성공적 자랑하고 결과물']",관세협상 - 요약 - 하나금융지주 - 배당 - 성공적 - 세대는 - ai가 - 자랑하고 - 하나금융 - 은행주,1.0,False
하나증권 소송 당하고 홈플러스 관련,-1,-1_자사주_배당_사건_묻지마,"['자사주', '배당', '사건', '묻지마', '소각', '오늘도', '년차', '관련', '경고다', '관계']","['배당 받자마자 팔려는 사람들이 많네', '자사주 소각 배당 분리과세 동시 충족하는', '자사주 소각 배당 분리 과세 유일하게 중']",자사주 - 배당 - 사건 - 묻지마 - 소각 - 오늘도 - 년차 - 관련 - 경고다 - 관계,0.0,False
층에 물렸는데,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
하 지루하네,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
국내 평균도 안되네,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
정부 소액 장기투자자 인센티브 방안 마,1,1_관세협상_요약_하나금융지주_배당,"['관세협상', '요약', '하나금융지주', '배당', '성공적', '세대는', 'ai가', '자랑하고', '하나금융', '은행주']","['AI 요약 하나금융지주 Twenty', '한 미 관세협상 성공적 자랑하고 결과', '한 미 관세협상 성공적 자랑하고 결과물']",관세협상 - 요약 - 하나금융지주 - 배당 - 성공적 - 세대는 - ai가 - 자랑하고 - 하나금융 - 은행주,0.9355641359253273,False
주포형님,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
긴급뉴스 하나은행 과 관계 론스타 피,-1,-1_자사주_배당_사건_묻지마,"['자사주', '배당', '사건', '묻지마', '소각', '오늘도', '년차', '관련', '경고다', '관계']","['배당 받자마자 팔려는 사람들이 많네', '자사주 소각 배당 분리과세 동시 충족하는', '자사주 소각 배당 분리 과세 유일하게 중']",자사주 - 배당 - 사건 - 묻지마 - 소각 - 오늘도 - 년차 - 관련 - 경고다 - 관계,0.0,False
AI 요약 하나금융지주 Twenty,1,1_관세협상_요약_하나금융지주_배당,"['관세협상', '요약', '하나금융지주', '배당', '성공적', '세대는', 'ai가', '자랑하고', '하나금융', '은행주']","['AI 요약 하나금융지주 Twenty', '한 미 관세협상 성공적 자랑하고 결과', '한 미 관세협상 성공적 자랑하고 결과물']",관세협상 - 요약 - 하나금융지주 - 배당 - 성공적 - 세대는 - ai가 - 자랑하고 - 하나금융 - 은행주,0.847635125318827,True
월에 하나은행이 새콤달콤이랑,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
낼도 지수 떡락하면,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,0.9455811037910665,False
투자자보호를 위한 첫 걸음을 시작했습니다,1,1_관세협상_요약_하나금융지주_배당,"['관세협상', '요약', '하나금융지주', '배당', '성공적', '세대는', 'ai가', '자랑하고', '하나금융', '은행주']","['AI 요약 하나금융지주 Twenty', '한 미 관세협상 성공적 자랑하고 결과', '한 미 관세협상 성공적 자랑하고 결과물']",관세협상 - 요약 - 하나금융지주 - 배당 - 성공적 - 세대는 - ai가 - 자랑하고 - 하나금융 - 은행주,0.6833112976714896,False
이럴때 자사주 만주씩 사라 아,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
외인 기관 횽님들아,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
계속 빠지네,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
분기 배당기준일 며칠이고 배당금은 며칠,1,1_관세협상_요약_하나금융지주_배당,"['관세협상', '요약', '하나금융지주', '배당', '성공적', '세대는', 'ai가', '자랑하고', '하나금융', '은행주']","['AI 요약 하나금융지주 Twenty', '한 미 관세협상 성공적 자랑하고 결과', '한 미 관세협상 성공적 자랑하고 결과물']",관세협상 - 요약 - 하나금융지주 - 배당 - 성공적 - 세대는 - ai가 - 자랑하고 - 하나금융 - 은행주,1.0,False
미국 금융주 작살나서,1,1_관세협상_요약_하나금융지주_배당,"['관세협상', '요약', '하나금융지주', '배당', '성공적', '세대는', 'ai가', '자랑하고', '하나금융', '은행주']","['AI 요약 하나금융지주 Twenty', '한 미 관세협상 성공적 자랑하고 결과', '한 미 관세협상 성공적 자랑하고 결과물']",관세협상 - 요약 - 하나금융지주 - 배당 - 성공적 - 세대는 - ai가 - 자랑하고 - 하나금융 - 은행주,0.6833112976714896,False
오늘도 매도 창구,-1,-1_자사주_배당_사건_묻지마,"['자사주', '배당', '사건', '묻지마', '소각', '오늘도', '년차', '관련', '경고다', '관계']","['배당 받자마자 팔려는 사람들이 많네', '자사주 소각 배당 분리과세 동시 충족하는', '자사주 소각 배당 분리 과세 유일하게 중']",자사주 - 배당 - 사건 - 묻지마 - 소각 - 오늘도 - 년차 - 관련 - 경고다 - 관계,0.0,False
저평가주면서 배당도 기대됨,1,1_관세협상_요약_하나금융지주_배당,"['관세협상', '요약', '하나금융지주', '배당', '성공적', '세대는', 'ai가', '자랑하고', '하나금융', '은행주']","['AI 요약 하나금융지주 Twenty', '한 미 관세협상 성공적 자랑하고 결과', '한 미 관세협상 성공적 자랑하고 결과물']",관세협상 - 요약 - 하나금융지주 - 배당 - 성공적 - 세대는 - ai가 - 자랑하고 - 하나금융 - 은행주,1.0,False
배당 받자마자 팔려는 사람들이 많네,-1,-1_자사주_배당_사건_묻지마,"['자사주', '배당', '사건', '묻지마', '소각', '오늘도', '년차', '관련', '경고다', '관계']","['배당 받자마자 팔려는 사람들이 많네', '자사주 소각 배당 분리과세 동시 충족하는', '자사주 소각 배당 분리 과세 유일하게 중']",자사주 - 배당 - 사건 - 묻지마 - 소각 - 오늘도 - 년차 - 관련 - 경고다 - 관계,0.0,True
이번에 배당 언제 나오나염,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
한은 금리 인상해야 한다고 상한가,-1,-1_자사주_배당_사건_묻지마,"['자사주', '배당', '사건', '묻지마', '소각', '오늘도', '년차', '관련', '경고다', '관계']","['배당 받자마자 팔려는 사람들이 많네', '자사주 소각 배당 분리과세 동시 충족하는', '자사주 소각 배당 분리 과세 유일하게 중']",자사주 - 배당 - 사건 - 묻지마 - 소각 - 오늘도 - 년차 - 관련 - 경고다 - 관계,0.0,False
올쏘 신한 왜노무들이 주가상승 방해 주,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
이번주 발의되는 자사주 소각 배당 분리과,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,0.9878240532479242,False
사법체계 무너뜨린 법무장관은 즉각 물러나,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,0.8898975740745797,False
만 초반까지는 버텨준다,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
남은총알 다 쓸어넣었다,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,0.956944841910211,False
사 신한증권 왜인 또 죄날하네,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
자사주 소각하는 차 상법개정안 다음주,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,0.9788733632802061,False
배당얼마주나요,-1,-1_자사주_배당_사건_묻지마,"['자사주', '배당', '사건', '묻지마', '소각', '오늘도', '년차', '관련', '경고다', '관계']","['배당 받자마자 팔려는 사람들이 많네', '자사주 소각 배당 분리과세 동시 충족하는', '자사주 소각 배당 분리 과세 유일하게 중']",자사주 - 배당 - 사건 - 묻지마 - 소각 - 오늘도 - 년차 - 관련 - 경고다 - 관계,0.0,False
불금 불타나,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
늦은시간에 뭔 득을 보겠다고 팔고 있누,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,0.9867066288335576,False
막판에 동시호가보니 웃기던데요,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
오늘 참 힘들게 오른다,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,1.0,False
주식투자의 근본은,1,1_관세협상_요약_하나금융지주_배당,"['관세협상', '요약', '하나금융지주', '배당', '성공적', '세대는', 'ai가', '자랑하고', '하나금융', '은행주']","['AI 요약 하나금융지주 Twenty', '한 미 관세협상 성공적 자랑하고 결과', '한 미 관세협상 성공적 자랑하고 결과물']",관세협상 - 요약 - 하나금융지주 - 배당 - 성공적 - 세대는 - ai가 - 자랑하고 - 하나금융 - 은행주,0.7267803117001601,False
삼성중공업 하이닉스 스퀘어 하나금,-1,-1_자사주_배당_사건_묻지마,"['자사주', '배당', '사건', '묻지마', '소각', '오늘도', '년차', '관련', '경고다', '관계']","['배당 받자마자 팔려는 사람들이 많네', '자사주 소각 배당 분리과세 동시 충족하는', '자사주 소각 배당 분리 과세 유일하게 중']",자사주 - 배당 - 사건 - 묻지마 - 소각 - 오늘도 - 년차 - 관련 - 경고다 - 관계,0.0,False
조심들해라 이런 원대 환율이면,0,0_오늘_매도_지금_자사주,"['오늘', '매도', '지금', '자사주', '배당', '무조건', '배당락', '계속', '만원', '배당분리과세']","['아 오늘 배당락이였어', '시초가 플러스에 일단 매도 하시오', '오늘 고점 매도 냠냠 외인 만천여주']",오늘 - 매도 - 지금 - 자사주 - 배당 - 무조건 - 배당락 - 계속 - 만원 - 배당분리과세,0.9274962066453194,False
