Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
오늘은 소폭이지만,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.9251590776978628,False
읽지마세요,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.8972205743211691,False
매도잔량 만주,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.7682311208983892,False
배당금 인상에 만원 까지는 기본 셋팅값,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.7638843820537916,False
자사주 소각하자,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.7903088439591659,False
주담과통화,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.766144818643878,False
Kt,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.7371117107640481,False
오늘 전화들해봐라,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.8027350848439858,False
만원이 적정가이다,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.965770355308528,False
배당금받을려면,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.6703364011508097,False
투자자 보호를 위한 첫 걸음을 시작 했습니다,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.7654236197615947,True
코스피영향을 받아 아직,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.8930273978155436,False
그림때매 읽지마세요,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.9773281178922029,False
읽지 마세요,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.8658693223910858,False
배당,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.7268139327702872,False
담배그림좀 바꿔달랬더니 읽지마세요,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.9149907873611363,False
위약금 면제 안해,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.9773281178922029,False
노조 정부라서 낙하산 대표 힘들걸,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.8211481323274211,False
차기대표는 전문 경영인이 되야 되는데 큰일이다,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.9199718174820419,False
오늘은,0,0_배당금_오늘_배당_개연금,"['배당금', '오늘', '배당', '개연금', '읽지마세요', '자사주', '해킹', '이번', '나닥', '나도']","['투자자 보호를 위한 첫 걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습니', '오늘 주당 배당금 세금 띠고']",배당금 - 오늘 - 배당 - 개연금 - 읽지마세요 - 자사주 - 해킹 - 이번 - 나닥 - 나도,0.9251590776978628,False
