Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
오늘 동시호가 왜곡 나왔네,0,0_내가_외국인_오늘_연기금,"['내가', '외국인', '오늘', '연기금', '그냥', '서버', '매도', '당했다고', '외국인이', '상한가']","['유뿔 해킹 당했다고 하든데', '연기금 매도 끝나면 날아가려나', '내가 유플러스 년 가지고 있었고 계속 추매한']",내가 - 외국인 - 오늘 - 연기금 - 그냥 - 서버 - 매도 - 당했다고 - 외국인이 - 상한가,0.976280234384512,False
동시호가왜곡,1,1_냅둬_유플_그냥_cnh,"['냅둬', '유플', '그냥', 'cnh', '거래주체', '건강한', '개인들', 'sm그룹', '관종', '국장은']","['SKT LGU 주파수 재할당 대가 법싸움', '그냥 냅둬', '냅둬 그냥 냅둬']",냅둬 - 유플 - 그냥 - cnh - 거래주체 - 건강한 - 개인들 - sm그룹 - 관종 - 국장은,0.8010818590179782,False
갑자기 찍었네,0,0_내가_외국인_오늘_연기금,"['내가', '외국인', '오늘', '연기금', '그냥', '서버', '매도', '당했다고', '외국인이', '상한가']","['유뿔 해킹 당했다고 하든데', '연기금 매도 끝나면 날아가려나', '내가 유플러스 년 가지고 있었고 계속 추매한']",내가 - 외국인 - 오늘 - 연기금 - 그냥 - 서버 - 매도 - 당했다고 - 외국인이 - 상한가,1.0,False
부정선거용 화웨이서버,-1,-1_요약_lg유플러스_ai_분기,"['요약', 'lg유플러스', 'ai', '분기', '당하고', '매수', '유플', '해킹', 'wa', 'youtube']","['장 요약 분기 실적 발표 AI', 'AI 요약 LG유플러스 주요 경영현황 설명', 'AI 요약 LG유플러스 년 분기']",요약 - lg유플러스 - ai - 분기 - 당하고 - 매수 - 유플 - 해킹 - wa - youtube,0.0,False
환율이 큰산이네,0,0_내가_외국인_오늘_연기금,"['내가', '외국인', '오늘', '연기금', '그냥', '서버', '매도', '당했다고', '외국인이', '상한가']","['유뿔 해킹 당했다고 하든데', '연기금 매도 끝나면 날아가려나', '내가 유플러스 년 가지고 있었고 계속 추매한']",내가 - 외국인 - 오늘 - 연기금 - 그냥 - 서버 - 매도 - 당했다고 - 외국인이 - 상한가,0.9609517031174263,False
역시,1,1_냅둬_유플_그냥_cnh,"['냅둬', '유플', '그냥', 'cnh', '거래주체', '건강한', '개인들', 'sm그룹', '관종', '국장은']","['SKT LGU 주파수 재할당 대가 법싸움', '그냥 냅둬', '냅둬 그냥 냅둬']",냅둬 - 유플 - 그냥 - cnh - 거래주체 - 건강한 - 개인들 - sm그룹 - 관종 - 국장은,0.8010818590179782,False
요즘 밥상은,0,0_내가_외국인_오늘_연기금,"['내가', '외국인', '오늘', '연기금', '그냥', '서버', '매도', '당했다고', '외국인이', '상한가']","['유뿔 해킹 당했다고 하든데', '연기금 매도 끝나면 날아가려나', '내가 유플러스 년 가지고 있었고 계속 추매한']",내가 - 외국인 - 오늘 - 연기금 - 그냥 - 서버 - 매도 - 당했다고 - 외국인이 - 상한가,0.9548884445419105,False
아놓쳐따,-1,-1_요약_lg유플러스_ai_분기,"['요약', 'lg유플러스', 'ai', '분기', '당하고', '매수', '유플', '해킹', 'wa', 'youtube']","['장 요약 분기 실적 발표 AI', 'AI 요약 LG유플러스 주요 경영현황 설명', 'AI 요약 LG유플러스 년 분기']",요약 - lg유플러스 - ai - 분기 - 당하고 - 매수 - 유플 - 해킹 - wa - youtube,0.0,False
오늘 종가 예상,0,0_내가_외국인_오늘_연기금,"['내가', '외국인', '오늘', '연기금', '그냥', '서버', '매도', '당했다고', '외국인이', '상한가']","['유뿔 해킹 당했다고 하든데', '연기금 매도 끝나면 날아가려나', '내가 유플러스 년 가지고 있었고 계속 추매한']",내가 - 외국인 - 오늘 - 연기금 - 그냥 - 서버 - 매도 - 당했다고 - 외국인이 - 상한가,0.9216065670008842,False
SKT LGU 주파수 재할당 대가 법싸움,1,1_냅둬_유플_그냥_cnh,"['냅둬', '유플', '그냥', 'cnh', '거래주체', '건강한', '개인들', 'sm그룹', '관종', '국장은']","['SKT LGU 주파수 재할당 대가 법싸움', '그냥 냅둬', '냅둬 그냥 냅둬']",냅둬 - 유플 - 그냥 - cnh - 거래주체 - 건강한 - 개인들 - sm그룹 - 관종 - 국장은,0.658960800164219,True
