Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
환율 오르면,-1,-1_중국_삼양_다시_만원,"['중국', '삼양', '다시', '만원', '날아간다', '삼양식품', '기관은', '미국', '요약', '일선']","['삼양 날아간다 짓밟히던 주가가 날아간다', '삼양 다시 가는 각이잖아요', '중국 총라면시장규모 년 조원추정 삼양 목표는']",중국 - 삼양 - 다시 - 만원 - 날아간다 - 삼양식품 - 기관은 - 미국 - 요약 - 일선,0.0,False
도데체,0,0_가능성_개미털기_거짓말_과거,"['가능성', '개미털기', '거짓말', '과거', '지금', '니들은', '도데체', '마지막', '미쳤다', '멜린치']","['마지막 개미털기', '여기저기 알아보니', '불닭으로 혼문은 완성된다']",가능성 - 개미털기 - 거짓말 - 과거 - 지금 - 니들은 - 도데체 - 마지막 - 미쳤다 - 멜린치,0.7470335356670582,False
조만간,0,0_가능성_개미털기_거짓말_과거,"['가능성', '개미털기', '거짓말', '과거', '지금', '니들은', '도데체', '마지막', '미쳤다', '멜린치']","['마지막 개미털기', '여기저기 알아보니', '불닭으로 혼문은 완성된다']",가능성 - 개미털기 - 거짓말 - 과거 - 지금 - 니들은 - 도데체 - 마지막 - 미쳤다 - 멜린치,0.8949585391696149,False
기관은 꾸준하게 매집중,-1,-1_중국_삼양_다시_만원,"['중국', '삼양', '다시', '만원', '날아간다', '삼양식품', '기관은', '미국', '요약', '일선']","['삼양 날아간다 짓밟히던 주가가 날아간다', '삼양 다시 가는 각이잖아요', '중국 총라면시장규모 년 조원추정 삼양 목표는']",중국 - 삼양 - 다시 - 만원 - 날아간다 - 삼양식품 - 기관은 - 미국 - 요약 - 일선,0.0,False
공매도가 주가 오르는 것을 막고있는 이때,4,4_윤대통령_공매도_것을_공매도가,"['윤대통령', '공매도', '것을', '공매도가', '공매금지', '공매도금지좀', 'mf때', '달로', '그저그런가보다', '금지좀']","['MF때 달러가 얼마나 귀한 대접을', '공매도가 주가 오르는 것을 막고있는 이때', '대여기한 무제한에서 달로 제한 윤대통령']",윤대통령 - 공매도 - 것을 - 공매도가 - 공매금지 - 공매도금지좀 - mf때 - 달로 - 그저그런가보다 - 금지좀,1.0,True
자사주를 파니 공매도를 치겠죠,-1,-1_중국_삼양_다시_만원,"['중국', '삼양', '다시', '만원', '날아간다', '삼양식품', '기관은', '미국', '요약', '일선']","['삼양 날아간다 짓밟히던 주가가 날아간다', '삼양 다시 가는 각이잖아요', '중국 총라면시장규모 년 조원추정 삼양 목표는']",중국 - 삼양 - 다시 - 만원 - 날아간다 - 삼양식품 - 기관은 - 미국 - 요약 - 일선,0.0,False
여러분 중이 증권사에 나타났다고 해요,-1,-1_중국_삼양_다시_만원,"['중국', '삼양', '다시', '만원', '날아간다', '삼양식품', '기관은', '미국', '요약', '일선']","['삼양 날아간다 짓밟히던 주가가 날아간다', '삼양 다시 가는 각이잖아요', '중국 총라면시장규모 년 조원추정 삼양 목표는']",중국 - 삼양 - 다시 - 만원 - 날아간다 - 삼양식품 - 기관은 - 미국 - 요약 - 일선,0.0,False
환율 원,-1,-1_중국_삼양_다시_만원,"['중국', '삼양', '다시', '만원', '날아간다', '삼양식품', '기관은', '미국', '요약', '일선']","['삼양 날아간다 짓밟히던 주가가 날아간다', '삼양 다시 가는 각이잖아요', '중국 총라면시장규모 년 조원추정 삼양 목표는']",중국 - 삼양 - 다시 - 만원 - 날아간다 - 삼양식품 - 기관은 - 미국 - 요약 - 일선,0.0,False
공매도금지좀 되길,4,4_윤대통령_공매도_것을_공매도가,"['윤대통령', '공매도', '것을', '공매도가', '공매금지', '공매도금지좀', 'mf때', '달로', '그저그런가보다', '금지좀']","['MF때 달러가 얼마나 귀한 대접을', '공매도가 주가 오르는 것을 막고있는 이때', '대여기한 무제한에서 달로 제한 윤대통령']",윤대통령 - 공매도 - 것을 - 공매도가 - 공매금지 - 공매도금지좀 - mf때 - 달로 - 그저그런가보다 - 금지좀,0.9822020154752262,False
공매도와의 전투,1,1_공매도_공매잡이_거래량이_공매도만,"['공매도', '공매잡이', '거래량이', '공매도만', '공매도와의', 'mz세대', '단타를', '공매들', '공매의', '금액커서']","['공매도 단타를 한다', '중장기 투자 목적의 신규 해외투자자 유입', '공매도']",공매도 - 공매잡이 - 거래량이 - 공매도만 - 공매도와의 - mz세대 - 단타를 - 공매들 - 공매의 - 금액커서,1.0,False
마지막 개미털기,0,0_가능성_개미털기_거짓말_과거,"['가능성', '개미털기', '거짓말', '과거', '지금', '니들은', '도데체', '마지막', '미쳤다', '멜린치']","['마지막 개미털기', '여기저기 알아보니', '불닭으로 혼문은 완성된다']",가능성 - 개미털기 - 거짓말 - 과거 - 지금 - 니들은 - 도데체 - 마지막 - 미쳤다 - 멜린치,0.8820992535277934,True
만원 안착을 못하네,4,4_윤대통령_공매도_것을_공매도가,"['윤대통령', '공매도', '것을', '공매도가', '공매금지', '공매도금지좀', 'mf때', '달로', '그저그런가보다', '금지좀']","['MF때 달러가 얼마나 귀한 대접을', '공매도가 주가 오르는 것을 막고있는 이때', '대여기한 무제한에서 달로 제한 윤대통령']",윤대통령 - 공매도 - 것을 - 공매도가 - 공매금지 - 공매도금지좀 - mf때 - 달로 - 그저그런가보다 - 금지좀,1.0,False
MF때 달러가 얼마나 귀한 대접을,4,4_윤대통령_공매도_것을_공매도가,"['윤대통령', '공매도', '것을', '공매도가', '공매금지', '공매도금지좀', 'mf때', '달로', '그저그런가보다', '금지좀']","['MF때 달러가 얼마나 귀한 대접을', '공매도가 주가 오르는 것을 막고있는 이때', '대여기한 무제한에서 달로 제한 윤대통령']",윤대통령 - 공매도 - 것을 - 공매도가 - 공매금지 - 공매도금지좀 - mf때 - 달로 - 그저그런가보다 - 금지좀,0.9777162508013668,True
환율 원 이 의미는,4,4_윤대통령_공매도_것을_공매도가,"['윤대통령', '공매도', '것을', '공매도가', '공매금지', '공매도금지좀', 'mf때', '달로', '그저그런가보다', '금지좀']","['MF때 달러가 얼마나 귀한 대접을', '공매도가 주가 오르는 것을 막고있는 이때', '대여기한 무제한에서 달로 제한 윤대통령']",윤대통령 - 공매도 - 것을 - 공매도가 - 공매금지 - 공매도금지좀 - mf때 - 달로 - 그저그런가보다 - 금지좀,0.9619103899731286,False
삼양 개발자 잘라버려야 됨,-1,-1_중국_삼양_다시_만원,"['중국', '삼양', '다시', '만원', '날아간다', '삼양식품', '기관은', '미국', '요약', '일선']","['삼양 날아간다 짓밟히던 주가가 날아간다', '삼양 다시 가는 각이잖아요', '중국 총라면시장규모 년 조원추정 삼양 목표는']",중국 - 삼양 - 다시 - 만원 - 날아간다 - 삼양식품 - 기관은 - 미국 - 요약 - 일선,0.0,False
앞으로,0,0_가능성_개미털기_거짓말_과거,"['가능성', '개미털기', '거짓말', '과거', '지금', '니들은', '도데체', '마지막', '미쳤다', '멜린치']","['마지막 개미털기', '여기저기 알아보니', '불닭으로 혼문은 완성된다']",가능성 - 개미털기 - 거짓말 - 과거 - 지금 - 니들은 - 도데체 - 마지막 - 미쳤다 - 멜린치,1.0,False
