Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
거래량 많은 종목들,0,0_감좌탕_결과_구렁이_공지,"['감좌탕', '결과', '구렁이', '공지', '기사떴다', '매도가', '무상', '내용', '당연한', '많은']","['당연한 결과', '공지 내용', '거래량 많은 종목들']",감좌탕 - 결과 - 구렁이 - 공지 - 기사떴다 - 매도가 - 무상 - 내용 - 당연한 - 많은,0.8099903183005938,True
한금비교 분석요청글에 아무도 답을 못하는 것,-1,-1_키움_영웅문_요약_키움증권,"['키움', '영웅문', '요약', '키움증권', '접속', '안됨', '분기', '실적', '너는', '이상']","['AI 요약 키움증권 국내 NDR 진', '키움증권 영웅문 에러', 'AI 요약 키움증권 년 분기 실적이']",키움 - 영웅문 - 요약 - 키움증권 - 접속 - 안됨 - 분기 - 실적 - 너는 - 이상,0.0,False
배당분리과세 이소영 의원 응원합니다,1,1_증권사_증권주_실적_키움증권,"['증권사', '증권주', '실적', '키움증권', '가진곳이', '갈아탔다', '경고', '층까지', '뉴욕증시', '국내증권사들은']","['실적 더 좋은 중소행 증권주 찬밥이네 한', '키움증권 먹통 아직도 진행중 쓰레기 증권이냐', '정신나간 증권사 이참에 메리츠로 갈아탔다']",증권사 - 증권주 - 실적 - 키움증권 - 가진곳이 - 갈아탔다 - 경고 - 층까지 - 뉴욕증시 - 국내증권사들은,1.0,False
낼은 몇 상승마감할까요,-1,-1_키움_영웅문_요약_키움증권,"['키움', '영웅문', '요약', '키움증권', '접속', '안됨', '분기', '실적', '너는', '이상']","['AI 요약 키움증권 국내 NDR 진', '키움증권 영웅문 에러', 'AI 요약 키움증권 년 분기 실적이']",키움 - 영웅문 - 요약 - 키움증권 - 접속 - 안됨 - 분기 - 실적 - 너는 - 이상,0.0,False
금요일에 사서 화요일에 팔아라 증시 수익률,-1,-1_키움_영웅문_요약_키움증권,"['키움', '영웅문', '요약', '키움증권', '접속', '안됨', '분기', '실적', '너는', '이상']","['AI 요약 키움증권 국내 NDR 진', '키움증권 영웅문 에러', 'AI 요약 키움증권 년 분기 실적이']",키움 - 영웅문 - 요약 - 키움증권 - 접속 - 안됨 - 분기 - 실적 - 너는 - 이상,0.0,False
뉴욕증시 연준 트럼프 양대 풋 에 반등 동,1,1_증권사_증권주_실적_키움증권,"['증권사', '증권주', '실적', '키움증권', '가진곳이', '갈아탔다', '경고', '층까지', '뉴욕증시', '국내증권사들은']","['실적 더 좋은 중소행 증권주 찬밥이네 한', '키움증권 먹통 아직도 진행중 쓰레기 증권이냐', '정신나간 증권사 이참에 메리츠로 갈아탔다']",증권사 - 증권주 - 실적 - 키움증권 - 가진곳이 - 갈아탔다 - 경고 - 층까지 - 뉴욕증시 - 국내증권사들은,1.0,False
키움증권 한국금융지주 중 상대적 저평가 종목은,-1,-1_키움_영웅문_요약_키움증권,"['키움', '영웅문', '요약', '키움증권', '접속', '안됨', '분기', '실적', '너는', '이상']","['AI 요약 키움증권 국내 NDR 진', '키움증권 영웅문 에러', 'AI 요약 키움증권 년 분기 실적이']",키움 - 영웅문 - 요약 - 키움증권 - 접속 - 안됨 - 분기 - 실적 - 너는 - 이상,0.0,False
니가 AI냐 허구언날 떨어지네,-1,-1_키움_영웅문_요약_키움증권,"['키움', '영웅문', '요약', '키움증권', '접속', '안됨', '분기', '실적', '너는', '이상']","['AI 요약 키움증권 국내 NDR 진', '키움증권 영웅문 에러', 'AI 요약 키움증권 년 분기 실적이']",키움 - 영웅문 - 요약 - 키움증권 - 접속 - 안됨 - 분기 - 실적 - 너는 - 이상,0.0,False
급등락 계속 하면서 하우스,4,4_개정되기전까지는_계속_구경만_그냥,"['개정되기전까지는', '계속', '구경만', '그냥', '급등락', '기다리면', '누가보면', '단타', '당한', '됩니다']","['와 오래만에 원가이상 회복해서 아침에 팔았어야하', '누가보면 키움도 압수수색 당한 줄 알겠네', '팔지도 못하고 떨어지는거 구경만 하게 생겼네']",개정되기전까지는 - 계속 - 구경만 - 그냥 - 급등락 - 기다리면 - 누가보면 - 단타 - 당한 - 됩니다,1.0,False
상속세 개정되기전까지는 안갈듯,4,4_개정되기전까지는_계속_구경만_그냥,"['개정되기전까지는', '계속', '구경만', '그냥', '급등락', '기다리면', '누가보면', '단타', '당한', '됩니다']","['와 오래만에 원가이상 회복해서 아침에 팔았어야하', '누가보면 키움도 압수수색 당한 줄 알겠네', '팔지도 못하고 떨어지는거 구경만 하게 생겼네']",개정되기전까지는 - 계속 - 구경만 - 그냥 - 급등락 - 기다리면 - 누가보면 - 단타 - 당한 - 됩니다,0.9983348771981917,False
