Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
자사주 매입은 끝났구려,0,0_오늘_자사주_오늘도_떨어져,"['오늘', '자사주', '오늘도', '떨어져', '두나무', '연기금', '이거', '지수', '물타고', '네이버']","['오늘 또 이렇게 개미 시체를 쌓는구나', '속보 네이버 두나무 조 핀테크 공룡', '오늘']",오늘 - 자사주 - 오늘도 - 떨어져 - 두나무 - 연기금 - 이거 - 지수 - 물타고 - 네이버,1.0,False
원 대폭등 축하합니다,0,0_오늘_자사주_오늘도_떨어져,"['오늘', '자사주', '오늘도', '떨어져', '두나무', '연기금', '이거', '지수', '물타고', '네이버']","['오늘 또 이렇게 개미 시체를 쌓는구나', '속보 네이버 두나무 조 핀테크 공룡', '오늘']",오늘 - 자사주 - 오늘도 - 떨어져 - 두나무 - 연기금 - 이거 - 지수 - 물타고 - 네이버,1.0,False
완전,0,0_오늘_자사주_오늘도_떨어져,"['오늘', '자사주', '오늘도', '떨어져', '두나무', '연기금', '이거', '지수', '물타고', '네이버']","['오늘 또 이렇게 개미 시체를 쌓는구나', '속보 네이버 두나무 조 핀테크 공룡', '오늘']",오늘 - 자사주 - 오늘도 - 떨어져 - 두나무 - 연기금 - 이거 - 지수 - 물타고 - 네이버,1.0,False
물타고 물타고 오늘의 평단,0,0_오늘_자사주_오늘도_떨어져,"['오늘', '자사주', '오늘도', '떨어져', '두나무', '연기금', '이거', '지수', '물타고', '네이버']","['오늘 또 이렇게 개미 시체를 쌓는구나', '속보 네이버 두나무 조 핀테크 공룡', '오늘']",오늘 - 자사주 - 오늘도 - 떨어져 - 두나무 - 연기금 - 이거 - 지수 - 물타고 - 네이버,1.0,False
일선,0,0_오늘_자사주_오늘도_떨어져,"['오늘', '자사주', '오늘도', '떨어져', '두나무', '연기금', '이거', '지수', '물타고', '네이버']","['오늘 또 이렇게 개미 시체를 쌓는구나', '속보 네이버 두나무 조 핀테크 공룡', '오늘']",오늘 - 자사주 - 오늘도 - 떨어져 - 두나무 - 연기금 - 이거 - 지수 - 물타고 - 네이버,1.0,False
년 만원,0,0_오늘_자사주_오늘도_떨어져,"['오늘', '자사주', '오늘도', '떨어져', '두나무', '연기금', '이거', '지수', '물타고', '네이버']","['오늘 또 이렇게 개미 시체를 쌓는구나', '속보 네이버 두나무 조 핀테크 공룡', '오늘']",오늘 - 자사주 - 오늘도 - 떨어져 - 두나무 - 연기금 - 이거 - 지수 - 물타고 - 네이버,1.0,False
퍼 올랐을때 암걸릴뻔,0,0_오늘_자사주_오늘도_떨어져,"['오늘', '자사주', '오늘도', '떨어져', '두나무', '연기금', '이거', '지수', '물타고', '네이버']","['오늘 또 이렇게 개미 시체를 쌓는구나', '속보 네이버 두나무 조 핀테크 공룡', '오늘']",오늘 - 자사주 - 오늘도 - 떨어져 - 두나무 - 연기금 - 이거 - 지수 - 물타고 - 네이버,1.0,False
오늘 또 이렇게 개미 시체를 쌓는구나,0,0_오늘_자사주_오늘도_떨어져,"['오늘', '자사주', '오늘도', '떨어져', '두나무', '연기금', '이거', '지수', '물타고', '네이버']","['오늘 또 이렇게 개미 시체를 쌓는구나', '속보 네이버 두나무 조 핀테크 공룡', '오늘']",오늘 - 자사주 - 오늘도 - 떨어져 - 두나무 - 연기금 - 이거 - 지수 - 물타고 - 네이버,1.0,True
인구수줄어드는데 돈만쳐모으면,-1,-1_다음주_삼성_공매꾼들아_공매꾼들의,"['다음주', '삼성', '공매꾼들아', '공매꾼들의', '공매도', '간당간당하게라도', '그럼', '급등', '기대', '기회에']","['슨피 삼성 팔고 이놈 풀 매수', '다음주 야당주최 상법개정 토론회', '일단 삼성 미장 파란불 그럼 이놈이 빨간불']",다음주 - 삼성 - 공매꾼들아 - 공매꾼들의 - 공매도 - 간당간당하게라도 - 그럼 - 급등 - 기대 - 기회에,0.0,False
오늘도 홈런입니다,0,0_오늘_자사주_오늘도_떨어져,"['오늘', '자사주', '오늘도', '떨어져', '두나무', '연기금', '이거', '지수', '물타고', '네이버']","['오늘 또 이렇게 개미 시체를 쌓는구나', '속보 네이버 두나무 조 핀테크 공룡', '오늘']",오늘 - 자사주 - 오늘도 - 떨어져 - 두나무 - 연기금 - 이거 - 지수 - 물타고 - 네이버,0.8732277787708888,False
