Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
꼬라지를 보니 만원은 한번 깨지것다,-1,-1_목표가_외국인_유진투자증권에서_유타에,"['목표가', '외국인', '유진투자증권에서', '유타에', '영업이익', '매수', '오늘', '현대건설', 'kb증권', '거는']","['일간 외국인 연속 매수', '어제 오늘 주식시장 전반은 외국인의 매도 융단', '수익도 못내는 허풍 건설을 목표가 만원이라']",목표가 - 외국인 - 유진투자증권에서 - 유타에 - 영업이익 - 매수 - 오늘 - 현대건설 - kb증권 - 거는,0.0,False
꼴랑 만천주 털어서 뭐 하겠냐,0,0_거래량이_많이_중반_오르고,"['거래량이', '많이', '중반', '오르고', '상한가', '지금', '호가창', '해라', '어제', '진짜']","['근디 호가창 참 거시기혀네', '어제 찔금찔금 개미꼬딱지만큼 오른 삼성전', '오늘부터 재건주 많이 오르고 있네']",거래량이 - 많이 - 중반 - 오르고 - 상한가 - 지금 - 호가창 - 해라 - 어제 - 진짜,0.9108667593433989,False
재건 원전,1,1_현대건설_재건_건설_원전,"['현대건설', '재건', '건설', '원전', '반도체', '원전이', '대장주', '재건주', 'uae도', 'uae']","['클릭 e종목 현대건설 내년 원전 수주', '현대건설 억불 해수시설 건설', '재건 원전 건설 호재가 많은데']",현대건설 - 재건 - 건설 - 원전 - 반도체 - 원전이 - 대장주 - 재건주 - uae도 - uae,0.8667582005170594,False
오 개인털엇다 굿굿,0,0_거래량이_많이_중반_오르고,"['거래량이', '많이', '중반', '오르고', '상한가', '지금', '호가창', '해라', '어제', '진짜']","['근디 호가창 참 거시기혀네', '어제 찔금찔금 개미꼬딱지만큼 오른 삼성전', '오늘부터 재건주 많이 오르고 있네']",거래량이 - 많이 - 중반 - 오르고 - 상한가 - 지금 - 호가창 - 해라 - 어제 - 진짜,0.7844986701330205,False
무엇,2,2_문제_엔비디아_결국_단기,"['문제', '엔비디아', '결국', '단기', '그래프가', '대단혀네', 'sb', '선물개하락', '때문에', '무엇']","['엔비디아 때문에', '결국 개미들이 문제', '이제는 시간이 문제']",문제 - 엔비디아 - 결국 - 단기 - 그래프가 - 대단혀네 - sb - 선물개하락 - 때문에 - 무엇,1.0,False
정 씨,2,2_문제_엔비디아_결국_단기,"['문제', '엔비디아', '결국', '단기', '그래프가', '대단혀네', 'sb', '선물개하락', '때문에', '무엇']","['엔비디아 때문에', '결국 개미들이 문제', '이제는 시간이 문제']",문제 - 엔비디아 - 결국 - 단기 - 그래프가 - 대단혀네 - sb - 선물개하락 - 때문에 - 무엇,1.0,False
다른 재건주는 다 오르고 있는데 왜 아,0,0_거래량이_많이_중반_오르고,"['거래량이', '많이', '중반', '오르고', '상한가', '지금', '호가창', '해라', '어제', '진짜']","['근디 호가창 참 거시기혀네', '어제 찔금찔금 개미꼬딱지만큼 오른 삼성전', '오늘부터 재건주 많이 오르고 있네']",거래량이 - 많이 - 중반 - 오르고 - 상한가 - 지금 - 호가창 - 해라 - 어제 - 진짜,0.7523595195492713,False
오늘부터 재건주 많이 오르고 있네,0,0_거래량이_많이_중반_오르고,"['거래량이', '많이', '중반', '오르고', '상한가', '지금', '호가창', '해라', '어제', '진짜']","['근디 호가창 참 거시기혀네', '어제 찔금찔금 개미꼬딱지만큼 오른 삼성전', '오늘부터 재건주 많이 오르고 있네']",거래량이 - 많이 - 중반 - 오르고 - 상한가 - 지금 - 호가창 - 해라 - 어제 - 진짜,0.9999632003736032,True
공매도에 떨어질때,-1,-1_목표가_외국인_유진투자증권에서_유타에,"['목표가', '외국인', '유진투자증권에서', '유타에', '영업이익', '매수', '오늘', '현대건설', 'kb증권', '거는']","['일간 외국인 연속 매수', '어제 오늘 주식시장 전반은 외국인의 매도 융단', '수익도 못내는 허풍 건설을 목표가 만원이라']",목표가 - 외국인 - 유진투자증권에서 - 유타에 - 영업이익 - 매수 - 오늘 - 현대건설 - kb증권 - 거는,0.0,False
재건주 테마에도 요지부동,1,1_현대건설_재건_건설_원전,"['현대건설', '재건', '건설', '원전', '반도체', '원전이', '대장주', '재건주', 'uae도', 'uae']","['클릭 e종목 현대건설 내년 원전 수주', '현대건설 억불 해수시설 건설', '재건 원전 건설 호재가 많은데']",현대건설 - 재건 - 건설 - 원전 - 반도체 - 원전이 - 대장주 - 재건주 - uae도 - uae,1.0,False
원전으로 실적 나오려면 년쯤 돼야,1,1_현대건설_재건_건설_원전,"['현대건설', '재건', '건설', '원전', '반도체', '원전이', '대장주', '재건주', 'uae도', 'uae']","['클릭 e종목 현대건설 내년 원전 수주', '현대건설 억불 해수시설 건설', '재건 원전 건설 호재가 많은데']",현대건설 - 재건 - 건설 - 원전 - 반도체 - 원전이 - 대장주 - 재건주 - uae도 - uae,0.7114911871165044,False
분기 영업이익,-1,-1_목표가_외국인_유진투자증권에서_유타에,"['목표가', '외국인', '유진투자증권에서', '유타에', '영업이익', '매수', '오늘', '현대건설', 'kb증권', '거는']","['일간 외국인 연속 매수', '어제 오늘 주식시장 전반은 외국인의 매도 융단', '수익도 못내는 허풍 건설을 목표가 만원이라']",목표가 - 외국인 - 유진투자증권에서 - 유타에 - 영업이익 - 매수 - 오늘 - 현대건설 - kb증권 - 거는,0.0,False
재건을 따라가냐,0,0_거래량이_많이_중반_오르고,"['거래량이', '많이', '중반', '오르고', '상한가', '지금', '호가창', '해라', '어제', '진짜']","['근디 호가창 참 거시기혀네', '어제 찔금찔금 개미꼬딱지만큼 오른 삼성전', '오늘부터 재건주 많이 오르고 있네']",거래량이 - 많이 - 중반 - 오르고 - 상한가 - 지금 - 호가창 - 해라 - 어제 - 진짜,1.0,False
또 떨어지냐,0,0_거래량이_많이_중반_오르고,"['거래량이', '많이', '중반', '오르고', '상한가', '지금', '호가창', '해라', '어제', '진짜']","['근디 호가창 참 거시기혀네', '어제 찔금찔금 개미꼬딱지만큼 오른 삼성전', '오늘부터 재건주 많이 오르고 있네']",거래량이 - 많이 - 중반 - 오르고 - 상한가 - 지금 - 호가창 - 해라 - 어제 - 진짜,0.8088129767883024,False
원전이 먼저일까,1,1_현대건설_재건_건설_원전,"['현대건설', '재건', '건설', '원전', '반도체', '원전이', '대장주', '재건주', 'uae도', 'uae']","['클릭 e종목 현대건설 내년 원전 수주', '현대건설 억불 해수시설 건설', '재건 원전 건설 호재가 많은데']",현대건설 - 재건 - 건설 - 원전 - 반도체 - 원전이 - 대장주 - 재건주 - uae도 - uae,0.693681150772389,False
현건,2,2_문제_엔비디아_결국_단기,"['문제', '엔비디아', '결국', '단기', '그래프가', '대단혀네', 'sb', '선물개하락', '때문에', '무엇']","['엔비디아 때문에', '결국 개미들이 문제', '이제는 시간이 문제']",문제 - 엔비디아 - 결국 - 단기 - 그래프가 - 대단혀네 - sb - 선물개하락 - 때문에 - 무엇,1.0,False
어쩌면,2,2_문제_엔비디아_결국_단기,"['문제', '엔비디아', '결국', '단기', '그래프가', '대단혀네', 'sb', '선물개하락', '때문에', '무엇']","['엔비디아 때문에', '결국 개미들이 문제', '이제는 시간이 문제']",문제 - 엔비디아 - 결국 - 단기 - 그래프가 - 대단혀네 - sb - 선물개하락 - 때문에 - 무엇,0.6638143655770362,False
차트가 또 다시 내려앉을 차트네,0,0_거래량이_많이_중반_오르고,"['거래량이', '많이', '중반', '오르고', '상한가', '지금', '호가창', '해라', '어제', '진짜']","['근디 호가창 참 거시기혀네', '어제 찔금찔금 개미꼬딱지만큼 오른 삼성전', '오늘부터 재건주 많이 오르고 있네']",거래량이 - 많이 - 중반 - 오르고 - 상한가 - 지금 - 호가창 - 해라 - 어제 - 진짜,0.836614116577739,False
원전주 건설주 다 갖다붙이니깐,0,0_거래량이_많이_중반_오르고,"['거래량이', '많이', '중반', '오르고', '상한가', '지금', '호가창', '해라', '어제', '진짜']","['근디 호가창 참 거시기혀네', '어제 찔금찔금 개미꼬딱지만큼 오른 삼성전', '오늘부터 재건주 많이 오르고 있네']",거래량이 - 많이 - 중반 - 오르고 - 상한가 - 지금 - 호가창 - 해라 - 어제 - 진짜,1.0,False
두빌 보다 주당 만원이 더 비쌋다,-1,-1_목표가_외국인_유진투자증권에서_유타에,"['목표가', '외국인', '유진투자증권에서', '유타에', '영업이익', '매수', '오늘', '현대건설', 'kb증권', '거는']","['일간 외국인 연속 매수', '어제 오늘 주식시장 전반은 외국인의 매도 융단', '수익도 못내는 허풍 건설을 목표가 만원이라']",목표가 - 외국인 - 유진투자증권에서 - 유타에 - 영업이익 - 매수 - 오늘 - 현대건설 - kb증권 - 거는,0.0,False
완전 신한,0,0_거래량이_많이_중반_오르고,"['거래량이', '많이', '중반', '오르고', '상한가', '지금', '호가창', '해라', '어제', '진짜']","['근디 호가창 참 거시기혀네', '어제 찔금찔금 개미꼬딱지만큼 오른 삼성전', '오늘부터 재건주 많이 오르고 있네']",거래량이 - 많이 - 중반 - 오르고 - 상한가 - 지금 - 호가창 - 해라 - 어제 - 진짜,0.8550570054667431,False
세계정치 재건주,1,1_현대건설_재건_건설_원전,"['현대건설', '재건', '건설', '원전', '반도체', '원전이', '대장주', '재건주', 'uae도', 'uae']","['클릭 e종목 현대건설 내년 원전 수주', '현대건설 억불 해수시설 건설', '재건 원전 건설 호재가 많은데']",현대건설 - 재건 - 건설 - 원전 - 반도체 - 원전이 - 대장주 - 재건주 - uae도 - uae,1.0,False
대모 상한가,0,0_거래량이_많이_중반_오르고,"['거래량이', '많이', '중반', '오르고', '상한가', '지금', '호가창', '해라', '어제', '진짜']","['근디 호가창 참 거시기혀네', '어제 찔금찔금 개미꼬딱지만큼 오른 삼성전', '오늘부터 재건주 많이 오르고 있네']",거래량이 - 많이 - 중반 - 오르고 - 상한가 - 지금 - 호가창 - 해라 - 어제 - 진짜,0.7226570938645908,False
재건에,-1,-1_목표가_외국인_유진투자증권에서_유타에,"['목표가', '외국인', '유진투자증권에서', '유타에', '영업이익', '매수', '오늘', '현대건설', 'kb증권', '거는']","['일간 외국인 연속 매수', '어제 오늘 주식시장 전반은 외국인의 매도 융단', '수익도 못내는 허풍 건설을 목표가 만원이라']",목표가 - 외국인 - 유진투자증권에서 - 유타에 - 영업이익 - 매수 - 오늘 - 현대건설 - kb증권 - 거는,0.0,False
