Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
관전 포인트,1,1_pbr_pbr이_관전_감축,"['pbr', 'pbr이', '관전', '감축', '근거가', '다음실적발표', '매물대는', '금호', '넘었는데', '년도에']","['Pbr', '목표가 상향 리포트가', '년도에 pbr이 을 넘었는데']",pbr - pbr이 - 관전 - 감축 - 근거가 - 다음실적발표 - 매물대는 - 금호 - 넘었는데 - 년도에,1.0,False
한국타이어 장기보유 매력에 대한 인공지능의,-1,-1_오늘_요약_공매도_한국타이어,"['오늘', '요약', '공매도', '한국타이어', '내일', '숏커버링', '역시', 'ai', '만원', '되면']","['AI 요약 한국타이어앤테크놀로지가', 'AI 요약 한국타이어앤테크놀로지', 'AI 요약 한국타이어앤테크놀로지 주']",오늘 - 요약 - 공매도 - 한국타이어 - 내일 - 숏커버링 - 역시 - ai - 만원 - 되면,0.0,False
전액 매도 하였습니다,-1,-1_오늘_요약_공매도_한국타이어,"['오늘', '요약', '공매도', '한국타이어', '내일', '숏커버링', '역시', 'ai', '만원', '되면']","['AI 요약 한국타이어앤테크놀로지가', 'AI 요약 한국타이어앤테크놀로지', 'AI 요약 한국타이어앤테크놀로지 주']",오늘 - 요약 - 공매도 - 한국타이어 - 내일 - 숏커버링 - 역시 - ai - 만원 - 되면,0.0,False
대단하다 이폭락 장에서,-1,-1_오늘_요약_공매도_한국타이어,"['오늘', '요약', '공매도', '한국타이어', '내일', '숏커버링', '역시', 'ai', '만원', '되면']","['AI 요약 한국타이어앤테크놀로지가', 'AI 요약 한국타이어앤테크놀로지', 'AI 요약 한국타이어앤테크놀로지 주']",오늘 - 요약 - 공매도 - 한국타이어 - 내일 - 숏커버링 - 역시 - ai - 만원 - 되면,0.0,False
자 본다니까,0,0_가것지_가겠나_간다_같지,"['가것지', '가겠나', '간다', '같지', '겁나', '그렇지', '금호타이어', '기다려', '깡패지', '끈났어']","['만원 간다 아닐거 같지', '와우 긴 시간 기다려 왔는데', '현범 매직 아직 안나왔나 보네']",가것지 - 가겠나 - 간다 - 같지 - 겁나 - 그렇지 - 금호타이어 - 기다려 - 깡패지 - 끈났어,0.9970876224076056,False
오늘금요일 종가폭락허냐 안허냐,0,0_가것지_가겠나_간다_같지,"['가것지', '가겠나', '간다', '같지', '겁나', '그렇지', '금호타이어', '기다려', '깡패지', '끈났어']","['만원 간다 아닐거 같지', '와우 긴 시간 기다려 왔는데', '현범 매직 아직 안나왔나 보네']",가것지 - 가겠나 - 간다 - 같지 - 겁나 - 그렇지 - 금호타이어 - 기다려 - 깡패지 - 끈났어,1.0,False
또 소외주 됐냐,-1,-1_오늘_요약_공매도_한국타이어,"['오늘', '요약', '공매도', '한국타이어', '내일', '숏커버링', '역시', 'ai', '만원', '되면']","['AI 요약 한국타이어앤테크놀로지가', 'AI 요약 한국타이어앤테크놀로지', 'AI 요약 한국타이어앤테크놀로지 주']",오늘 - 요약 - 공매도 - 한국타이어 - 내일 - 숏커버링 - 역시 - ai - 만원 - 되면,0.0,False
뭐가 걱정인가,-1,-1_오늘_요약_공매도_한국타이어,"['오늘', '요약', '공매도', '한국타이어', '내일', '숏커버링', '역시', 'ai', '만원', '되면']","['AI 요약 한국타이어앤테크놀로지가', 'AI 요약 한국타이어앤테크놀로지', 'AI 요약 한국타이어앤테크놀로지 주']",오늘 - 요약 - 공매도 - 한국타이어 - 내일 - 숏커버링 - 역시 - ai - 만원 - 되면,0.0,False
오늘종가 는,-1,-1_오늘_요약_공매도_한국타이어,"['오늘', '요약', '공매도', '한국타이어', '내일', '숏커버링', '역시', 'ai', '만원', '되면']","['AI 요약 한국타이어앤테크놀로지가', 'AI 요약 한국타이어앤테크놀로지', 'AI 요약 한국타이어앤테크놀로지 주']",오늘 - 요약 - 공매도 - 한국타이어 - 내일 - 숏커버링 - 역시 - ai - 만원 - 되면,0.0,False
금호타이어 상한가,0,0_가것지_가겠나_간다_같지,"['가것지', '가겠나', '간다', '같지', '겁나', '그렇지', '금호타이어', '기다려', '깡패지', '끈났어']","['만원 간다 아닐거 같지', '와우 긴 시간 기다려 왔는데', '현범 매직 아직 안나왔나 보네']",가것지 - 가겠나 - 간다 - 같지 - 겁나 - 그렇지 - 금호타이어 - 기다려 - 깡패지 - 끈났어,0.9713309914171593,False
