종목명,제목_전처리,sentiment_binary
삼성전자,동시호가,-1
삼성전자,도망쳐 하락 시작,-1
삼성전자,삼성전자 계속 얘기나오던데 대응 준비하시죠,1
삼성전자,국장 주작 하기 좋은 시스템 킹 시 호 가,1
삼성전자,머냐동시호가,-1
삼성전자,정전이나 확 되버려라,1
삼성전자,동시호가 하한가,-1
삼성전자,제대로한방 먹었내,1
삼성전자,이건 반대매매 물량같은데,1
삼성전자,허매도 빨리 빼세요,1
삼성전자,아니지 마이너스원,-1
삼성전자,또 장난질,-1
삼성전자,뭐여,-1
삼성전자,오늘 손바뀌는날이네,1
삼성전자,국장이 개판,-1
삼성전자,내란당 좀비들,-1
삼성전자,돈 잃고 이잼 욕하지는,1
삼성전자,호가 장난질이네 너무들한다,1
삼성전자,동시호가 무슨일인가요,1
삼성전자,Msci 리밸런싱인가,1
삼성전자,된장,-1
삼성전자,동시가 폭락 가보자,1
삼성전자,동시호가 가격이,-1
삼성전자,매 도 폭 탄 빔,1
삼성전자,삼성은 앞으로가 더 좋다,1
삼성전자,내일은 삼성전자 전망이 좋네요,1
삼성전자,내일은 갈 것 같죠 아닙니다 계속,1
삼성전자,한성기업 상한가로 돌때 안되엇,1
삼성전자,십만원 위에서 놀으라고,1
삼성전자,환율 물가 부동산 망한거 부정하는 개딸,1
삼성전자,세력이,-1
삼성전자,재용이형,-1
삼성전자,재명이 때문에 피보는구나,1
삼성전자,일선 지지하는지 반드시 테스트하고,1
삼성전자,하루빨리,-1
삼성전자,범죄자 출신 이재명 이거 아무런 영양가,1
삼성전자,에프터마겟은 왜 생김,1
삼성전자,이재명은 어쩔수 없는 단하나의 선택지였,1
삼성전자,만 미만으로 싸게 사려고 누르는거야,1
삼성전자,계속 흘러내릴 수 밖에 없는 이유 팩트,1
삼성전자,찍이들 윤석열씨 편의점 컵라면이 원에,1
삼성전자,만 넘기 힘든 이유 팩트,1
삼성전자,좌파 드루킹,-1
삼성전자,AI가 중요한 사례가 바로 아이폰임,1
삼성전자,더 나은 삶을 살기 위해 투자를 하는 건데,1
삼성전자,디램,-1
삼성전자,양 야 오늘은 AI 거품 아닌가,1
삼성전자,검사가 조작한건 단지,1
삼성전자,올리고 에프터장에 쭉빼겠구나,1
삼성전자,환율 물가 부동산 망,1
삼성전자,종예,-1
삼성전자,외인자금 삼전에서 닉스로 이동한거 안보이냐,1
삼성전자,삼성전자 긴급속보,-1
삼성전자,하수석 얘기들어보믄개사기라,1
삼성전자,주식판에,-1
삼성전자,어어어 하다가 만 만 만 가는거야 미,1
삼성전자,빅테크들 돈걱정을 왜 하노 지들끼리 치고박고 하,1
삼성전자,내일 정말 오오,-1
삼성전자,여기 있는애들,-1
삼성전자,던지는 개미가 위너야,1
삼성전자,만전자 볼날이 사라진다,1
삼성전자,여기엔 왜케 정치병자가 많아,1
삼성전자,대장동과,-1
삼성전자,월 수출 역대최대,1
삼성전자,개미들,-1
삼성전자,오르지만 정말로 불안 불안하고 답답합니,1
삼성전자,김건희 주가조작 안했다던 찍이들,1
삼성전자,조정 끝나간다,-1
삼성전자,나스닥 선물 잘 오르고 있다,1
삼성전자,삼전 이재명 만 vs 윤석렬,1
삼성전자,계엄 내가 안했어요,1
삼성전자,내년 상반기 용돈 생길 것이다,1
삼성전자,환율 떡상 가겠네,1
삼성전자,삼성전자 뉴로모픽 하바드 석좌교수 사장,1
삼성전자,마지막 탈출 기회,-1
삼성전자,통곡의 뿅망치자리,1
삼성전자,삼성전자 하이닉스 매매동향 비교,1
삼성전자,물타기할 물고기 낚시에 제법걸려드렀네,1
삼성전자,곧 네팔처럼 부정선거 외면하는 언론인들,1
삼성전자,환율 원 돌파,-1
삼성전자,일본여자총리 대단하다,1
삼성전자,정치글하는것들 전부 차단합시다,1
삼성전자,부정선거와의 전쟁으로 법복입은 판사들을,1
삼성전자,이상 못올라가면 낼 크게 하락한다,1
삼성전자,코스피 이재명 vs 윤석,1
삼성전자,오늘은 삼전보다 하닉을 더사는 외인들,1
삼성전자,외인이나 기관이나 야들은,1
삼성전자,찍이들은 한국 전쟁을 원하고 있다,1
삼성전자,국민의 소망 코스피 시,1
삼성전자,개관들 국민연금털어서 방어하냐 미쳤네,1
삼성전자,구글 일냈다 제미나이 반격에 챗G,1
삼성전자,이재명을 강제로 등떠민게 윤석열이다라는,1
삼성전자,중국과일본이 무력충돌생길때,1
삼성전자,삼성전자 낼,-1
삼성전자,이재명을 강제로 대통령 되게 등떠밀어준,1
삼성전자,딸치노 와,-1
삼성전자,여긴 정치글이 와이리 많노,1
삼성전자,중국 항공모함동원 서해 군사전개,1
삼성전자,오늘만 버텨라,-1
삼성전자,예전처럼 국장 파생 잘 키우면,1
삼성전자,김용현 변호사 감치명령 이진관부장판사 고발한,1
삼성전자,우크라이나 재건주,-1
삼성전자,어이 지지율 라고 선동하는넘 골목상권에,1
삼성전자,중국과 일본이 전쟁나면,1
삼성전자,낼장 폭락한다,-1
삼성전자,기관들이 일째 지수 방어하네,1
삼성전자,속보 엔비디아 Ai 버블 반박 입장문 주요,1
삼성전자,닉스는 끝물이구나 외인 매도 지속중,1
삼성전자,월달만 주 순매도 연기금,1
삼성전자,글 적을시간에,-1
삼성전자,걍 탈출했다,-1
삼성전자,JP모간이 몇시 몇분에 던질지 너무 궁금함,1
삼성전자,전세계적으로 대한민국에서 잠재력이 폭발적으로,1
삼성전자,오늘이 탈출 막차임,1
삼성전자,고환율에 잡주는 코스피 수준인디,1
삼성전자,오늘도 외인은 닉스 팔고 삼전으로 이동하는구나,1
삼성전자,나스닥선물 급등중,1
삼성전자,기관 공매도 미쳤네,-1
삼성전자,지금이 바로 삼성전자,1
삼성전자,속보 지지율 급등,-1
삼성전자,국장쓰레기인 이유,1
삼성전자,만 못가요 장기전임,1
삼성전자,개관들 돈이 어디서 저렇게 나오냐,1
삼성전자,외국인 매도가 미친듯,1
삼성전자,마이클버리 일 발표보고 사도 늦지않음,1
삼성전자,하차기회를 주네,1
삼성전자,국민 연금을 이용해서 주가를,1
삼성전자,개미들만,-1
삼성전자,환율 상승은 수출기업인,1
삼성전자,속보 엔비디아 입장문 거품 반박,1
삼성전자,보수와 진보,-1
삼성전자,중국 봐 항모하나 디자인 제대로 된거 뽑,1
삼성전자,네이버 댓글도 조작하는,1
삼성전자,삼전 하닉 떼돈 버는데 달러 환전 좀 해,1
삼성전자,보수의 지지율,-1
삼성전자,보수는 뭐고 진보는 뭐죠,1
삼성전자,환율 천원 갔으면 좋겠다,1
삼성전자,진짜 HBN 만든 거 맞아요,1
삼성전자,올라가즈아 공매도넘들 국장맛좀 봐라,1
삼성전자,삼전은 오히려 환율 수혜기업이다,1
삼성전자,주가,-1
삼성전자,긴급속보 삼성전자,-1
삼성전자,이거 무슨 잡주냐,-1
삼성전자,베센트 장관 내년 역사적 최고의해 금리인하,1
삼성전자,pp,-1
삼성전자,마이클버리 내일관련기사,1
삼성전자,경제대공황 오기 전 항상 증시 폭등하고 환율,1
삼성전자,마이클 버리 내일 저녁 AI 거품 증거 제,1
삼성전자,음봉 가자,-1
삼성전자,반등하는 거 같아 보임,1
삼성전자,환율 이젠 익숙해져야,1
삼성전자,산타렐리 만전자 대기중,1
삼성전자,주식시장 불변의 법칙 반등실패는 더 큰,1
삼성전자,단타맛집,-1
삼성전자,한총과 금감위원장 좀,1
삼성전자,삼성주식에서,-1
삼성전자,빤스 목사,-1
삼성전자,트위터 x 계정 국가표시,1
삼성전자,퐁당포당 다 담아라,1
삼성전자,단타 맛집,-1
삼성전자,시가에 사서 매도를 못했다,1
삼성전자,이제는 만원 오기가 힘들어요 떨어지지,1
삼성전자,ai가 추천해주는 종목 프로그램 써보신분,1
삼성전자,내일,-1
삼성전자,하락장의,-1
삼성전자,대퍽락,-1
삼성전자,종가,-1
삼성전자,이게 나라인가,-1
삼성전자,신용 억추매,-1
삼성전자,만원 안와,-1
삼성전자,중국이 이동식 기지국 만들었다면서요,1
삼성전자,엔비디아가 영 션찮구만,1
삼성전자,종가에,-1
삼성전자,좌파는 풍진 박살이다,1
삼성전자,만원에도 안사던걸,1
삼성전자,이야 기관만 홀로 순매수,1
삼성전자,좀만 오르면,-1
삼성전자,오늘 당한 호구 없지,1
삼성전자,환율 원이면,-1
삼성전자,오늘은,-1
삼성전자,와 대통령 순수체급으로 환율 원,1
삼성전자,역세장진입확정,1
삼성전자,미선물 재채기에 또 호들갑 떨고 지수 빼네,1
삼성전자,음전하는 차트입니다,1
삼성전자,다 토해내면 뭐묵고 사냐,1
삼성전자,환율 또 급등하는군,1
삼성전자,갑자기,-1
삼성전자,정부의 방관으로,-1
삼성전자,속보 새만금 탈락 전북 열받다,1
삼성전자,개잡주,-1
삼성전자,코스피 은,-1
삼성전자,거대한 품격,-1
삼성전자,축하 요실금 대장주 등극,1
