Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
내일은 층 모레는 층 금요일은 층,0,0_오늘_오늘은_다시_배당,"['오늘', '오늘은', '다시', '배당', '동시호가', '월요일', '양전만', '뭐다', '모간아', '하면']","['형은 오늘 신용만 살짝 정리했다', '자 자 오늘봤으니 다시 배당', '한전 오늘 대박 입니다']",오늘 - 오늘은 - 다시 - 배당 - 동시호가 - 월요일 - 양전만 - 뭐다 - 모간아 - 하면,1.0,False
털린 조루 개미 손,1,1_한전_개미꼬시기인가_개미_내가쓴글,"['한전', '개미꼬시기인가', '개미', '내가쓴글', '계단식', '고점', '나쁘지않은', '높이고', '년에', '롤러코스터']","['솟구처라 한전 년 영익 조', '굿 한전', '한전']",한전 - 개미꼬시기인가 - 개미 - 내가쓴글 - 계단식 - 고점 - 나쁘지않은 - 높이고 - 년에 - 롤러코스터,0.8458534340556864,False
원 주,1,1_한전_개미꼬시기인가_개미_내가쓴글,"['한전', '개미꼬시기인가', '개미', '내가쓴글', '계단식', '고점', '나쁘지않은', '높이고', '년에', '롤러코스터']","['솟구처라 한전 년 영익 조', '굿 한전', '한전']",한전 - 개미꼬시기인가 - 개미 - 내가쓴글 - 계단식 - 고점 - 나쁘지않은 - 높이고 - 년에 - 롤러코스터,1.0,False
모간 오빠,0,0_오늘_오늘은_다시_배당,"['오늘', '오늘은', '다시', '배당', '동시호가', '월요일', '양전만', '뭐다', '모간아', '하면']","['형은 오늘 신용만 살짝 정리했다', '자 자 오늘봤으니 다시 배당', '한전 오늘 대박 입니다']",오늘 - 오늘은 - 다시 - 배당 - 동시호가 - 월요일 - 양전만 - 뭐다 - 모간아 - 하면,0.9433294086263384,False
ai시대 대장주,-1,-1_국제유가_기관_누가_가격에,"['국제유가', '기관', '누가', '가격에', '가질사람', '걸음을', '과연', '가져라', 'ai시대', 'cctv']","['국장에서 이제 매수할 주식이 이거 하나뿐이다', '외인 기관 단타치러 들간거니까 조심', '기관 이거들 방어도 못하고 한심하다']",국제유가 - 기관 - 누가 - 가격에 - 가질사람 - 걸음을 - 과연 - 가져라 - ai시대 - cctv,0.0,False
지난주보다 원이나 올랐군,0,0_오늘_오늘은_다시_배당,"['오늘', '오늘은', '다시', '배당', '동시호가', '월요일', '양전만', '뭐다', '모간아', '하면']","['형은 오늘 신용만 살짝 정리했다', '자 자 오늘봤으니 다시 배당', '한전 오늘 대박 입니다']",오늘 - 오늘은 - 다시 - 배당 - 동시호가 - 월요일 - 양전만 - 뭐다 - 모간아 - 하면,1.0,False
모건스탠리,0,0_오늘_오늘은_다시_배당,"['오늘', '오늘은', '다시', '배당', '동시호가', '월요일', '양전만', '뭐다', '모간아', '하면']","['형은 오늘 신용만 살짝 정리했다', '자 자 오늘봤으니 다시 배당', '한전 오늘 대박 입니다']",오늘 - 오늘은 - 다시 - 배당 - 동시호가 - 월요일 - 양전만 - 뭐다 - 모간아 - 하면,0.9430643600496316,False
동시호가 뻥카아님,0,0_오늘_오늘은_다시_배당,"['오늘', '오늘은', '다시', '배당', '동시호가', '월요일', '양전만', '뭐다', '모간아', '하면']","['형은 오늘 신용만 살짝 정리했다', '자 자 오늘봤으니 다시 배당', '한전 오늘 대박 입니다']",오늘 - 오늘은 - 다시 - 배당 - 동시호가 - 월요일 - 양전만 - 뭐다 - 모간아 - 하면,1.0,False
동시호가 뻥카 지리네,0,0_오늘_오늘은_다시_배당,"['오늘', '오늘은', '다시', '배당', '동시호가', '월요일', '양전만', '뭐다', '모간아', '하면']","['형은 오늘 신용만 살짝 정리했다', '자 자 오늘봤으니 다시 배당', '한전 오늘 대박 입니다']",오늘 - 오늘은 - 다시 - 배당 - 동시호가 - 월요일 - 양전만 - 뭐다 - 모간아 - 하면,1.0,False
허매수 머냐 장난하냐,0,0_오늘_오늘은_다시_배당,"['오늘', '오늘은', '다시', '배당', '동시호가', '월요일', '양전만', '뭐다', '모간아', '하면']","['형은 오늘 신용만 살짝 정리했다', '자 자 오늘봤으니 다시 배당', '한전 오늘 대박 입니다']",오늘 - 오늘은 - 다시 - 배당 - 동시호가 - 월요일 - 양전만 - 뭐다 - 모간아 - 하면,1.0,False
