Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
유증이라고하는 삐들은,0,0_오늘_상한가_진짜_나스닥,"['오늘', '상한가', '진짜', '나스닥', '이렇게', '이거', '코스피', '프매야', '유증', '하한가']","['아 유증 진짜', '아 하이닉스 삼전 아니면 코스피 나락 가겠', '오늘 한솔이']",오늘 - 상한가 - 진짜 - 나스닥 - 이렇게 - 이거 - 코스피 - 프매야 - 유증 - 하한가,0.9739446471091022,False
유증 호잰데 머구리들아,0,0_오늘_상한가_진짜_나스닥,"['오늘', '상한가', '진짜', '나스닥', '이렇게', '이거', '코스피', '프매야', '유증', '하한가']","['아 유증 진짜', '아 하이닉스 삼전 아니면 코스피 나락 가겠', '오늘 한솔이']",오늘 - 상한가 - 진짜 - 나스닥 - 이렇게 - 이거 - 코스피 - 프매야 - 유증 - 하한가,1.0,False
왜안떨어지노,0,0_오늘_상한가_진짜_나스닥,"['오늘', '상한가', '진짜', '나스닥', '이렇게', '이거', '코스피', '프매야', '유증', '하한가']","['아 유증 진짜', '아 하이닉스 삼전 아니면 코스피 나락 가겠', '오늘 한솔이']",오늘 - 상한가 - 진짜 - 나스닥 - 이렇게 - 이거 - 코스피 - 프매야 - 유증 - 하한가,0.9719177912303499,False
왜 유증하는지를 잘봐라,0,0_오늘_상한가_진짜_나스닥,"['오늘', '상한가', '진짜', '나스닥', '이렇게', '이거', '코스피', '프매야', '유증', '하한가']","['아 유증 진짜', '아 하이닉스 삼전 아니면 코스피 나락 가겠', '오늘 한솔이']",오늘 - 상한가 - 진짜 - 나스닥 - 이렇게 - 이거 - 코스피 - 프매야 - 유증 - 하한가,1.0,False
유증,1,1_한화솔루션_ai_호재_유증,"['한화솔루션', 'ai', '호재', '유증', '리포트', '대응', '분석', '개잡주', '목표가', '목표주가']","['한화솔루션 주가 대응', '한화솔루션 목표주가 분석 리포트', 'AI 요약 한화솔루션 타법인 주식']",한화솔루션 - ai - 호재 - 유증 - 리포트 - 대응 - 분석 - 개잡주 - 목표가 - 목표주가,1.0,False
계열사하나 정리하니까 조내,0,0_오늘_상한가_진짜_나스닥,"['오늘', '상한가', '진짜', '나스닥', '이렇게', '이거', '코스피', '프매야', '유증', '하한가']","['아 유증 진짜', '아 하이닉스 삼전 아니면 코스피 나락 가겠', '오늘 한솔이']",오늘 - 상한가 - 진짜 - 나스닥 - 이렇게 - 이거 - 코스피 - 프매야 - 유증 - 하한가,1.0,False
변곡점,1,1_한화솔루션_ai_호재_유증,"['한화솔루션', 'ai', '호재', '유증', '리포트', '대응', '분석', '개잡주', '목표가', '목표주가']","['한화솔루션 주가 대응', '한화솔루션 목표주가 분석 리포트', 'AI 요약 한화솔루션 타법인 주식']",한화솔루션 - ai - 호재 - 유증 - 리포트 - 대응 - 분석 - 개잡주 - 목표가 - 목표주가,1.0,False
아 유증 진짜,0,0_오늘_상한가_진짜_나스닥,"['오늘', '상한가', '진짜', '나스닥', '이렇게', '이거', '코스피', '프매야', '유증', '하한가']","['아 유증 진짜', '아 하이닉스 삼전 아니면 코스피 나락 가겠', '오늘 한솔이']",오늘 - 상한가 - 진짜 - 나스닥 - 이렇게 - 이거 - 코스피 - 프매야 - 유증 - 하한가,0.8750880856747821,True
유증 개 이득호재,1,1_한화솔루션_ai_호재_유증,"['한화솔루션', 'ai', '호재', '유증', '리포트', '대응', '분석', '개잡주', '목표가', '목표주가']","['한화솔루션 주가 대응', '한화솔루션 목표주가 분석 리포트', 'AI 요약 한화솔루션 타법인 주식']",한화솔루션 - ai - 호재 - 유증 - 리포트 - 대응 - 분석 - 개잡주 - 목표가 - 목표주가,1.0,False
AI 요약 한화솔루션 타법인 주식,1,1_한화솔루션_ai_호재_유증,"['한화솔루션', 'ai', '호재', '유증', '리포트', '대응', '분석', '개잡주', '목표가', '목표주가']","['한화솔루션 주가 대응', '한화솔루션 목표주가 분석 리포트', 'AI 요약 한화솔루션 타법인 주식']",한화솔루션 - ai - 호재 - 유증 - 리포트 - 대응 - 분석 - 개잡주 - 목표가 - 목표주가,0.9366126333732386,True
