Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
막판 동시호가 거래량,1,1_lg_lg는_ai_대한,"['lg', 'lg는', 'ai', '대한', 'lg화학', '가능성', '아니다', '의견', '분리과세', 'ai칩']","['AI 요약 LG 년 분기 실적이', 'NH LG 배당소득 분리과세 적용 가능성', 'LG 계열사 가치상승 배당 분리과세 가능성 목']",lg - lg는 - ai - 대한 - lg화학 - 가능성 - 아니다 - 의견 - 분리과세 - ai칩,0.9527188334997834,False
또 만 초반인가,0,0_오늘_만원_연기금_시작,"['오늘', '만원', '연기금', '시작', '단타', '외인', '위한', '동시호가', 'lg', '미래']","['투자자보호를 위한 첫걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습', '오늘 만원 뚫는다']",오늘 - 만원 - 연기금 - 시작 - 단타 - 외인 - 위한 - 동시호가 - lg - 미래,1.0,False
종가에 하드쓰로잉 보소,0,0_오늘_만원_연기금_시작,"['오늘', '만원', '연기금', '시작', '단타', '외인', '위한', '동시호가', 'lg', '미래']","['투자자보호를 위한 첫걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습', '오늘 만원 뚫는다']",오늘 - 만원 - 연기금 - 시작 - 단타 - 외인 - 위한 - 동시호가 - lg - 미래,1.0,False
개잡주다,0,0_오늘_만원_연기금_시작,"['오늘', '만원', '연기금', '시작', '단타', '외인', '위한', '동시호가', 'lg', '미래']","['투자자보호를 위한 첫걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습', '오늘 만원 뚫는다']",오늘 - 만원 - 연기금 - 시작 - 단타 - 외인 - 위한 - 동시호가 - lg - 미래,1.0,False
이렇게 하락 하긴 첨이네 만 가자,0,0_오늘_만원_연기금_시작,"['오늘', '만원', '연기금', '시작', '단타', '외인', '위한', '동시호가', 'lg', '미래']","['투자자보호를 위한 첫걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습', '오늘 만원 뚫는다']",오늘 - 만원 - 연기금 - 시작 - 단타 - 외인 - 위한 - 동시호가 - lg - 미래,1.0,False
회사 부도났냐고,0,0_오늘_만원_연기금_시작,"['오늘', '만원', '연기금', '시작', '단타', '외인', '위한', '동시호가', 'lg', '미래']","['투자자보호를 위한 첫걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습', '오늘 만원 뚫는다']",오늘 - 만원 - 연기금 - 시작 - 단타 - 외인 - 위한 - 동시호가 - lg - 미래,1.0,False
LG,1,1_lg_lg는_ai_대한,"['lg', 'lg는', 'ai', '대한', 'lg화학', '가능성', '아니다', '의견', '분리과세', 'ai칩']","['AI 요약 LG 년 분기 실적이', 'NH LG 배당소득 분리과세 적용 가능성', 'LG 계열사 가치상승 배당 분리과세 가능성 목']",lg - lg는 - ai - 대한 - lg화학 - 가능성 - 아니다 - 의견 - 분리과세 - ai칩,1.0,False
오늘도 개한민국 개쥐답다,0,0_오늘_만원_연기금_시작,"['오늘', '만원', '연기금', '시작', '단타', '외인', '위한', '동시호가', 'lg', '미래']","['투자자보호를 위한 첫걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습', '오늘 만원 뚫는다']",오늘 - 만원 - 연기금 - 시작 - 단타 - 외인 - 위한 - 동시호가 - lg - 미래,0.8846624954334924,False
상속세 불복 소송 항소 접었단다,0,0_오늘_만원_연기금_시작,"['오늘', '만원', '연기금', '시작', '단타', '외인', '위한', '동시호가', 'lg', '미래']","['투자자보호를 위한 첫걸음을 시작 했습니다', '투자자 보호를 위한 첫 걸음을 시작 했습', '오늘 만원 뚫는다']",오늘 - 만원 - 연기금 - 시작 - 단타 - 외인 - 위한 - 동시호가 - lg - 미래,1.0,False
LG는 사는게 아니다,1,1_lg_lg는_ai_대한,"['lg', 'lg는', 'ai', '대한', 'lg화학', '가능성', '아니다', '의견', '분리과세', 'ai칩']","['AI 요약 LG 년 분기 실적이', 'NH LG 배당소득 분리과세 적용 가능성', 'LG 계열사 가치상승 배당 분리과세 가능성 목']",lg - lg는 - ai - 대한 - lg화학 - 가능성 - 아니다 - 의견 - 분리과세 - ai칩,1.0,False
