Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
신용정리,1,1_정유시설_ai니_confess_im증권,"['정유시설', 'ai니', 'confess', 'im증권', '강림', 'chatgpt', '도일', '공매도', '공시', '관놈들']","['정유시설 타격', '베네수엘라 정유시설 중단', '긴급 불법 공매도 포착 금융']",정유시설 - ai니 - confess - im증권 - 강림 - chatgpt - 도일 - 공매도 - 공시 - 관놈들,0.9761385427792116,False
오늘은 조용하진 않네요,-1,-1_oil_이상_이제_월요일,"['oil', '이상', '이제', '월요일', '오늘은', '보는', '오늘도', '만원', '정제마진', '오늘']","['월요일 이상 상승 전망', 'S OIL 정제마진 강세 초입구간과', '챠트로 보는 s oil']",oil - 이상 - 이제 - 월요일 - 오늘은 - 보는 - 오늘도 - 만원 - 정제마진 - 오늘,0.0,False
오늘 기관이 던졌네,0,0_오늘_어제_누가_아무리,"['오늘', '어제', '누가', '아무리', '만원', '간다', '시장이', '미친', '털렸네', '프로']","['또 오늘 쫌 뺀다고 물량 다 털리는 개미 읎제', '어제 프로 떨구고 오늘 프로 떨궜', '아무리 봐도 외인이 오늘 산거같은데']",오늘 - 어제 - 누가 - 아무리 - 만원 - 간다 - 시장이 - 미친 - 털렸네 - 프로,1.0,False
외인하고 개미는사고,-1,-1_oil_이상_이제_월요일,"['oil', '이상', '이제', '월요일', '오늘은', '보는', '오늘도', '만원', '정제마진', '오늘']","['월요일 이상 상승 전망', 'S OIL 정제마진 강세 초입구간과', '챠트로 보는 s oil']",oil - 이상 - 이제 - 월요일 - 오늘은 - 보는 - 오늘도 - 만원 - 정제마진 - 오늘,0.0,False
기관 대량매도,1,1_정유시설_ai니_confess_im증권,"['정유시설', 'ai니', 'confess', 'im증권', '강림', 'chatgpt', '도일', '공매도', '공시', '관놈들']","['정유시설 타격', '베네수엘라 정유시설 중단', '긴급 불법 공매도 포착 금융']",정유시설 - ai니 - confess - im증권 - 강림 - chatgpt - 도일 - 공매도 - 공시 - 관놈들,1.0,False
내일도 한 떨어지겠네,-1,-1_oil_이상_이제_월요일,"['oil', '이상', '이제', '월요일', '오늘은', '보는', '오늘도', '만원', '정제마진', '오늘']","['월요일 이상 상승 전망', 'S OIL 정제마진 강세 초입구간과', '챠트로 보는 s oil']",oil - 이상 - 이제 - 월요일 - 오늘은 - 보는 - 오늘도 - 만원 - 정제마진 - 오늘,0.0,False
와 마이너스 구퍼,0,0_오늘_어제_누가_아무리,"['오늘', '어제', '누가', '아무리', '만원', '간다', '시장이', '미친', '털렸네', '프로']","['또 오늘 쫌 뺀다고 물량 다 털리는 개미 읎제', '어제 프로 떨구고 오늘 프로 떨궜', '아무리 봐도 외인이 오늘 산거같은데']",오늘 - 어제 - 누가 - 아무리 - 만원 - 간다 - 시장이 - 미친 - 털렸네 - 프로,1.0,False
기분 여 같은데,0,0_오늘_어제_누가_아무리,"['오늘', '어제', '누가', '아무리', '만원', '간다', '시장이', '미친', '털렸네', '프로']","['또 오늘 쫌 뺀다고 물량 다 털리는 개미 읎제', '어제 프로 떨구고 오늘 프로 떨궜', '아무리 봐도 외인이 오늘 산거같은데']",오늘 - 어제 - 누가 - 아무리 - 만원 - 간다 - 시장이 - 미친 - 털렸네 - 프로,1.0,False
몇 시간만에,-1,-1_oil_이상_이제_월요일,"['oil', '이상', '이제', '월요일', '오늘은', '보는', '오늘도', '만원', '정제마진', '오늘']","['월요일 이상 상승 전망', 'S OIL 정제마진 강세 초입구간과', '챠트로 보는 s oil']",oil - 이상 - 이제 - 월요일 - 오늘은 - 보는 - 오늘도 - 만원 - 정제마진 - 오늘,0.0,False
겨울이람서,-1,-1_oil_이상_이제_월요일,"['oil', '이상', '이제', '월요일', '오늘은', '보는', '오늘도', '만원', '정제마진', '오늘']","['월요일 이상 상승 전망', 'S OIL 정제마진 강세 초입구간과', '챠트로 보는 s oil']",oil - 이상 - 이제 - 월요일 - 오늘은 - 보는 - 오늘도 - 만원 - 정제마진 - 오늘,0.0,False
반등없이 떨어지는거보니 내일도 하락이군,0,0_오늘_어제_누가_아무리,"['오늘', '어제', '누가', '아무리', '만원', '간다', '시장이', '미친', '털렸네', '프로']","['또 오늘 쫌 뺀다고 물량 다 털리는 개미 읎제', '어제 프로 떨구고 오늘 프로 떨궜', '아무리 봐도 외인이 오늘 산거같은데']",오늘 - 어제 - 누가 - 아무리 - 만원 - 간다 - 시장이 - 미친 - 털렸네 - 프로,0.8675813487609411,False
지금 상황,-1,-1_oil_이상_이제_월요일,"['oil', '이상', '이제', '월요일', '오늘은', '보는', '오늘도', '만원', '정제마진', '오늘']","['월요일 이상 상승 전망', 'S OIL 정제마진 강세 초입구간과', '챠트로 보는 s oil']",oil - 이상 - 이제 - 월요일 - 오늘은 - 보는 - 오늘도 - 만원 - 정제마진 - 오늘,0.0,False
고난의 행군,1,1_정유시설_ai니_confess_im증권,"['정유시설', 'ai니', 'confess', 'im증권', '강림', 'chatgpt', '도일', '공매도', '공시', '관놈들']","['정유시설 타격', '베네수엘라 정유시설 중단', '긴급 불법 공매도 포착 금융']",정유시설 - ai니 - confess - im증권 - 강림 - chatgpt - 도일 - 공매도 - 공시 - 관놈들,1.0,False
긴급 불법 공매도 포착 금융,1,1_정유시설_ai니_confess_im증권,"['정유시설', 'ai니', 'confess', 'im증권', '강림', 'chatgpt', '도일', '공매도', '공시', '관놈들']","['정유시설 타격', '베네수엘라 정유시설 중단', '긴급 불법 공매도 포착 금융']",정유시설 - ai니 - confess - im증권 - 강림 - chatgpt - 도일 - 공매도 - 공시 - 관놈들,0.6689898089314344,True
아무리 봐도 외인이 오늘 산거같은데,0,0_오늘_어제_누가_아무리,"['오늘', '어제', '누가', '아무리', '만원', '간다', '시장이', '미친', '털렸네', '프로']","['또 오늘 쫌 뺀다고 물량 다 털리는 개미 읎제', '어제 프로 떨구고 오늘 프로 떨궜', '아무리 봐도 외인이 오늘 산거같은데']",오늘 - 어제 - 누가 - 아무리 - 만원 - 간다 - 시장이 - 미친 - 털렸네 - 프로,0.86233267825579,True
주주라면 외워라,0,0_오늘_어제_누가_아무리,"['오늘', '어제', '누가', '아무리', '만원', '간다', '시장이', '미친', '털렸네', '프로']","['또 오늘 쫌 뺀다고 물량 다 털리는 개미 읎제', '어제 프로 떨구고 오늘 프로 떨궜', '아무리 봐도 외인이 오늘 산거같은데']",오늘 - 어제 - 누가 - 아무리 - 만원 - 간다 - 시장이 - 미친 - 털렸네 - 프로,1.0,False
정제마진 축소,1,1_정유시설_ai니_confess_im증권,"['정유시설', 'ai니', 'confess', 'im증권', '강림', 'chatgpt', '도일', '공매도', '공시', '관놈들']","['정유시설 타격', '베네수엘라 정유시설 중단', '긴급 불법 공매도 포착 금융']",정유시설 - ai니 - confess - im증권 - 강림 - chatgpt - 도일 - 공매도 - 공시 - 관놈들,0.8233460603614277,False
보도내용이,1,1_정유시설_ai니_confess_im증권,"['정유시설', 'ai니', 'confess', 'im증권', '강림', 'chatgpt', '도일', '공매도', '공시', '관놈들']","['정유시설 타격', '베네수엘라 정유시설 중단', '긴급 불법 공매도 포착 금융']",정유시설 - ai니 - confess - im증권 - 강림 - chatgpt - 도일 - 공매도 - 공시 - 관놈들,0.8662904036028845,False
우아 폭등이네 그동안 많이 올랐다,-1,-1_oil_이상_이제_월요일,"['oil', '이상', '이제', '월요일', '오늘은', '보는', '오늘도', '만원', '정제마진', '오늘']","['월요일 이상 상승 전망', 'S OIL 정제마진 강세 초입구간과', '챠트로 보는 s oil']",oil - 이상 - 이제 - 월요일 - 오늘은 - 보는 - 오늘도 - 만원 - 정제마진 - 오늘,0.0,False
반등,1,1_정유시설_ai니_confess_im증권,"['정유시설', 'ai니', 'confess', 'im증권', '강림', 'chatgpt', '도일', '공매도', '공시', '관놈들']","['정유시설 타격', '베네수엘라 정유시설 중단', '긴급 불법 공매도 포착 금융']",정유시설 - ai니 - confess - im증권 - 강림 - chatgpt - 도일 - 공매도 - 공시 - 관놈들,1.0,False
자 다시 봐야하나,0,0_오늘_어제_누가_아무리,"['오늘', '어제', '누가', '아무리', '만원', '간다', '시장이', '미친', '털렸네', '프로']","['또 오늘 쫌 뺀다고 물량 다 털리는 개미 읎제', '어제 프로 떨구고 오늘 프로 떨궜', '아무리 봐도 외인이 오늘 산거같은데']",오늘 - 어제 - 누가 - 아무리 - 만원 - 간다 - 시장이 - 미친 - 털렸네 - 프로,0.9723890922074023,False
아무리 봐도 신용 죽이기,0,0_오늘_어제_누가_아무리,"['오늘', '어제', '누가', '아무리', '만원', '간다', '시장이', '미친', '털렸네', '프로']","['또 오늘 쫌 뺀다고 물량 다 털리는 개미 읎제', '어제 프로 떨구고 오늘 프로 떨궜', '아무리 봐도 외인이 오늘 산거같은데']",오늘 - 어제 - 누가 - 아무리 - 만원 - 간다 - 시장이 - 미친 - 털렸네 - 프로,0.9707774572975799,False
관놈들,1,1_정유시설_ai니_confess_im증권,"['정유시설', 'ai니', 'confess', 'im증권', '강림', 'chatgpt', '도일', '공매도', '공시', '관놈들']","['정유시설 타격', '베네수엘라 정유시설 중단', '긴급 불법 공매도 포착 금융']",정유시설 - ai니 - confess - im증권 - 강림 - chatgpt - 도일 - 공매도 - 공시 - 관놈들,0.6930012042562839,False
파는 인간들 땜에,0,0_오늘_어제_누가_아무리,"['오늘', '어제', '누가', '아무리', '만원', '간다', '시장이', '미친', '털렸네', '프로']","['또 오늘 쫌 뺀다고 물량 다 털리는 개미 읎제', '어제 프로 떨구고 오늘 프로 떨궜', '아무리 봐도 외인이 오늘 산거같은데']",오늘 - 어제 - 누가 - 아무리 - 만원 - 간다 - 시장이 - 미친 - 털렸네 - 프로,1.0,False
이 정도 홍역은 치러야지요,0,0_오늘_어제_누가_아무리,"['오늘', '어제', '누가', '아무리', '만원', '간다', '시장이', '미친', '털렸네', '프로']","['또 오늘 쫌 뺀다고 물량 다 털리는 개미 읎제', '어제 프로 떨구고 오늘 프로 떨궜', '아무리 봐도 외인이 오늘 산거같은데']",오늘 - 어제 - 누가 - 아무리 - 만원 - 간다 - 시장이 - 미친 - 털렸네 - 프로,1.0,False
오널의 ChatGPT 질문,1,1_정유시설_ai니_confess_im증권,"['정유시설', 'ai니', 'confess', 'im증권', '강림', 'chatgpt', '도일', '공매도', '공시', '관놈들']","['정유시설 타격', '베네수엘라 정유시설 중단', '긴급 불법 공매도 포착 금융']",정유시설 - ai니 - confess - im증권 - 강림 - chatgpt - 도일 - 공매도 - 공시 - 관놈들,0.7855484611821959,False
신 투만신났네,0,0_오늘_어제_누가_아무리,"['오늘', '어제', '누가', '아무리', '만원', '간다', '시장이', '미친', '털렸네', '프로']","['또 오늘 쫌 뺀다고 물량 다 털리는 개미 읎제', '어제 프로 떨구고 오늘 프로 떨궜', '아무리 봐도 외인이 오늘 산거같은데']",오늘 - 어제 - 누가 - 아무리 - 만원 - 간다 - 시장이 - 미친 - 털렸네 - 프로,0.9804584183345894,False
외국인 기관 그동안 매집했는데,0,0_오늘_어제_누가_아무리,"['오늘', '어제', '누가', '아무리', '만원', '간다', '시장이', '미친', '털렸네', '프로']","['또 오늘 쫌 뺀다고 물량 다 털리는 개미 읎제', '어제 프로 떨구고 오늘 프로 떨궜', '아무리 봐도 외인이 오늘 산거같은데']",오늘 - 어제 - 누가 - 아무리 - 만원 - 간다 - 시장이 - 미친 - 털렸네 - 프로,1.0,False
오늘도 까보면 개미만 물량 다 뱉었을것 같은,-1,-1_oil_이상_이제_월요일,"['oil', '이상', '이제', '월요일', '오늘은', '보는', '오늘도', '만원', '정제마진', '오늘']","['월요일 이상 상승 전망', 'S OIL 정제마진 강세 초입구간과', '챠트로 보는 s oil']",oil - 이상 - 이제 - 월요일 - 오늘은 - 보는 - 오늘도 - 만원 - 정제마진 - 오늘,0.0,False
