Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
공매 누적이 심상챤네요,0,0_카카오는_오늘_네이버_월요일,"['카카오는', '오늘', '네이버', '월요일', '하방', '부터', '하락', '삼전', '하이닉스', '공매']","['Sk하이닉스 삼성은 오르는데 카카오는 내려간다', '카카오는 미국 회사처럼 네이버처럼 지배구조개', '오늘 스테이블코인 금산분리완화 법안 심의 한다던데']",카카오는 - 오늘 - 네이버 - 월요일 - 하방 - 부터 - 하락 - 삼전 - 하이닉스 - 공매,1.0,False
내일 시초 유리한 구간 미리 잡아,0,0_카카오는_오늘_네이버_월요일,"['카카오는', '오늘', '네이버', '월요일', '하방', '부터', '하락', '삼전', '하이닉스', '공매']","['Sk하이닉스 삼성은 오르는데 카카오는 내려간다', '카카오는 미국 회사처럼 네이버처럼 지배구조개', '오늘 스테이블코인 금산분리완화 법안 심의 한다던데']",카카오는 - 오늘 - 네이버 - 월요일 - 하방 - 부터 - 하락 - 삼전 - 하이닉스 - 공매,1.0,False
성이,0,0_카카오는_오늘_네이버_월요일,"['카카오는', '오늘', '네이버', '월요일', '하방', '부터', '하락', '삼전', '하이닉스', '공매']","['Sk하이닉스 삼성은 오르는데 카카오는 내려간다', '카카오는 미국 회사처럼 네이버처럼 지배구조개', '오늘 스테이블코인 금산분리완화 법안 심의 한다던데']",카카오는 - 오늘 - 네이버 - 월요일 - 하방 - 부터 - 하락 - 삼전 - 하이닉스 - 공매,1.0,False
고맙다,0,0_카카오는_오늘_네이버_월요일,"['카카오는', '오늘', '네이버', '월요일', '하방', '부터', '하락', '삼전', '하이닉스', '공매']","['Sk하이닉스 삼성은 오르는데 카카오는 내려간다', '카카오는 미국 회사처럼 네이버처럼 지배구조개', '오늘 스테이블코인 금산분리완화 법안 심의 한다던데']",카카오는 - 오늘 - 네이버 - 월요일 - 하방 - 부터 - 하락 - 삼전 - 하이닉스 - 공매,1.0,False
매매 동향,0,0_카카오는_오늘_네이버_월요일,"['카카오는', '오늘', '네이버', '월요일', '하방', '부터', '하락', '삼전', '하이닉스', '공매']","['Sk하이닉스 삼성은 오르는데 카카오는 내려간다', '카카오는 미국 회사처럼 네이버처럼 지배구조개', '오늘 스테이블코인 금산분리완화 법안 심의 한다던데']",카카오는 - 오늘 - 네이버 - 월요일 - 하방 - 부터 - 하락 - 삼전 - 하이닉스 - 공매,0.8561783606116004,False
감사 합니다,0,0_카카오는_오늘_네이버_월요일,"['카카오는', '오늘', '네이버', '월요일', '하방', '부터', '하락', '삼전', '하이닉스', '공매']","['Sk하이닉스 삼성은 오르는데 카카오는 내려간다', '카카오는 미국 회사처럼 네이버처럼 지배구조개', '오늘 스테이블코인 금산분리완화 법안 심의 한다던데']",카카오는 - 오늘 - 네이버 - 월요일 - 하방 - 부터 - 하락 - 삼전 - 하이닉스 - 공매,1.0,False
씨티그룹에서 국장 동시호가 매도폭탄,0,0_카카오는_오늘_네이버_월요일,"['카카오는', '오늘', '네이버', '월요일', '하방', '부터', '하락', '삼전', '하이닉스', '공매']","['Sk하이닉스 삼성은 오르는데 카카오는 내려간다', '카카오는 미국 회사처럼 네이버처럼 지배구조개', '오늘 스테이블코인 금산분리완화 법안 심의 한다던데']",카카오는 - 오늘 - 네이버 - 월요일 - 하방 - 부터 - 하락 - 삼전 - 하이닉스 - 공매,0.8316420560076025,False
오늘은,0,0_카카오는_오늘_네이버_월요일,"['카카오는', '오늘', '네이버', '월요일', '하방', '부터', '하락', '삼전', '하이닉스', '공매']","['Sk하이닉스 삼성은 오르는데 카카오는 내려간다', '카카오는 미국 회사처럼 네이버처럼 지배구조개', '오늘 스테이블코인 금산분리완화 법안 심의 한다던데']",카카오는 - 오늘 - 네이버 - 월요일 - 하방 - 부터 - 하락 - 삼전 - 하이닉스 - 공매,1.0,False
이젠 담아야지,0,0_카카오는_오늘_네이버_월요일,"['카카오는', '오늘', '네이버', '월요일', '하방', '부터', '하락', '삼전', '하이닉스', '공매']","['Sk하이닉스 삼성은 오르는데 카카오는 내려간다', '카카오는 미국 회사처럼 네이버처럼 지배구조개', '오늘 스테이블코인 금산분리완화 법안 심의 한다던데']",카카오는 - 오늘 - 네이버 - 월요일 - 하방 - 부터 - 하락 - 삼전 - 하이닉스 - 공매,1.0,False
피말리고있다,0,0_카카오는_오늘_네이버_월요일,"['카카오는', '오늘', '네이버', '월요일', '하방', '부터', '하락', '삼전', '하이닉스', '공매']","['Sk하이닉스 삼성은 오르는데 카카오는 내려간다', '카카오는 미국 회사처럼 네이버처럼 지배구조개', '오늘 스테이블코인 금산분리완화 법안 심의 한다던데']",카카오는 - 오늘 - 네이버 - 월요일 - 하방 - 부터 - 하락 - 삼전 - 하이닉스 - 공매,1.0,False
