Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
동시호가,1,1_환율_코스피_지지율_동시호가,"['환율', '코스피', '지지율', '동시호가', 'pp', '국장이', '개미들', '개판', '개잡주', '경제대공황']","['환율 상승은 수출기업인', '삼전은 오히려 환율 수혜기업이다', '경제대공황 오기 전 항상 증시 폭등하고 환율']",환율 - 코스피 - 지지율 - 동시호가 - pp - 국장이 - 개미들 - 개판 - 개잡주 - 경제대공황,1.0,False
도망쳐 하락 시작,0,0_삼성전자_내일_오늘은_거품,"['삼성전자', '내일', '오늘은', '거품', '계속', '환율', '만원', '마이클버리', '대통령', '내일은']","['삼성전자 계속 얘기나오던데 대응 준비하시죠', '양 야 오늘은 AI 거품 아닌가', '마이클 버리 내일 저녁 AI 거품 증거 제']",삼성전자 - 내일 - 오늘은 - 거품 - 계속 - 환율 - 만원 - 마이클버리 - 대통령 - 내일은,0.7932247901179205,False
삼성전자 계속 얘기나오던데 대응 준비하시죠,0,0_삼성전자_내일_오늘은_거품,"['삼성전자', '내일', '오늘은', '거품', '계속', '환율', '만원', '마이클버리', '대통령', '내일은']","['삼성전자 계속 얘기나오던데 대응 준비하시죠', '양 야 오늘은 AI 거품 아닌가', '마이클 버리 내일 저녁 AI 거품 증거 제']",삼성전자 - 내일 - 오늘은 - 거품 - 계속 - 환율 - 만원 - 마이클버리 - 대통령 - 내일은,1.0,True
국장 주작 하기 좋은 시스템 킹 시 호 가,0,0_삼성전자_내일_오늘은_거품,"['삼성전자', '내일', '오늘은', '거품', '계속', '환율', '만원', '마이클버리', '대통령', '내일은']","['삼성전자 계속 얘기나오던데 대응 준비하시죠', '양 야 오늘은 AI 거품 아닌가', '마이클 버리 내일 저녁 AI 거품 증거 제']",삼성전자 - 내일 - 오늘은 - 거품 - 계속 - 환율 - 만원 - 마이클버리 - 대통령 - 내일은,1.0,False
머냐동시호가,0,0_삼성전자_내일_오늘은_거품,"['삼성전자', '내일', '오늘은', '거품', '계속', '환율', '만원', '마이클버리', '대통령', '내일은']","['삼성전자 계속 얘기나오던데 대응 준비하시죠', '양 야 오늘은 AI 거품 아닌가', '마이클 버리 내일 저녁 AI 거품 증거 제']",삼성전자 - 내일 - 오늘은 - 거품 - 계속 - 환율 - 만원 - 마이클버리 - 대통령 - 내일은,0.9520324906808728,False
정전이나 확 되버려라,0,0_삼성전자_내일_오늘은_거품,"['삼성전자', '내일', '오늘은', '거품', '계속', '환율', '만원', '마이클버리', '대통령', '내일은']","['삼성전자 계속 얘기나오던데 대응 준비하시죠', '양 야 오늘은 AI 거품 아닌가', '마이클 버리 내일 저녁 AI 거품 증거 제']",삼성전자 - 내일 - 오늘은 - 거품 - 계속 - 환율 - 만원 - 마이클버리 - 대통령 - 내일은,1.0,False
동시호가 하한가,0,0_삼성전자_내일_오늘은_거품,"['삼성전자', '내일', '오늘은', '거품', '계속', '환율', '만원', '마이클버리', '대통령', '내일은']","['삼성전자 계속 얘기나오던데 대응 준비하시죠', '양 야 오늘은 AI 거품 아닌가', '마이클 버리 내일 저녁 AI 거품 증거 제']",삼성전자 - 내일 - 오늘은 - 거품 - 계속 - 환율 - 만원 - 마이클버리 - 대통령 - 내일은,0.7295004486482453,False
제대로한방 먹었내,0,0_삼성전자_내일_오늘은_거품,"['삼성전자', '내일', '오늘은', '거품', '계속', '환율', '만원', '마이클버리', '대통령', '내일은']","['삼성전자 계속 얘기나오던데 대응 준비하시죠', '양 야 오늘은 AI 거품 아닌가', '마이클 버리 내일 저녁 AI 거품 증거 제']",삼성전자 - 내일 - 오늘은 - 거품 - 계속 - 환율 - 만원 - 마이클버리 - 대통령 - 내일은,1.0,False
이건 반대매매 물량같은데,0,0_삼성전자_내일_오늘은_거품,"['삼성전자', '내일', '오늘은', '거품', '계속', '환율', '만원', '마이클버리', '대통령', '내일은']","['삼성전자 계속 얘기나오던데 대응 준비하시죠', '양 야 오늘은 AI 거품 아닌가', '마이클 버리 내일 저녁 AI 거품 증거 제']",삼성전자 - 내일 - 오늘은 - 거품 - 계속 - 환율 - 만원 - 마이클버리 - 대통령 - 내일은,0.742500224805007,False
허매도 빨리 빼세요,0,0_삼성전자_내일_오늘은_거품,"['삼성전자', '내일', '오늘은', '거품', '계속', '환율', '만원', '마이클버리', '대통령', '내일은']","['삼성전자 계속 얘기나오던데 대응 준비하시죠', '양 야 오늘은 AI 거품 아닌가', '마이클 버리 내일 저녁 AI 거품 증거 제']",삼성전자 - 내일 - 오늘은 - 거품 - 계속 - 환율 - 만원 - 마이클버리 - 대통령 - 내일은,1.0,False
