Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
외인 기관 다 팔고 도망가고있네,0,0_오늘_진짜_수주_요약,"['오늘', '진짜', '수주', '요약', '건조', '배당금', '투경', 'hd현대', '매수', '한미']","['장 요약 대규모 투자 조선소', '한미 관세협상 팩트시트 문안 확정 이르면 오늘', '장 요약 컨테이너선 수주 건조']",오늘 - 진짜 - 수주 - 요약 - 건조 - 배당금 - 투경 - hd현대 - 매수 - 한미,1.0,False
계엄령 연상케한 한화생명 주총 주주 출입,0,0_오늘_진짜_수주_요약,"['오늘', '진짜', '수주', '요약', '건조', '배당금', '투경', 'hd현대', '매수', '한미']","['장 요약 대규모 투자 조선소', '한미 관세협상 팩트시트 문안 확정 이르면 오늘', '장 요약 컨테이너선 수주 건조']",오늘 - 진짜 - 수주 - 요약 - 건조 - 배당금 - 투경 - hd현대 - 매수 - 한미,0.8609631702796172,False
그냥 잡주네,0,0_오늘_진짜_수주_요약,"['오늘', '진짜', '수주', '요약', '건조', '배당금', '투경', 'hd현대', '매수', '한미']","['장 요약 대규모 투자 조선소', '한미 관세협상 팩트시트 문안 확정 이르면 오늘', '장 요약 컨테이너선 수주 건조']",오늘 - 진짜 - 수주 - 요약 - 건조 - 배당금 - 투경 - hd현대 - 매수 - 한미,1.0,False
잭팟이 터졋는데 왜 못가냐,0,0_오늘_진짜_수주_요약,"['오늘', '진짜', '수주', '요약', '건조', '배당금', '투경', 'hd현대', '매수', '한미']","['장 요약 대규모 투자 조선소', '한미 관세협상 팩트시트 문안 확정 이르면 오늘', '장 요약 컨테이너선 수주 건조']",오늘 - 진짜 - 수주 - 요약 - 건조 - 배당금 - 투경 - hd현대 - 매수 - 한미,0.957016225722538,False
AI 요약 에이치디현대 주 의 자회사 에이,1,1_hd현대_ai_요약_에이치디현대,"['hd현대', 'ai', '요약', '에이치디현대', 'ai가', '분석', '리포트', 'hd현대는', '종목', 'hd지만']","['AI 요약 에이치디현대 주 의 자회사 에이', 'AI 요약 에이치디현대 주 가 투자경고종목', 'AI 요약 HD현대 년 분기 실']",hd현대 - ai - 요약 - 에이치디현대 - ai가 - 분석 - 리포트 - hd현대는 - 종목 - hd지만,0.9197106763375179,True
호재가 옴마야,0,0_오늘_진짜_수주_요약,"['오늘', '진짜', '수주', '요약', '건조', '배당금', '투경', 'hd현대', '매수', '한미']","['장 요약 대규모 투자 조선소', '한미 관세협상 팩트시트 문안 확정 이르면 오늘', '장 요약 컨테이너선 수주 건조']",오늘 - 진짜 - 수주 - 요약 - 건조 - 배당금 - 투경 - hd현대 - 매수 - 한미,1.0,False
다음주 야당주최 상법개정 토론회,0,0_오늘_진짜_수주_요약,"['오늘', '진짜', '수주', '요약', '건조', '배당금', '투경', 'hd현대', '매수', '한미']","['장 요약 대규모 투자 조선소', '한미 관세협상 팩트시트 문안 확정 이르면 오늘', '장 요약 컨테이너선 수주 건조']",오늘 - 진짜 - 수주 - 요약 - 건조 - 배당금 - 투경 - hd현대 - 매수 - 한미,0.7011257020305041,False
엔비디아 AI거품인데 HD현대 백화점 회사는,1,1_hd현대_ai_요약_에이치디현대,"['hd현대', 'ai', '요약', '에이치디현대', 'ai가', '분석', '리포트', 'hd현대는', '종목', 'hd지만']","['AI 요약 에이치디현대 주 의 자회사 에이', 'AI 요약 에이치디현대 주 가 투자경고종목', 'AI 요약 HD현대 년 분기 실']",hd현대 - ai - 요약 - 에이치디현대 - ai가 - 분석 - 리포트 - hd현대는 - 종목 - hd지만,1.0,False
월요일,0,0_오늘_진짜_수주_요약,"['오늘', '진짜', '수주', '요약', '건조', '배당금', '투경', 'hd현대', '매수', '한미']","['장 요약 대규모 투자 조선소', '한미 관세협상 팩트시트 문안 확정 이르면 오늘', '장 요약 컨테이너선 수주 건조']",오늘 - 진짜 - 수주 - 요약 - 건조 - 배당금 - 투경 - hd현대 - 매수 - 한미,0.8101845728616264,False
자사주소각과 배당을 합시다,0,0_오늘_진짜_수주_요약,"['오늘', '진짜', '수주', '요약', '건조', '배당금', '투경', 'hd현대', '매수', '한미']","['장 요약 대규모 투자 조선소', '한미 관세협상 팩트시트 문안 확정 이르면 오늘', '장 요약 컨테이너선 수주 건조']",오늘 - 진짜 - 수주 - 요약 - 건조 - 배당금 - 투경 - hd현대 - 매수 - 한미,1.0,False
