Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
종합선물세트,0,0_위아_현대위아_현대차_오늘,"['위아', '현대위아', '현대차', '오늘', '정의선아', '위아가', '만위아', '잡주', '주가', '종목']","['정의선아 위아 주가 좀 봐라', '현대차 위아', '현대차 만 위아 만']",위아 - 현대위아 - 현대차 - 오늘 - 정의선아 - 위아가 - 만위아 - 잡주 - 주가 - 종목,1.0,False
늘그랬듯,0,0_위아_현대위아_현대차_오늘,"['위아', '현대위아', '현대차', '오늘', '정의선아', '위아가', '만위아', '잡주', '주가', '종목']","['정의선아 위아 주가 좀 봐라', '현대차 위아', '현대차 만 위아 만']",위아 - 현대위아 - 현대차 - 오늘 - 정의선아 - 위아가 - 만위아 - 잡주 - 주가 - 종목,1.0,False
드뎌,0,0_위아_현대위아_현대차_오늘,"['위아', '현대위아', '현대차', '오늘', '정의선아', '위아가', '만위아', '잡주', '주가', '종목']","['정의선아 위아 주가 좀 봐라', '현대차 위아', '현대차 만 위아 만']",위아 - 현대위아 - 현대차 - 오늘 - 정의선아 - 위아가 - 만위아 - 잡주 - 주가 - 종목,1.0,False
현대위아는,0,0_위아_현대위아_현대차_오늘,"['위아', '현대위아', '현대차', '오늘', '정의선아', '위아가', '만위아', '잡주', '주가', '종목']","['정의선아 위아 주가 좀 봐라', '현대차 위아', '현대차 만 위아 만']",위아 - 현대위아 - 현대차 - 오늘 - 정의선아 - 위아가 - 만위아 - 잡주 - 주가 - 종목,0.8633123117654811,False
위암이 위너가 될지 모르자나,0,0_위아_현대위아_현대차_오늘,"['위아', '현대위아', '현대차', '오늘', '정의선아', '위아가', '만위아', '잡주', '주가', '종목']","['정의선아 위아 주가 좀 봐라', '현대차 위아', '현대차 만 위아 만']",위아 - 현대위아 - 현대차 - 오늘 - 정의선아 - 위아가 - 만위아 - 잡주 - 주가 - 종목,1.0,False
진득허니 있자고,0,0_위아_현대위아_현대차_오늘,"['위아', '현대위아', '현대차', '오늘', '정의선아', '위아가', '만위아', '잡주', '주가', '종목']","['정의선아 위아 주가 좀 봐라', '현대차 위아', '현대차 만 위아 만']",위아 - 현대위아 - 현대차 - 오늘 - 정의선아 - 위아가 - 만위아 - 잡주 - 주가 - 종목,1.0,False
만도 오를때 같이 오르는거같은 기분이,0,0_위아_현대위아_현대차_오늘,"['위아', '현대위아', '현대차', '오늘', '정의선아', '위아가', '만위아', '잡주', '주가', '종목']","['정의선아 위아 주가 좀 봐라', '현대차 위아', '현대차 만 위아 만']",위아 - 현대위아 - 현대차 - 오늘 - 정의선아 - 위아가 - 만위아 - 잡주 - 주가 - 종목,1.0,False
개월 뒤 주가 만원,0,0_위아_현대위아_현대차_오늘,"['위아', '현대위아', '현대차', '오늘', '정의선아', '위아가', '만위아', '잡주', '주가', '종목']","['정의선아 위아 주가 좀 봐라', '현대차 위아', '현대차 만 위아 만']",위아 - 현대위아 - 현대차 - 오늘 - 정의선아 - 위아가 - 만위아 - 잡주 - 주가 - 종목,0.7725346522590091,False
얘 왜 올라요,0,0_위아_현대위아_현대차_오늘,"['위아', '현대위아', '현대차', '오늘', '정의선아', '위아가', '만위아', '잡주', '주가', '종목']","['정의선아 위아 주가 좀 봐라', '현대차 위아', '현대차 만 위아 만']",위아 - 현대위아 - 현대차 - 오늘 - 정의선아 - 위아가 - 만위아 - 잡주 - 주가 - 종목,1.0,False
호재가 뭔가요,0,0_위아_현대위아_현대차_오늘,"['위아', '현대위아', '현대차', '오늘', '정의선아', '위아가', '만위아', '잡주', '주가', '종목']","['정의선아 위아 주가 좀 봐라', '현대차 위아', '현대차 만 위아 만']",위아 - 현대위아 - 현대차 - 오늘 - 정의선아 - 위아가 - 만위아 - 잡주 - 주가 - 종목,1.0,False
갑자기,0,0_위아_현대위아_현대차_오늘,"['위아', '현대위아', '현대차', '오늘', '정의선아', '위아가', '만위아', '잡주', '주가', '종목']","['정의선아 위아 주가 좀 봐라', '현대차 위아', '현대차 만 위아 만']",위아 - 현대위아 - 현대차 - 오늘 - 정의선아 - 위아가 - 만위아 - 잡주 - 주가 - 종목,1.0,False
