Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
에라이,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
hvac 칠러 성공하면 무조건 인적분할,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
개 쓰 레 기 주 식,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
외인 기관 대량 쌍매도,-1,-1_인도_ipo_환원_주주,"['인도', 'ipo', '환원', '주주', '자금', '구광모', 'ipo로', 'lg그룹', 'ipo자금', '대표']","['구광모 회장 지 혼자 절대 인도 IPO 자금 안', '만약 인도 IPO 자금으로 주주 환원 하', '인도 IPO 자금 주주 환원 미흡시']",인도 - ipo - 환원 - 주주 - 자금 - 구광모 - ipo로 - lg그룹 - ipo자금 - 대표,0.0,False
종가에 주 대량으로 거래되었는데,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
매동 보면 막판 거래는 블록딜일듯,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
오늘은 MSCI 지수 리밸런싱일 개기금 이제,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,0.7424236232614914,False
엘지전자 풋옵션에 걸었나,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,0.8380709616059749,False
조졌구나,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,0.8271835921839937,False
옵션만기 선물만기 월인디,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
만주 뭐요,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,0.9079681155617505,False
코스피 천 언저리에,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
종가 만주 체결은 무슨 의미 일까요,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
이런,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
완전 패닉상태 희망이 없다 매일 무한 빼기만 하,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
역시 기 기업 티내네,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
개기금이 물량 바닥이라 주주 환원책 나오면 알고리,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
자 이제,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,0.9172297127569872,False
코로나때 최고점,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,0.8179855072897297,False
LG,1,1_lg_lg전자_삼성전자_lg는,"['lg', 'lg전자', '삼성전자', 'lg는', '디스플레이', 'lg전자는', '밸류업', '우주기업입니다', '이미', '하이닉스는']","['삭제된기사 밸류업 실패 LG 해외', '단독 삼성 LG는 이미 우주기업입니다', '단독 삼성 LG는 이미 우주기업입니다 특허 종']",lg - lg전자 - 삼성전자 - lg는 - 디스플레이 - lg전자는 - 밸류업 - 우주기업입니다 - 이미 - 하이닉스는,1.0,False
여기 꼴통 한마리,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,0.9639193379327325,False
쌈식히 벌벌벌,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,0.8801538454746294,False
LG전자 미래가 안보인다,1,1_lg_lg전자_삼성전자_lg는,"['lg', 'lg전자', '삼성전자', 'lg는', '디스플레이', 'lg전자는', '밸류업', '우주기업입니다', '이미', '하이닉스는']","['삭제된기사 밸류업 실패 LG 해외', '단독 삼성 LG는 이미 우주기업입니다', '단독 삼성 LG는 이미 우주기업입니다 특허 종']",lg - lg전자 - 삼성전자 - lg는 - 디스플레이 - lg전자는 - 밸류업 - 우주기업입니다 - 이미 - 하이닉스는,1.0,False
거래량 걸레량 천억도 안되,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
구광모 조주완이 있는 한 엘전은 답이,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
징글징글하다,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
진짜 답 없음,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
LG전자 조대표 사퇴,1,1_lg_lg전자_삼성전자_lg는,"['lg', 'lg전자', '삼성전자', 'lg는', '디스플레이', 'lg전자는', '밸류업', '우주기업입니다', '이미', '하이닉스는']","['삭제된기사 밸류업 실패 LG 해외', '단독 삼성 LG는 이미 우주기업입니다', '단독 삼성 LG는 이미 우주기업입니다 특허 종']",lg - lg전자 - 삼성전자 - lg는 - 디스플레이 - lg전자는 - 밸류업 - 우주기업입니다 - 이미 - 하이닉스는,1.0,False
광모야 주완아 삼성전자 구독이나해라,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
망했다 진짜 삼전하이닉스가 악재로 둔갑하,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
러우 종전해도 주가 안움직이면 과연 ss,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
결국은 만원대로,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,1.0,False
잘 놀다 잘 먹고갑니다,0,0_이제_조주완_오늘은_역시,"['이제', '조주완', '오늘은', '역시', '삼전', '어제', '진짜', '주식', '팔고', '만주']","['LG전자 오늘은 외인 팔고 기관 사고', 'LG전자 오늘은 외인 사고 기관 팔고', '이재명 대통령 수행한 조주완 사장 출장에서 돌아']",이제 - 조주완 - 오늘은 - 역시 - 삼전 - 어제 - 진짜 - 주식 - 팔고 - 만주,0.9925171285953168,False
