Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
만원 위에서나 놀자,0,0_내가_글로비스_만원_어휴,"['내가', '글로비스', '만원', '어휴', '현차', '오르네', '오를땐', '뭐야', '팔고', '대머리']","['뭐야 삼전 팔고 심심해서 사보는거야', '내가 팔면 오를거 같아서 못 팔겠네', '현차 글로비스 오를땐 요지부동']",내가 - 글로비스 - 만원 - 어휴 - 현차 - 오르네 - 오를땐 - 뭐야 - 팔고 - 대머리,1.0,False
몽구형 아직도 살아 있어,0,0_내가_글로비스_만원_어휴,"['내가', '글로비스', '만원', '어휴', '현차', '오르네', '오를땐', '뭐야', '팔고', '대머리']","['뭐야 삼전 팔고 심심해서 사보는거야', '내가 팔면 오를거 같아서 못 팔겠네', '현차 글로비스 오를땐 요지부동']",내가 - 글로비스 - 만원 - 어휴 - 현차 - 오르네 - 오를땐 - 뭐야 - 팔고 - 대머리,1.0,False
왜 징징들되냐 팔고 가면되자나,0,0_내가_글로비스_만원_어휴,"['내가', '글로비스', '만원', '어휴', '현차', '오르네', '오를땐', '뭐야', '팔고', '대머리']","['뭐야 삼전 팔고 심심해서 사보는거야', '내가 팔면 오를거 같아서 못 팔겠네', '현차 글로비스 오를땐 요지부동']",내가 - 글로비스 - 만원 - 어휴 - 현차 - 오르네 - 오를땐 - 뭐야 - 팔고 - 대머리,1.0,False
현재는 계륵 미래는 대박,1,1_주식_관세_모비스_pbr,"['주식', '관세', '모비스', 'pbr', 'sofr', 're기같은', '가자', '감안해', '개그금', 'th']","['이재명 대통령 왜교 천재 경제안보 최고다', '주가조작은 모비스 인위적 상승 억제 주도하는', '미국 단기채 SOFR 금리 급변동에 따른 자산']",주식 - 관세 - 모비스 - pbr - sofr - re기같은 - 가자 - 감안해 - 개그금 - th,0.8118930708403252,False
만도,1,1_주식_관세_모비스_pbr,"['주식', '관세', '모비스', 'pbr', 'sofr', 're기같은', '가자', '감안해', '개그금', 'th']","['이재명 대통령 왜교 천재 경제안보 최고다', '주가조작은 모비스 인위적 상승 억제 주도하는', '미국 단기채 SOFR 금리 급변동에 따른 자산']",주식 - 관세 - 모비스 - pbr - sofr - re기같은 - 가자 - 감안해 - 개그금 - th,1.0,False
땅 판돈 입금됬다 월요일날 보자 무거운게,0,0_내가_글로비스_만원_어휴,"['내가', '글로비스', '만원', '어휴', '현차', '오르네', '오를땐', '뭐야', '팔고', '대머리']","['뭐야 삼전 팔고 심심해서 사보는거야', '내가 팔면 오를거 같아서 못 팔겠네', '현차 글로비스 오를땐 요지부동']",내가 - 글로비스 - 만원 - 어휴 - 현차 - 오르네 - 오를땐 - 뭐야 - 팔고 - 대머리,0.8989575061328912,False
당분간 매수자제,-1,-1_현대모비스_좀비스_주가누르기_회사,"['현대모비스', '좀비스', '주가누르기', '회사', '무관', '상승', '그룹주', '관세협상', 'ai', '거래량']","['셀트리온 기사 한줄로 양일간 프로 상승', '코스피 폭등 좀비스 빌빌 좀비스 본성을 드러', '현대모비스 때문에 생기는 법 주가누르기 방지법']",현대모비스 - 좀비스 - 주가누르기 - 회사 - 무관 - 상승 - 그룹주 - 관세협상 - ai - 거래량,0.0,False
이상하네,0,0_내가_글로비스_만원_어휴,"['내가', '글로비스', '만원', '어휴', '현차', '오르네', '오를땐', '뭐야', '팔고', '대머리']","['뭐야 삼전 팔고 심심해서 사보는거야', '내가 팔면 오를거 같아서 못 팔겠네', '현차 글로비스 오를땐 요지부동']",내가 - 글로비스 - 만원 - 어휴 - 현차 - 오르네 - 오를땐 - 뭐야 - 팔고 - 대머리,0.8037849118134379,False
주가지수와 무관 오로지 상속이슈에만 반응,1,1_주식_관세_모비스_pbr,"['주식', '관세', '모비스', 'pbr', 'sofr', 're기같은', '가자', '감안해', '개그금', 'th']","['이재명 대통령 왜교 천재 경제안보 최고다', '주가조작은 모비스 인위적 상승 억제 주도하는', '미국 단기채 SOFR 금리 급변동에 따른 자산']",주식 - 관세 - 모비스 - pbr - sofr - re기같은 - 가자 - 감안해 - 개그금 - th,0.805433313802595,False
뭐랄까,0,0_내가_글로비스_만원_어휴,"['내가', '글로비스', '만원', '어휴', '현차', '오르네', '오를땐', '뭐야', '팔고', '대머리']","['뭐야 삼전 팔고 심심해서 사보는거야', '내가 팔면 오를거 같아서 못 팔겠네', '현차 글로비스 오를땐 요지부동']",내가 - 글로비스 - 만원 - 어휴 - 현차 - 오르네 - 오를땐 - 뭐야 - 팔고 - 대머리,1.0,False
역시,1,1_주식_관세_모비스_pbr,"['주식', '관세', '모비스', 'pbr', 'sofr', 're기같은', '가자', '감안해', '개그금', 'th']","['이재명 대통령 왜교 천재 경제안보 최고다', '주가조작은 모비스 인위적 상승 억제 주도하는', '미국 단기채 SOFR 금리 급변동에 따른 자산']",주식 - 관세 - 모비스 - pbr - sofr - re기같은 - 가자 - 감안해 - 개그금 - th,1.0,False
대머리,1,1_주식_관세_모비스_pbr,"['주식', '관세', '모비스', 'pbr', 'sofr', 're기같은', '가자', '감안해', '개그금', 'th']","['이재명 대통령 왜교 천재 경제안보 최고다', '주가조작은 모비스 인위적 상승 억제 주도하는', '미국 단기채 SOFR 금리 급변동에 따른 자산']",주식 - 관세 - 모비스 - pbr - sofr - re기같은 - 가자 - 감안해 - 개그금 - th,0.8822652072815119,False
어휴 지긋지긋해,0,0_내가_글로비스_만원_어휴,"['내가', '글로비스', '만원', '어휴', '현차', '오르네', '오를땐', '뭐야', '팔고', '대머리']","['뭐야 삼전 팔고 심심해서 사보는거야', '내가 팔면 오를거 같아서 못 팔겠네', '현차 글로비스 오를땐 요지부동']",내가 - 글로비스 - 만원 - 어휴 - 현차 - 오르네 - 오를땐 - 뭐야 - 팔고 - 대머리,1.0,False
국장 디스카운트 해소를 위한 정부노력에 찬물,1,1_주식_관세_모비스_pbr,"['주식', '관세', '모비스', 'pbr', 'sofr', 're기같은', '가자', '감안해', '개그금', 'th']","['이재명 대통령 왜교 천재 경제안보 최고다', '주가조작은 모비스 인위적 상승 억제 주도하는', '미국 단기채 SOFR 금리 급변동에 따른 자산']",주식 - 관세 - 모비스 - pbr - sofr - re기같은 - 가자 - 감안해 - 개그금 - th,0.8118930708403252,False
다분히,1,1_주식_관세_모비스_pbr,"['주식', '관세', '모비스', 'pbr', 'sofr', 're기같은', '가자', '감안해', '개그금', 'th']","['이재명 대통령 왜교 천재 경제안보 최고다', '주가조작은 모비스 인위적 상승 억제 주도하는', '미국 단기채 SOFR 금리 급변동에 따른 자산']",주식 - 관세 - 모비스 - pbr - sofr - re기같은 - 가자 - 감안해 - 개그금 - th,1.0,False
대모비스,1,1_주식_관세_모비스_pbr,"['주식', '관세', '모비스', 'pbr', 'sofr', 're기같은', '가자', '감안해', '개그금', 'th']","['이재명 대통령 왜교 천재 경제안보 최고다', '주가조작은 모비스 인위적 상승 억제 주도하는', '미국 단기채 SOFR 금리 급변동에 따른 자산']",주식 - 관세 - 모비스 - pbr - sofr - re기같은 - 가자 - 감안해 - 개그금 - th,1.0,False
답답하시죠,0,0_내가_글로비스_만원_어휴,"['내가', '글로비스', '만원', '어휴', '현차', '오르네', '오를땐', '뭐야', '팔고', '대머리']","['뭐야 삼전 팔고 심심해서 사보는거야', '내가 팔면 오를거 같아서 못 팔겠네', '현차 글로비스 오를땐 요지부동']",내가 - 글로비스 - 만원 - 어휴 - 현차 - 오르네 - 오를땐 - 뭐야 - 팔고 - 대머리,1.0,False
외국인이,0,0_내가_글로비스_만원_어휴,"['내가', '글로비스', '만원', '어휴', '현차', '오르네', '오를땐', '뭐야', '팔고', '대머리']","['뭐야 삼전 팔고 심심해서 사보는거야', '내가 팔면 오를거 같아서 못 팔겠네', '현차 글로비스 오를땐 요지부동']",내가 - 글로비스 - 만원 - 어휴 - 현차 - 오르네 - 오를땐 - 뭐야 - 팔고 - 대머리,0.8076677745173051,False
어휴,0,0_내가_글로비스_만원_어휴,"['내가', '글로비스', '만원', '어휴', '현차', '오르네', '오를땐', '뭐야', '팔고', '대머리']","['뭐야 삼전 팔고 심심해서 사보는거야', '내가 팔면 오를거 같아서 못 팔겠네', '현차 글로비스 오를땐 요지부동']",내가 - 글로비스 - 만원 - 어휴 - 현차 - 오르네 - 오를땐 - 뭐야 - 팔고 - 대머리,1.0,False
전우애,1,1_주식_관세_모비스_pbr,"['주식', '관세', '모비스', 'pbr', 'sofr', 're기같은', '가자', '감안해', '개그금', 'th']","['이재명 대통령 왜교 천재 경제안보 최고다', '주가조작은 모비스 인위적 상승 억제 주도하는', '미국 단기채 SOFR 금리 급변동에 따른 자산']",주식 - 관세 - 모비스 - pbr - sofr - re기같은 - 가자 - 감안해 - 개그금 - th,1.0,False
코스피 폭등 좀비스 빌빌 좀비스 본성을 드러,-1,-1_현대모비스_좀비스_주가누르기_회사,"['현대모비스', '좀비스', '주가누르기', '회사', '무관', '상승', '그룹주', '관세협상', 'ai', '거래량']","['셀트리온 기사 한줄로 양일간 프로 상승', '코스피 폭등 좀비스 빌빌 좀비스 본성을 드러', '현대모비스 때문에 생기는 법 주가누르기 방지법']",현대모비스 - 좀비스 - 주가누르기 - 회사 - 무관 - 상승 - 그룹주 - 관세협상 - ai - 거래량,0.0,True
이거 뭐,0,0_내가_글로비스_만원_어휴,"['내가', '글로비스', '만원', '어휴', '현차', '오르네', '오를땐', '뭐야', '팔고', '대머리']","['뭐야 삼전 팔고 심심해서 사보는거야', '내가 팔면 오를거 같아서 못 팔겠네', '현차 글로비스 오를땐 요지부동']",내가 - 글로비스 - 만원 - 어휴 - 현차 - 오르네 - 오를땐 - 뭐야 - 팔고 - 대머리,0.9488917083221894,False
배당투자까지 감안해 대량 매수했다 평가손이,1,1_주식_관세_모비스_pbr,"['주식', '관세', '모비스', 'pbr', 'sofr', 're기같은', '가자', '감안해', '개그금', 'th']","['이재명 대통령 왜교 천재 경제안보 최고다', '주가조작은 모비스 인위적 상승 억제 주도하는', '미국 단기채 SOFR 금리 급변동에 따른 자산']",주식 - 관세 - 모비스 - pbr - sofr - re기같은 - 가자 - 감안해 - 개그금 - th,0.8118930708403252,False
형들,1,1_주식_관세_모비스_pbr,"['주식', '관세', '모비스', 'pbr', 'sofr', 're기같은', '가자', '감안해', '개그금', 'th']","['이재명 대통령 왜교 천재 경제안보 최고다', '주가조작은 모비스 인위적 상승 억제 주도하는', '미국 단기채 SOFR 금리 급변동에 따른 자산']",주식 - 관세 - 모비스 - pbr - sofr - re기같은 - 가자 - 감안해 - 개그금 - th,1.0,False
