Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
불편한 삼성카드,1,1_삼성카드_삼성_만원_발급,"['삼성카드', '삼성', '만원', '발급', '개월', '삼성카드는', '기간조정을', 'ai', '가면', '나는']","['삼성카드 유지라도', '삼성카드 신규 카드 발급 한달에 천 발급', '삼성카드']",삼성카드 - 삼성 - 만원 - 발급 - 개월 - 삼성카드는 - 기간조정을 - ai - 가면 - 나는,1.0,False
상섬 이재용 외삼촌 회사 소개 이렇게 저평가,0,0_공매도_오늘_배당금_배당,"['공매도', '오늘', '배당금', '배당', '만원', '이상', '부터', '물타기', '연기금', '이제']","['난 오늘 물타기 기술 들어갔다', '오늘 마감 후 공매도 수량 함 봅시다', '월요일 부터 공매도']",공매도 - 오늘 - 배당금 - 배당 - 만원 - 이상 - 부터 - 물타기 - 연기금 - 이제,0.9495091725596124,False
년애는배당금,0,0_공매도_오늘_배당금_배당,"['공매도', '오늘', '배당금', '배당', '만원', '이상', '부터', '물타기', '연기금', '이제']","['난 오늘 물타기 기술 들어갔다', '오늘 마감 후 공매도 수량 함 봅시다', '월요일 부터 공매도']",공매도 - 오늘 - 배당금 - 배당 - 만원 - 이상 - 부터 - 물타기 - 연기금 - 이제,1.0,False
아무도 관심 없지만 하지만 우리는 조용히 내갈길,0,0_공매도_오늘_배당금_배당,"['공매도', '오늘', '배당금', '배당', '만원', '이상', '부터', '물타기', '연기금', '이제']","['난 오늘 물타기 기술 들어갔다', '오늘 마감 후 공매도 수량 함 봅시다', '월요일 부터 공매도']",공매도 - 오늘 - 배당금 - 배당 - 만원 - 이상 - 부터 - 물타기 - 연기금 - 이제,0.9776134274615945,False
지역 건보료 왜곡 청구,0,0_공매도_오늘_배당금_배당,"['공매도', '오늘', '배당금', '배당', '만원', '이상', '부터', '물타기', '연기금', '이제']","['난 오늘 물타기 기술 들어갔다', '오늘 마감 후 공매도 수량 함 봅시다', '월요일 부터 공매도']",공매도 - 오늘 - 배당금 - 배당 - 만원 - 이상 - 부터 - 물타기 - 연기금 - 이제,1.0,False
삼성카드로 개월 만원 오토할부 긁음,1,1_삼성카드_삼성_만원_발급,"['삼성카드', '삼성', '만원', '발급', '개월', '삼성카드는', '기간조정을', 'ai', '가면', '나는']","['삼성카드 유지라도', '삼성카드 신규 카드 발급 한달에 천 발급', '삼성카드']",삼성카드 - 삼성 - 만원 - 발급 - 개월 - 삼성카드는 - 기간조정을 - ai - 가면 - 나는,1.0,False
고배당 테마 같이 갑시다,0,0_공매도_오늘_배당금_배당,"['공매도', '오늘', '배당금', '배당', '만원', '이상', '부터', '물타기', '연기금', '이제']","['난 오늘 물타기 기술 들어갔다', '오늘 마감 후 공매도 수량 함 봅시다', '월요일 부터 공매도']",공매도 - 오늘 - 배당금 - 배당 - 만원 - 이상 - 부터 - 물타기 - 연기금 - 이제,1.0,False
흠 매수를 하긴했는데,0,0_공매도_오늘_배당금_배당,"['공매도', '오늘', '배당금', '배당', '만원', '이상', '부터', '물타기', '연기금', '이제']","['난 오늘 물타기 기술 들어갔다', '오늘 마감 후 공매도 수량 함 봅시다', '월요일 부터 공매도']",공매도 - 오늘 - 배당금 - 배당 - 만원 - 이상 - 부터 - 물타기 - 연기금 - 이제,1.0,False
삼성 미국에서 신용카드 출시,1,1_삼성카드_삼성_만원_발급,"['삼성카드', '삼성', '만원', '발급', '개월', '삼성카드는', '기간조정을', 'ai', '가면', '나는']","['삼성카드 유지라도', '삼성카드 신규 카드 발급 한달에 천 발급', '삼성카드']",삼성카드 - 삼성 - 만원 - 발급 - 개월 - 삼성카드는 - 기간조정을 - ai - 가면 - 나는,1.0,False
삼성카드,1,1_삼성카드_삼성_만원_발급,"['삼성카드', '삼성', '만원', '발급', '개월', '삼성카드는', '기간조정을', 'ai', '가면', '나는']","['삼성카드 유지라도', '삼성카드 신규 카드 발급 한달에 천 발급', '삼성카드']",삼성카드 - 삼성 - 만원 - 발급 - 개월 - 삼성카드는 - 기간조정을 - ai - 가면 - 나는,0.9608730103717651,True
배당,0,0_공매도_오늘_배당금_배당,"['공매도', '오늘', '배당금', '배당', '만원', '이상', '부터', '물타기', '연기금', '이제']","['난 오늘 물타기 기술 들어갔다', '오늘 마감 후 공매도 수량 함 봅시다', '월요일 부터 공매도']",공매도 - 오늘 - 배당금 - 배당 - 만원 - 이상 - 부터 - 물타기 - 연기금 - 이제,1.0,False
맛있어 보여요,0,0_공매도_오늘_배당금_배당,"['공매도', '오늘', '배당금', '배당', '만원', '이상', '부터', '물타기', '연기금', '이제']","['난 오늘 물타기 기술 들어갔다', '오늘 마감 후 공매도 수량 함 봅시다', '월요일 부터 공매도']",공매도 - 오늘 - 배당금 - 배당 - 만원 - 이상 - 부터 - 물타기 - 연기금 - 이제,1.0,False
새로운 리서치가 있어요,0,0_공매도_오늘_배당금_배당,"['공매도', '오늘', '배당금', '배당', '만원', '이상', '부터', '물타기', '연기금', '이제']","['난 오늘 물타기 기술 들어갔다', '오늘 마감 후 공매도 수량 함 봅시다', '월요일 부터 공매도']",공매도 - 오늘 - 배당금 - 배당 - 만원 - 이상 - 부터 - 물타기 - 연기금 - 이제,1.0,False
카드,0,0_공매도_오늘_배당금_배당,"['공매도', '오늘', '배당금', '배당', '만원', '이상', '부터', '물타기', '연기금', '이제']","['난 오늘 물타기 기술 들어갔다', '오늘 마감 후 공매도 수량 함 봅시다', '월요일 부터 공매도']",공매도 - 오늘 - 배당금 - 배당 - 만원 - 이상 - 부터 - 물타기 - 연기금 - 이제,0.5116354176453094,False
