Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
LS,1,1_ls_ir_ai_에식스,"['ls', 'ir', 'ai', '에식스', '상장', '요약', '에식스솔루션즈', 'ls는', 'act에서', '강아지']","['LS 에식스솔루션즈 쪼개기 상장 강행', 'AI 요약 주 LS의 단일판매 공급계약 체', 'AI 요약 LS 계열사 에식스솔루션즈 상']",ls - ir - ai - 에식스 - 상장 - 요약 - 에식스솔루션즈 - ls는 - act에서 - 강아지,0.7958764409222352,False
리스크,1,1_ls_ir_ai_에식스,"['ls', 'ir', 'ai', '에식스', '상장', '요약', '에식스솔루션즈', 'ls는', 'act에서', '강아지']","['LS 에식스솔루션즈 쪼개기 상장 강행', 'AI 요약 주 LS의 단일판매 공급계약 체', 'AI 요약 LS 계열사 에식스솔루션즈 상']",ls - ir - ai - 에식스 - 상장 - 요약 - 에식스솔루션즈 - ls는 - act에서 - 강아지,0.7958764409222352,False
꼬라지 보니,0,0_내년_구데기들_사지_주주들한테,"['내년', '구데기들', '사지', '주주들한테', '호반도', '지금', '해라', '털고', 'ls', 'ls는']","['호반도 답 없어서 털고 나간걸 왜 사냐', 'LS는 지금 주주들한테 진짜 잘 해야 혀', 'LS는 지금 주주들한테 잘보여야 할텐데']",내년 - 구데기들 - 사지 - 주주들한테 - 호반도 - 지금 - 해라 - 털고 - ls - ls는,0.9159358091868072,False
일론머스크가 LS한테 주식 좀 배워야겄어,-1,-1_중복상장_에식스_호반_거짓말,"['중복상장', '에식스', '호반', '거짓말', '상장', 'ls전선', '구자은아', '심해', '반대표', '성공하면']","['에식스 상장 성공하면 골로간다', '구자은아 더 추해지기 전에 에식스 상장 철회해', '에식스 상장 성공하면 다음은 ls 전선일거']",중복상장 - 에식스 - 호반 - 거짓말 - 상장 - ls전선 - 구자은아 - 심해 - 반대표 - 성공하면,0.0,False
차상법,1,1_ls_ir_ai_에식스,"['ls', 'ir', 'ai', '에식스', '상장', '요약', '에식스솔루션즈', 'ls는', 'act에서', '강아지']","['LS 에식스솔루션즈 쪼개기 상장 강행', 'AI 요약 주 LS의 단일판매 공급계약 체', 'AI 요약 LS 계열사 에식스솔루션즈 상']",ls - ir - ai - 에식스 - 상장 - 요약 - 에식스솔루션즈 - ls는 - act에서 - 강아지,0.7186696370505403,False
씨를 말려야 ls가 정상이 된다,-1,-1_중복상장_에식스_호반_거짓말,"['중복상장', '에식스', '호반', '거짓말', '상장', 'ls전선', '구자은아', '심해', '반대표', '성공하면']","['에식스 상장 성공하면 골로간다', '구자은아 더 추해지기 전에 에식스 상장 철회해', '에식스 상장 성공하면 다음은 ls 전선일거']",중복상장 - 에식스 - 호반 - 거짓말 - 상장 - ls전선 - 구자은아 - 심해 - 반대표 - 성공하면,0.0,False
천하악질구가가 내 재산 다 빼먹네문어발,0,0_내년_구데기들_사지_주주들한테,"['내년', '구데기들', '사지', '주주들한테', '호반도', '지금', '해라', '털고', 'ls', 'ls는']","['호반도 답 없어서 털고 나간걸 왜 사냐', 'LS는 지금 주주들한테 진짜 잘 해야 혀', 'LS는 지금 주주들한테 잘보여야 할텐데']",내년 - 구데기들 - 사지 - 주주들한테 - 호반도 - 지금 - 해라 - 털고 - ls - ls는,0.8776369320927192,False
바닥 도달했으니,0,0_내년_구데기들_사지_주주들한테,"['내년', '구데기들', '사지', '주주들한테', '호반도', '지금', '해라', '털고', 'ls', 'ls는']","['호반도 답 없어서 털고 나간걸 왜 사냐', 'LS는 지금 주주들한테 진짜 잘 해야 혀', 'LS는 지금 주주들한테 잘보여야 할텐데']",내년 - 구데기들 - 사지 - 주주들한테 - 호반도 - 지금 - 해라 - 털고 - ls - ls는,0.8270832431453594,False
이번주내로 LS 만원 다시갈거같은데,0,0_내년_구데기들_사지_주주들한테,"['내년', '구데기들', '사지', '주주들한테', '호반도', '지금', '해라', '털고', 'ls', 'ls는']","['호반도 답 없어서 털고 나간걸 왜 사냐', 'LS는 지금 주주들한테 진짜 잘 해야 혀', 'LS는 지금 주주들한테 잘보여야 할텐데']",내년 - 구데기들 - 사지 - 주주들한테 - 호반도 - 지금 - 해라 - 털고 - ls - ls는,0.800596579585727,False
두산빌 ls이게 다 망치네,-1,-1_중복상장_에식스_호반_거짓말,"['중복상장', '에식스', '호반', '거짓말', '상장', 'ls전선', '구자은아', '심해', '반대표', '성공하면']","['에식스 상장 성공하면 골로간다', '구자은아 더 추해지기 전에 에식스 상장 철회해', '에식스 상장 성공하면 다음은 ls 전선일거']",중복상장 - 에식스 - 호반 - 거짓말 - 상장 - ls전선 - 구자은아 - 심해 - 반대표 - 성공하면,0.0,False
이재명 레임덕,1,1_ls_ir_ai_에식스,"['ls', 'ir', 'ai', '에식스', '상장', '요약', '에식스솔루션즈', 'ls는', 'act에서', '강아지']","['LS 에식스솔루션즈 쪼개기 상장 강행', 'AI 요약 주 LS의 단일판매 공급계약 체', 'AI 요약 LS 계열사 에식스솔루션즈 상']",ls - ir - ai - 에식스 - 상장 - 요약 - 에식스솔루션즈 - ls는 - act에서 - 강아지,0.7302090851173956,False
년 월 지방선거 인데 통과 시,-1,-1_중복상장_에식스_호반_거짓말,"['중복상장', '에식스', '호반', '거짓말', '상장', 'ls전선', '구자은아', '심해', '반대표', '성공하면']","['에식스 상장 성공하면 골로간다', '구자은아 더 추해지기 전에 에식스 상장 철회해', '에식스 상장 성공하면 다음은 ls 전선일거']",중복상장 - 에식스 - 호반 - 거짓말 - 상장 - ls전선 - 구자은아 - 심해 - 반대표 - 성공하면,0.0,False
