Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
기관이 지수 방어한다고,-1,-1_방산_만원_재매수_개관,"['방산', '만원', '재매수', '개관', '개미들', '개미', '방산주', '오늘도', '믿는다', '재명이']","['다른 방산 다 양전 가는데 얘만 왜 이래 주', '이재밍이는 머하고 있을까 방산 쎄일 하러 쏘', '재명이 훈식이 방산 특사 갔어여']",방산 - 만원 - 재매수 - 개관 - 개미들 - 개미 - 방산주 - 오늘도 - 믿는다 - 재명이,0.0,False
아주그냥 지들끼리,-1,-1_방산_만원_재매수_개관,"['방산', '만원', '재매수', '개관', '개미들', '개미', '방산주', '오늘도', '믿는다', '재명이']","['다른 방산 다 양전 가는데 얘만 왜 이래 주', '이재밍이는 머하고 있을까 방산 쎄일 하러 쏘', '재명이 훈식이 방산 특사 갔어여']",방산 - 만원 - 재매수 - 개관 - 개미들 - 개미 - 방산주 - 오늘도 - 믿는다 - 재명이,0.0,False
연 금이 연말에 실적 정산해야하니까,-1,-1_방산_만원_재매수_개관,"['방산', '만원', '재매수', '개관', '개미들', '개미', '방산주', '오늘도', '믿는다', '재명이']","['다른 방산 다 양전 가는데 얘만 왜 이래 주', '이재밍이는 머하고 있을까 방산 쎄일 하러 쏘', '재명이 훈식이 방산 특사 갔어여']",방산 - 만원 - 재매수 - 개관 - 개미들 - 개미 - 방산주 - 오늘도 - 믿는다 - 재명이,0.0,False
한에도 똑같네 연기금 매도 외인 매수,0,0_오늘_있네_기관_주가,"['오늘', '있네', '기관', '주가', '던지는', '한에', '양전', '진짜', '현대로템', 'ir만하면']","['기관 오늘 잠자다가 고이 가시길 빌께', '기관 오늘 잠자다 하늘로 가길 아멘 아미', '현대로템 오늘 주가 조작하고 있다고 소문 다 났다']",오늘 - 있네 - 기관 - 주가 - 던지는 - 한에 - 양전 - 진짜 - 현대로템 - ir만하면,0.9292492538569888,False
외국인이 매수하고 날아가면 되겠네,0,0_오늘_있네_기관_주가,"['오늘', '있네', '기관', '주가', '던지는', '한에', '양전', '진짜', '현대로템', 'ir만하면']","['기관 오늘 잠자다가 고이 가시길 빌께', '기관 오늘 잠자다 하늘로 가길 아멘 아미', '현대로템 오늘 주가 조작하고 있다고 소문 다 났다']",오늘 - 있네 - 기관 - 주가 - 던지는 - 한에 - 양전 - 진짜 - 현대로템 - ir만하면,1.0,False
Ir 한번더하면,0,0_오늘_있네_기관_주가,"['오늘', '있네', '기관', '주가', '던지는', '한에', '양전', '진짜', '현대로템', 'ir만하면']","['기관 오늘 잠자다가 고이 가시길 빌께', '기관 오늘 잠자다 하늘로 가길 아멘 아미', '현대로템 오늘 주가 조작하고 있다고 소문 다 났다']",오늘 - 있네 - 기관 - 주가 - 던지는 - 한에 - 양전 - 진짜 - 현대로템 - ir만하면,1.0,False
IR,1,1_반대매매_연기금_고점대비_결론,"['반대매매', '연기금', '고점대비', '결론', '거래량', '공매들', '공매', '공매세력은', '경험', '불쌍한']","['공매세력은 우리보다 정보력 빠르다', '주가조작 세력 구속 수사 원칙', '공매들 정말 쉽게 물량 확보하네요']",반대매매 - 연기금 - 고점대비 - 결론 - 거래량 - 공매들 - 공매 - 공매세력은 - 경험 - 불쌍한,0.9981345184299298,False
연기금,1,1_반대매매_연기금_고점대비_결론,"['반대매매', '연기금', '고점대비', '결론', '거래량', '공매들', '공매', '공매세력은', '경험', '불쌍한']","['공매세력은 우리보다 정보력 빠르다', '주가조작 세력 구속 수사 원칙', '공매들 정말 쉽게 물량 확보하네요']",반대매매 - 연기금 - 고점대비 - 결론 - 거래량 - 공매들 - 공매 - 공매세력은 - 경험 - 불쌍한,1.0,False
로템아 IR하지말자,0,0_오늘_있네_기관_주가,"['오늘', '있네', '기관', '주가', '던지는', '한에', '양전', '진짜', '현대로템', 'ir만하면']","['기관 오늘 잠자다가 고이 가시길 빌께', '기관 오늘 잠자다 하늘로 가길 아멘 아미', '현대로템 오늘 주가 조작하고 있다고 소문 다 났다']",오늘 - 있네 - 기관 - 주가 - 던지는 - 한에 - 양전 - 진짜 - 현대로템 - ir만하면,1.0,False
기관 오늘 잠자다 하늘로 가길 아멘 아미,0,0_오늘_있네_기관_주가,"['오늘', '있네', '기관', '주가', '던지는', '한에', '양전', '진짜', '현대로템', 'ir만하면']","['기관 오늘 잠자다가 고이 가시길 빌께', '기관 오늘 잠자다 하늘로 가길 아멘 아미', '현대로템 오늘 주가 조작하고 있다고 소문 다 났다']",오늘 - 있네 - 기관 - 주가 - 던지는 - 한에 - 양전 - 진짜 - 현대로템 - ir만하면,1.0,True
