Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
하락시작 예정인 가운데 대 상승으로 만,0,0_하락_오늘_가운데_오늘은,"['하락', '오늘', '가운데', '오늘은', '오늘도', '예정인', '주식', '코스피', '어제', '외인']","['오늘도 하락 시작인 가운데 반등함정도 나올예정', '하락 예정인 가운데 무시하고 또 상승', '코스피 천이지만 오늘도 하락 확률 높은 주식']",하락 - 오늘 - 가운데 - 오늘은 - 오늘도 - 예정인 - 주식 - 코스피 - 어제 - 외인,1.0,False
담배는 집안에서 펴라,1,1_담배값_일차_인상_고수님들,"['담배값', '일차', '인상', '고수님들', '내년', '놈이', '나타난다', '기원', '담배', '니코틴에도']","['담배값 인상기원 일차', '담배값 인상 되면 오르나요 떨어지나요', '담배값 인상 기원 일차']",담배값 - 일차 - 인상 - 고수님들 - 내년 - 놈이 - 나타난다 - 기원 - 담배 - 니코틴에도,1.0,False
제일 안전빵,0,0_하락_오늘_가운데_오늘은,"['하락', '오늘', '가운데', '오늘은', '오늘도', '예정인', '주식', '코스피', '어제', '외인']","['오늘도 하락 시작인 가운데 반등함정도 나올예정', '하락 예정인 가운데 무시하고 또 상승', '코스피 천이지만 오늘도 하락 확률 높은 주식']",하락 - 오늘 - 가운데 - 오늘은 - 오늘도 - 예정인 - 주식 - 코스피 - 어제 - 외인,0.9605212256829552,False
긴급 사람을 찾습니다 윌리좡,0,0_하락_오늘_가운데_오늘은,"['하락', '오늘', '가운데', '오늘은', '오늘도', '예정인', '주식', '코스피', '어제', '외인']","['오늘도 하락 시작인 가운데 반등함정도 나올예정', '하락 예정인 가운데 무시하고 또 상승', '코스피 천이지만 오늘도 하락 확률 높은 주식']",하락 - 오늘 - 가운데 - 오늘은 - 오늘도 - 예정인 - 주식 - 코스피 - 어제 - 외인,1.0,False
국민연금에서 사나보다,0,0_하락_오늘_가운데_오늘은,"['하락', '오늘', '가운데', '오늘은', '오늘도', '예정인', '주식', '코스피', '어제', '외인']","['오늘도 하락 시작인 가운데 반등함정도 나올예정', '하락 예정인 가운데 무시하고 또 상승', '코스피 천이지만 오늘도 하락 확률 높은 주식']",하락 - 오늘 - 가운데 - 오늘은 - 오늘도 - 예정인 - 주식 - 코스피 - 어제 - 외인,1.0,False
주가가 떨어지면 담배라도 많이 피겠지,0,0_하락_오늘_가운데_오늘은,"['하락', '오늘', '가운데', '오늘은', '오늘도', '예정인', '주식', '코스피', '어제', '외인']","['오늘도 하락 시작인 가운데 반등함정도 나올예정', '하락 예정인 가운데 무시하고 또 상승', '코스피 천이지만 오늘도 하락 확률 높은 주식']",하락 - 오늘 - 가운데 - 오늘은 - 오늘도 - 예정인 - 주식 - 코스피 - 어제 - 외인,0.7439740889403043,False
천원 갑시다,0,0_하락_오늘_가운데_오늘은,"['하락', '오늘', '가운데', '오늘은', '오늘도', '예정인', '주식', '코스피', '어제', '외인']","['오늘도 하락 시작인 가운데 반등함정도 나올예정', '하락 예정인 가운데 무시하고 또 상승', '코스피 천이지만 오늘도 하락 확률 높은 주식']",하락 - 오늘 - 가운데 - 오늘은 - 오늘도 - 예정인 - 주식 - 코스피 - 어제 - 외인,1.0,False
윌리좡님 어디가셨어요 나와주세요,0,0_하락_오늘_가운데_오늘은,"['하락', '오늘', '가운데', '오늘은', '오늘도', '예정인', '주식', '코스피', '어제', '외인']","['오늘도 하락 시작인 가운데 반등함정도 나올예정', '하락 예정인 가운데 무시하고 또 상승', '코스피 천이지만 오늘도 하락 확률 높은 주식']",하락 - 오늘 - 가운데 - 오늘은 - 오늘도 - 예정인 - 주식 - 코스피 - 어제 - 외인,1.0,False
상한가 안가나,0,0_하락_오늘_가운데_오늘은,"['하락', '오늘', '가운데', '오늘은', '오늘도', '예정인', '주식', '코스피', '어제', '외인']","['오늘도 하락 시작인 가운데 반등함정도 나올예정', '하락 예정인 가운데 무시하고 또 상승', '코스피 천이지만 오늘도 하락 확률 높은 주식']",하락 - 오늘 - 가운데 - 오늘은 - 오늘도 - 예정인 - 주식 - 코스피 - 어제 - 외인,1.0,False
오늘같은날,0,0_하락_오늘_가운데_오늘은,"['하락', '오늘', '가운데', '오늘은', '오늘도', '예정인', '주식', '코스피', '어제', '외인']","['오늘도 하락 시작인 가운데 반등함정도 나올예정', '하락 예정인 가운데 무시하고 또 상승', '코스피 천이지만 오늘도 하락 확률 높은 주식']",하락 - 오늘 - 가운데 - 오늘은 - 오늘도 - 예정인 - 주식 - 코스피 - 어제 - 외인,0.843192423066419,False
반등하는 날이지만 하락하면서 을 예고하는,0,0_하락_오늘_가운데_오늘은,"['하락', '오늘', '가운데', '오늘은', '오늘도', '예정인', '주식', '코스피', '어제', '외인']","['오늘도 하락 시작인 가운데 반등함정도 나올예정', '하락 예정인 가운데 무시하고 또 상승', '코스피 천이지만 오늘도 하락 확률 높은 주식']",하락 - 오늘 - 가운데 - 오늘은 - 오늘도 - 예정인 - 주식 - 코스피 - 어제 - 외인,1.0,False
담배값 인상 되면 오르나요 떨어지나요,1,1_담배값_일차_인상_고수님들,"['담배값', '일차', '인상', '고수님들', '내년', '놈이', '나타난다', '기원', '담배', '니코틴에도']","['담배값 인상기원 일차', '담배값 인상 되면 오르나요 떨어지나요', '담배값 인상 기원 일차']",담배값 - 일차 - 인상 - 고수님들 - 내년 - 놈이 - 나타난다 - 기원 - 담배 - 니코틴에도,1.0,True
만원에 꽉 묶여있던 주식이였는데,0,0_하락_오늘_가운데_오늘은,"['하락', '오늘', '가운데', '오늘은', '오늘도', '예정인', '주식', '코스피', '어제', '외인']","['오늘도 하락 시작인 가운데 반등함정도 나올예정', '하락 예정인 가운데 무시하고 또 상승', '코스피 천이지만 오늘도 하락 확률 높은 주식']",하락 - 오늘 - 가운데 - 오늘은 - 오늘도 - 예정인 - 주식 - 코스피 - 어제 - 외인,0.972066424057639,False
담배값 올리고 분기배당 하자,1,1_담배값_일차_인상_고수님들,"['담배값', '일차', '인상', '고수님들', '내년', '놈이', '나타난다', '기원', '담배', '니코틴에도']","['담배값 인상기원 일차', '담배값 인상 되면 오르나요 떨어지나요', '담배값 인상 기원 일차']",담배값 - 일차 - 인상 - 고수님들 - 내년 - 놈이 - 나타난다 - 기원 - 담배 - 니코틴에도,1.0,False
