Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
뉴스떳다,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,False
공매도 만주 뭐냐,-1,-1_배당_분기_skt_종가는,"['배당', '분기', 'skt', '종가는', '오늘', '개미들', '반도체', '물량', '집단소송', '주가']","['배당 안주니까 개미들 뜃쳐나가는 것이 많', '분기 배당 줄 여력이 있을까요', '배당']",배당 - 분기 - skt - 종가는 - 오늘 - 개미들 - 반도체 - 물량 - 집단소송 - 주가,0.0,False
미래에셋증권도 동시호가에 이상한 물량 들어옴,-1,-1_배당_분기_skt_종가는,"['배당', '분기', 'skt', '종가는', '오늘', '개미들', '반도체', '물량', '집단소송', '주가']","['배당 안주니까 개미들 뜃쳐나가는 것이 많', '분기 배당 줄 여력이 있을까요', '배당']",배당 - 분기 - skt - 종가는 - 오늘 - 개미들 - 반도체 - 물량 - 집단소송 - 주가,0.0,False
지금 만 천원대 있어야 할 주식이다,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,0.9333671201131684,False
외쿡인 거의 만주 매수,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,0.8075590826597865,True
어떤 인간들이 주식 싸게 사려고 배당 안준다고,-1,-1_배당_분기_skt_종가는,"['배당', '분기', 'skt', '종가는', '오늘', '개미들', '반도체', '물량', '집단소송', '주가']","['배당 안주니까 개미들 뜃쳐나가는 것이 많', '분기 배당 줄 여력이 있을까요', '배당']",배당 - 분기 - skt - 종가는 - 오늘 - 개미들 - 반도체 - 물량 - 집단소송 - 주가,0.0,False
외국인 대량거래,-1,-1_배당_분기_skt_종가는,"['배당', '분기', 'skt', '종가는', '오늘', '개미들', '반도체', '물량', '집단소송', '주가']","['배당 안주니까 개미들 뜃쳐나가는 것이 많', '분기 배당 줄 여력이 있을까요', '배당']",배당 - 분기 - skt - 종가는 - 오늘 - 개미들 - 반도체 - 물량 - 집단소송 - 주가,0.0,False
나도 잘 모르는데,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,False
연말 배당 주는가 보네 와 우,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,False
외놈들 자전거래잖아,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,0.8929020399158182,False
뭔가 공시나 뉴스가 나와야 알겠지만,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,0.8621759884466184,False
노소영이 개빡처서 산거면,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,False
막판에 뭔일이래요,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,False
만주 나와라,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,0.8507142029721837,False
Sk텔레콤 은 사랑이다,-1,-1_배당_분기_skt_종가는,"['배당', '분기', 'skt', '종가는', '오늘', '개미들', '반도체', '물량', '집단소송', '주가']","['배당 안주니까 개미들 뜃쳐나가는 것이 많', '분기 배당 줄 여력이 있을까요', '배당']",배당 - 분기 - skt - 종가는 - 오늘 - 개미들 - 반도체 - 물량 - 집단소송 - 주가,0.0,False
니들 불쌍해서 내가 가발쓰고 샀다,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,0.9939465464446847,False
역시 그동안 외국인들이 매집한 이유가,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,False
갑자기 거래량 뭐냐,1,1_외인_npu_가치주_갑자기,"['외인', 'npu', '가치주', '갑자기', '개기름', '개소리', '거래량', '고위험주', '나는', '나락가네']","['외인 기관', '오늘의 진정한 Winnner', '종가에 한번이라도 최고가로 마감하면 언너']",외인 - npu - 가치주 - 갑자기 - 개기름 - 개소리 - 거래량 - 고위험주 - 나는 - 나락가네,0.9886878868459777,False
주식소각 함 가자,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,0.877304956768476,False
뭐지,1,1_외인_npu_가치주_갑자기,"['외인', 'npu', '가치주', '갑자기', '개기름', '개소리', '거래량', '고위험주', '나는', '나락가네']","['외인 기관', '오늘의 진정한 Winnner', '종가에 한번이라도 최고가로 마감하면 언너']",외인 - npu - 가치주 - 갑자기 - 개기름 - 개소리 - 거래량 - 고위험주 - 나는 - 나락가네,1.0,False
종가 블럭딜,1,1_외인_npu_가치주_갑자기,"['외인', 'npu', '가치주', '갑자기', '개기름', '개소리', '거래량', '고위험주', '나는', '나락가네']","['외인 기관', '오늘의 진정한 Winnner', '종가에 한번이라도 최고가로 마감하면 언너']",외인 - npu - 가치주 - 갑자기 - 개기름 - 개소리 - 거래량 - 고위험주 - 나는 - 나락가네,0.6023866917589477,False
신한 개기름 덩어리,1,1_외인_npu_가치주_갑자기,"['외인', 'npu', '가치주', '갑자기', '개기름', '개소리', '거래량', '고위험주', '나는', '나락가네']","['외인 기관', '오늘의 진정한 Winnner', '종가에 한번이라도 최고가로 마감하면 언너']",외인 - npu - 가치주 - 갑자기 - 개기름 - 개소리 - 거래량 - 고위험주 - 나는 - 나락가네,0.9826090779399089,False
보합놀이 엄청 재미난가,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,False
외국놈들 아주 난리를 치는구만 호가창 싸움,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,0.8252312185783071,False
얘는 족보가 뭐잉,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,False
나도 물렸지만 길게보자 길게,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,False
환율 원 실화냐,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,False
통신은 정체 수익증가는 ai dc 몫,-1,-1_배당_분기_skt_종가는,"['배당', '분기', 'skt', '종가는', '오늘', '개미들', '반도체', '물량', '집단소송', '주가']","['배당 안주니까 개미들 뜃쳐나가는 것이 많', '분기 배당 줄 여력이 있을까요', '배당']",배당 - 분기 - skt - 종가는 - 오늘 - 개미들 - 반도체 - 물량 - 집단소송 - 주가,0.0,False
skt 주가 초라하고 비젼없는 회사로,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,False
연개금이 때문에 주가가 개판이여,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,0.9333671201131684,False
터무니 없는 야기들,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,0.9368771613900193,False
SK관 리자들 감봉해서 배당해라,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,False
주주에게 배당안주면서 직원 성과금은 주니까,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,0.846026681647261,False
개미 좀 털고 가고싶겟지,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,False
고위험주,1,1_외인_npu_가치주_갑자기,"['외인', 'npu', '가치주', '갑자기', '개기름', '개소리', '거래량', '고위험주', '나는', '나락가네']","['외인 기관', '오늘의 진정한 Winnner', '종가에 한번이라도 최고가로 마감하면 언너']",외인 - npu - 가치주 - 갑자기 - 개기름 - 개소리 - 거래량 - 고위험주 - 나는 - 나락가네,1.0,False
JP모건 오늘도 떳다 오늘도 주가는 깨골창,0,0_오늘도_오늘_매수_jp모건,"['오늘도', '오늘', '매수', 'jp모건', '만주', 'skt', '근데', '보이네', '털렸네요', '거의']","['외쿡인 거의 만주 매수', 'JP모건 오늘도 보이네 틀렸군', 'JP모건 오늘도 떳다 오늘도 주가는 깨골창']",오늘도 - 오늘 - 매수 - jp모건 - 만주 - skt - 근데 - 보이네 - 털렸네요 - 거의,1.0,True
