Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
피말리고있다,1,1_ai가_all_in_k방산,"['ai가', 'all', 'in', 'k방산', 'v자', '공격', '광기였다', '국장', '기대됨', '기회']","['담자 마자 손실', '자사주소각과 배당이 기대됨', 'AI가 한화에어로스페이스 년 데이터 분석']",ai가 - all - in - k방산 - v자 - 공격 - 광기였다 - 국장 - 기대됨 - 기회,0.8513738762667795,False
여기서 지지받고 돌린거는 월 만,0,0_오늘_현실을봐라_주가_우크라이나,"['오늘', '현실을봐라', '주가', '우크라이나', '누리호', '주식이네', '갈거', 'urru', '간나구를', 'ahha']","['사라진 현실을봐라 urru 나타나라', '현실을봐라 urru 야 니가 유증할때', '가슴에 손을얹고 오늘 쫄렸다 싶으면 반등']",오늘 - 현실을봐라 - 주가 - 우크라이나 - 누리호 - 주식이네 - 갈거 - urru - 간나구를 - ahha,0.8196766434139253,False
낼은 간다,-1,-1_만원_진짜_담주_러우,"['만원', '진짜', '담주', '러우', '반대매매', '개미들', '개미', '월욜도', '종전안', '있는']","['신규 진입 또는 여력이 있는 자 지금부터', '반대매매 터집니다 만원 옵니다 무조건', '담주 월욜도 주가 떨어지면 투매나올듯']",만원 - 진짜 - 담주 - 러우 - 반대매매 - 개미들 - 개미 - 월욜도 - 종전안 - 있는,0.0,False
다 팔아 치웠다 로켓 폭파조 투입,-1,-1_만원_진짜_담주_러우,"['만원', '진짜', '담주', '러우', '반대매매', '개미들', '개미', '월욜도', '종전안', '있는']","['신규 진입 또는 여력이 있는 자 지금부터', '반대매매 터집니다 만원 옵니다 무조건', '담주 월욜도 주가 떨어지면 투매나올듯']",만원 - 진짜 - 담주 - 러우 - 반대매매 - 개미들 - 개미 - 월욜도 - 종전안 - 있는,0.0,False
개미털기구나,-1,-1_만원_진짜_담주_러우,"['만원', '진짜', '담주', '러우', '반대매매', '개미들', '개미', '월욜도', '종전안', '있는']","['신규 진입 또는 여력이 있는 자 지금부터', '반대매매 터집니다 만원 옵니다 무조건', '담주 월욜도 주가 떨어지면 투매나올듯']",만원 - 진짜 - 담주 - 러우 - 반대매매 - 개미들 - 개미 - 월욜도 - 종전안 - 있는,0.0,False
레포트 나오는거 같네요,0,0_오늘_현실을봐라_주가_우크라이나,"['오늘', '현실을봐라', '주가', '우크라이나', '누리호', '주식이네', '갈거', 'urru', '간나구를', 'ahha']","['사라진 현실을봐라 urru 나타나라', '현실을봐라 urru 야 니가 유증할때', '가슴에 손을얹고 오늘 쫄렸다 싶으면 반등']",오늘 - 현실을봐라 - 주가 - 우크라이나 - 누리호 - 주식이네 - 갈거 - urru - 간나구를 - ahha,0.8177372966866833,False
이런걸,1,1_ai가_all_in_k방산,"['ai가', 'all', 'in', 'k방산', 'v자', '공격', '광기였다', '국장', '기대됨', '기회']","['담자 마자 손실', '자사주소각과 배당이 기대됨', 'AI가 한화에어로스페이스 년 데이터 분석']",ai가 - all - in - k방산 - v자 - 공격 - 광기였다 - 국장 - 기대됨 - 기회,0.7888604759765533,False
안티가 많을때 들어가야 한다,0,0_오늘_현실을봐라_주가_우크라이나,"['오늘', '현실을봐라', '주가', '우크라이나', '누리호', '주식이네', '갈거', 'urru', '간나구를', 'ahha']","['사라진 현실을봐라 urru 나타나라', '현실을봐라 urru 야 니가 유증할때', '가슴에 손을얹고 오늘 쫄렸다 싶으면 반등']",오늘 - 현실을봐라 - 주가 - 우크라이나 - 누리호 - 주식이네 - 갈거 - urru - 간나구를 - ahha,0.8400702596822849,False
참을만 한가요,2,2_뭐지_개판이넹_개잡주는_왜이런거에요,"['뭐지', '개판이넹', '개잡주는', '왜이런거에요', '계신가요', '동관씨', '내생각엔', '또왔어', '맛갔네', '맞추는게']","['이 개잡주는 뭐지', '뭐지 개판이넹', '차트도사입니다 젤인기주 상승하락 맞추는게 재밌']",뭐지 - 개판이넹 - 개잡주는 - 왜이런거에요 - 계신가요 - 동관씨 - 내생각엔 - 또왔어 - 맛갔네 - 맞추는게,1.0,False
만 안오면 안산다,0,0_오늘_현실을봐라_주가_우크라이나,"['오늘', '현실을봐라', '주가', '우크라이나', '누리호', '주식이네', '갈거', 'urru', '간나구를', 'ahha']","['사라진 현실을봐라 urru 나타나라', '현실을봐라 urru 야 니가 유증할때', '가슴에 손을얹고 오늘 쫄렸다 싶으면 반등']",오늘 - 현실을봐라 - 주가 - 우크라이나 - 누리호 - 주식이네 - 갈거 - urru - 간나구를 - ahha,0.9335094631142903,False
에서 되고,1,1_ai가_all_in_k방산,"['ai가', 'all', 'in', 'k방산', 'v자', '공격', '광기였다', '국장', '기대됨', '기회']","['담자 마자 손실', '자사주소각과 배당이 기대됨', 'AI가 한화에어로스페이스 년 데이터 분석']",ai가 - all - in - k방산 - v자 - 공격 - 광기였다 - 국장 - 기대됨 - 기회,0.812812444926037,False
빈수레가 요란하다는 속담에 딱맞는 잡주,0,0_오늘_현실을봐라_주가_우크라이나,"['오늘', '현실을봐라', '주가', '우크라이나', '누리호', '주식이네', '갈거', 'urru', '간나구를', 'ahha']","['사라진 현실을봐라 urru 나타나라', '현실을봐라 urru 야 니가 유증할때', '가슴에 손을얹고 오늘 쫄렸다 싶으면 반등']",오늘 - 현실을봐라 - 주가 - 우크라이나 - 누리호 - 주식이네 - 갈거 - urru - 간나구를 - ahha,0.969884986302377,False
우즈개발하려면,1,1_ai가_all_in_k방산,"['ai가', 'all', 'in', 'k방산', 'v자', '공격', '광기였다', '국장', '기대됨', '기회']","['담자 마자 손실', '자사주소각과 배당이 기대됨', 'AI가 한화에어로스페이스 년 데이터 분석']",ai가 - all - in - k방산 - v자 - 공격 - 광기였다 - 국장 - 기대됨 - 기회,0.9300286289566061,False
다시 개폭락조짐,-1,-1_만원_진짜_담주_러우,"['만원', '진짜', '담주', '러우', '반대매매', '개미들', '개미', '월욜도', '종전안', '있는']","['신규 진입 또는 여력이 있는 자 지금부터', '반대매매 터집니다 만원 옵니다 무조건', '담주 월욜도 주가 떨어지면 투매나올듯']",만원 - 진짜 - 담주 - 러우 - 반대매매 - 개미들 - 개미 - 월욜도 - 종전안 - 있는,0.0,False
훅 던져봐,-1,-1_만원_진짜_담주_러우,"['만원', '진짜', '담주', '러우', '반대매매', '개미들', '개미', '월욜도', '종전안', '있는']","['신규 진입 또는 여력이 있는 자 지금부터', '반대매매 터집니다 만원 옵니다 무조건', '담주 월욜도 주가 떨어지면 투매나올듯']",만원 - 진짜 - 담주 - 러우 - 반대매매 - 개미들 - 개미 - 월욜도 - 종전안 - 있는,0.0,False
정신들차려 만원이 갔다 제자리가,-1,-1_만원_진짜_담주_러우,"['만원', '진짜', '담주', '러우', '반대매매', '개미들', '개미', '월욜도', '종전안', '있는']","['신규 진입 또는 여력이 있는 자 지금부터', '반대매매 터집니다 만원 옵니다 무조건', '담주 월욜도 주가 떨어지면 투매나올듯']",만원 - 진짜 - 담주 - 러우 - 반대매매 - 개미들 - 개미 - 월욜도 - 종전안 - 있는,0.0,False
공격,1,1_ai가_all_in_k방산,"['ai가', 'all', 'in', 'k방산', 'v자', '공격', '광기였다', '국장', '기대됨', '기회']","['담자 마자 손실', '자사주소각과 배당이 기대됨', 'AI가 한화에어로스페이스 년 데이터 분석']",ai가 - all - in - k방산 - v자 - 공격 - 광기였다 - 국장 - 기대됨 - 기회,0.8605306612292742,False
