Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
외인놈들,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
외국인 도둑놈들 동시호가에 빼,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,0.9245864532021589,False
찬디 많은거 보니 또 골로 가겠군,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
올리브영 상장뉴스를 흘려보내는 건,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
조만간,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,0.843460029352681,False
외넘들 단타들어온건가요,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
윗꼬리 레전드네 진짜,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
에 쳐물렸어요,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
매도세가 너무 강하네,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
감사합니다,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
이상 상승했어요,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,0.9643636676340828,False
가즈아 영감,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
중국 일본산화장품 수입 규제,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,0.6030013539918593,False
중국애들,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,0.7588537638769633,False
다음주 야당 상법개정 토론회,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
속보 일본행 만표 취소 그,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
월일 월요일 대응플랜,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,0.8593725527668726,False
CJ 다음주는 또,1,1_cj_ai_cj제일제당_검스,"['cj', 'ai', 'cj제일제당', '검스', '요약', 'lg보다', '검스가', 'cj는', '형님덜', '내가']","['보통아니네 CJ', 'AI 요약 CJ 주 의 현금 현물배당', 'CJ 검스']",cj - ai - cj제일제당 - 검스 - 요약 - lg보다 - 검스가 - cj는 - 형님덜 - 내가,1.0,False
올리브영 상장은,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,0.7885976893781109,False
에헤이,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
지수에 장사없네,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
일본 총리 사과하면 끝난다 이런 테마는,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,0.6218567131849057,False
캄캄한 밤하늘에,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,0.9723862804410585,False
빛이 나네 빛이 나,0,0_올리브영_주가_실적_오늘,"['올리브영', '주가', '실적', '오늘', '월요일', '매출', '내일', '상법개정', '종가', '지주사']","['오늘 보니 지주사 대장이다', 'Cj 상장사 주가 박살내고 올리브영 키우고', '실적 안나오면 주가 밑으로 엄청 떨어진다']",올리브영 - 주가 - 실적 - 오늘 - 월요일 - 매출 - 내일 - 상법개정 - 종가 - 지주사,1.0,False
