Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
얼치기들,0,0_방산주_이제_뭐냐_방산주는,"['방산주', '이제', '뭐냐', '방산주는', '드디어', '만천원', '곡소리', '우크라', '올립니다', '전쟁']","['오늘부터 방산주 랠리가 시작되는 날이다', '우크라 종전선언하면 방산주 끝물임', '트럼프 노벨 평화상 때문에 방산주는 이제 끝이지']",방산주 - 이제 - 뭐냐 - 방산주는 - 드디어 - 만천원 - 곡소리 - 우크라 - 올립니다 - 전쟁,1.0,False
한시,1,1_외인_개관_개관은_건가,"['외인', '개관', '개관은', '건가', '공견', '관련', '국제그룹', '누리호하고', 'ai와', '한화']","['오를때는 AI와 무관', '외인 만천주 순매수', '누리호하고 관련 없는 건가']",외인 - 개관 - 개관은 - 건가 - 공견 - 관련 - 국제그룹 - 누리호하고 - ai와 - 한화,0.9414727734358015,False
외인 사고 개미 팔았다고,0,0_방산주_이제_뭐냐_방산주는,"['방산주', '이제', '뭐냐', '방산주는', '드디어', '만천원', '곡소리', '우크라', '올립니다', '전쟁']","['오늘부터 방산주 랠리가 시작되는 날이다', '우크라 종전선언하면 방산주 끝물임', '트럼프 노벨 평화상 때문에 방산주는 이제 끝이지']",방산주 - 이제 - 뭐냐 - 방산주는 - 드디어 - 만천원 - 곡소리 - 우크라 - 올립니다 - 전쟁,1.0,False
반려주식이 왔어요,0,0_방산주_이제_뭐냐_방산주는,"['방산주', '이제', '뭐냐', '방산주는', '드디어', '만천원', '곡소리', '우크라', '올립니다', '전쟁']","['오늘부터 방산주 랠리가 시작되는 날이다', '우크라 종전선언하면 방산주 끝물임', '트럼프 노벨 평화상 때문에 방산주는 이제 끝이지']",방산주 - 이제 - 뭐냐 - 방산주는 - 드디어 - 만천원 - 곡소리 - 우크라 - 올립니다 - 전쟁,1.0,False
공매도 프로,-1,-1_오늘_한시_mum_kf,"['오늘', '한시', 'mum', 'kf', 'apec때', '고마해라', '공군', '국력', '국방이', '기관들']","['이놈의 주식은 떨어질때는 폭락 오를때는 일이', '어제와 오늘 그리고 미래를 담은 이야기', '오늘 튀르키예에서 방산관련 좋은 소식좀 들려오길']",오늘 - 한시 - mum - kf - apec때 - 고마해라 - 공군 - 국력 - 국방이 - 기관들,0.0,False
개인들만 털린건가요,0,0_방산주_이제_뭐냐_방산주는,"['방산주', '이제', '뭐냐', '방산주는', '드디어', '만천원', '곡소리', '우크라', '올립니다', '전쟁']","['오늘부터 방산주 랠리가 시작되는 날이다', '우크라 종전선언하면 방산주 끝물임', '트럼프 노벨 평화상 때문에 방산주는 이제 끝이지']",방산주 - 이제 - 뭐냐 - 방산주는 - 드디어 - 만천원 - 곡소리 - 우크라 - 올립니다 - 전쟁,1.0,False
상승은 언감생심 꿈도 꾸지 않는게 좋을 겁니다,0,0_방산주_이제_뭐냐_방산주는,"['방산주', '이제', '뭐냐', '방산주는', '드디어', '만천원', '곡소리', '우크라', '올립니다', '전쟁']","['오늘부터 방산주 랠리가 시작되는 날이다', '우크라 종전선언하면 방산주 끝물임', '트럼프 노벨 평화상 때문에 방산주는 이제 끝이지']",방산주 - 이제 - 뭐냐 - 방산주는 - 드디어 - 만천원 - 곡소리 - 우크라 - 올립니다 - 전쟁,0.8022921538809237,False
이건 무슨다리,0,0_방산주_이제_뭐냐_방산주는,"['방산주', '이제', '뭐냐', '방산주는', '드디어', '만천원', '곡소리', '우크라', '올립니다', '전쟁']","['오늘부터 방산주 랠리가 시작되는 날이다', '우크라 종전선언하면 방산주 끝물임', '트럼프 노벨 평화상 때문에 방산주는 이제 끝이지']",방산주 - 이제 - 뭐냐 - 방산주는 - 드디어 - 만천원 - 곡소리 - 우크라 - 올립니다 - 전쟁,0.8720943310432278,False
외인 만천주 순매수,1,1_외인_개관_개관은_건가,"['외인', '개관', '개관은', '건가', '공견', '관련', '국제그룹', '누리호하고', 'ai와', '한화']","['오를때는 AI와 무관', '외인 만천주 순매수', '누리호하고 관련 없는 건가']",외인 - 개관 - 개관은 - 건가 - 공견 - 관련 - 국제그룹 - 누리호하고 - ai와 - 한화,1.0,True
신용들,1,1_외인_개관_개관은_건가,"['외인', '개관', '개관은', '건가', '공견', '관련', '국제그룹', '누리호하고', 'ai와', '한화']","['오를때는 AI와 무관', '외인 만천주 순매수', '누리호하고 관련 없는 건가']",외인 - 개관 - 개관은 - 건가 - 공견 - 관련 - 국제그룹 - 누리호하고 - ai와 - 한화,0.6437300477827712,False
욕나온다,0,0_방산주_이제_뭐냐_방산주는,"['방산주', '이제', '뭐냐', '방산주는', '드디어', '만천원', '곡소리', '우크라', '올립니다', '전쟁']","['오늘부터 방산주 랠리가 시작되는 날이다', '우크라 종전선언하면 방산주 끝물임', '트럼프 노벨 평화상 때문에 방산주는 이제 끝이지']",방산주 - 이제 - 뭐냐 - 방산주는 - 드디어 - 만천원 - 곡소리 - 우크라 - 올립니다 - 전쟁,1.0,False
만원,1,1_외인_개관_개관은_건가,"['외인', '개관', '개관은', '건가', '공견', '관련', '국제그룹', '누리호하고', 'ai와', '한화']","['오를때는 AI와 무관', '외인 만천주 순매수', '누리호하고 관련 없는 건가']",외인 - 개관 - 개관은 - 건가 - 공견 - 관련 - 국제그룹 - 누리호하고 - ai와 - 한화,0.7709474340792443,False
문 닫아라,-1,-1_오늘_한시_mum_kf,"['오늘', '한시', 'mum', 'kf', 'apec때', '고마해라', '공군', '국력', '국방이', '기관들']","['이놈의 주식은 떨어질때는 폭락 오를때는 일이', '어제와 오늘 그리고 미래를 담은 이야기', '오늘 튀르키예에서 방산관련 좋은 소식좀 들려오길']",오늘 - 한시 - mum - kf - apec때 - 고마해라 - 공군 - 국력 - 국방이 - 기관들,0.0,False
