Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
내일작살내겠다는거네,1,1_뭐냐_서정진이_정말_이거,"['뭐냐', '서정진이', '정말', '이거', '삼바', '거짓말로', 'eps를', '간다면', '내일은', '내년에']","['만약 서정진이 내년에 꼴까닥 간다면', '주린이 갸미는 오늘 뭣하러 매수해 호구 되남', '언젠가 한번은 중요한 일봉 타임 때 신한이 나와']",뭐냐 - 서정진이 - 정말 - 이거 - 삼바 - 거짓말로 - eps를 - 간다면 - 내일은 - 내년에,1.0,False
거래원,-1,-1_공매도_셀트리온_삼바가_만원대,"['공매도', '셀트리온', '삼바가', '만원대', '바이오주들', '나스닥', '찍어', '셀트는', '셀트', '감액']","['나스닥 바이오주들 금욜 전종목 상승하고', '아침 넥스트 장에 팔고 본장에 사서 채우고', '엔비디아 vs 일라이리리 삼바 vs 셀트리온']",공매도 - 셀트리온 - 삼바가 - 만원대 - 바이오주들 - 나스닥 - 찍어 - 셀트는 - 셀트 - 감액,0.0,False
나도 한 번 불러보자,1,1_뭐냐_서정진이_정말_이거,"['뭐냐', '서정진이', '정말', '이거', '삼바', '거짓말로', 'eps를', '간다면', '내일은', '내년에']","['만약 서정진이 내년에 꼴까닥 간다면', '주린이 갸미는 오늘 뭣하러 매수해 호구 되남', '언젠가 한번은 중요한 일봉 타임 때 신한이 나와']",뭐냐 - 서정진이 - 정말 - 이거 - 삼바 - 거짓말로 - eps를 - 간다면 - 내일은 - 내년에,0.993126305621687,False
동시호가 억,2,2_에라이_동시호가_도대체_매도,"['에라이', '동시호가', '도대체', '매도', '돌림빵', '보소', '문제일까', '물량', '뭐가', '비만약']","['도대체 뭐가 문제일까', '에라이 이개', '외인들 프로그램 매도 확대']",에라이 - 동시호가 - 도대체 - 매도 - 돌림빵 - 보소 - 문제일까 - 물량 - 뭐가 - 비만약,1.0,False
동시호가 뭐냐,1,1_뭐냐_서정진이_정말_이거,"['뭐냐', '서정진이', '정말', '이거', '삼바', '거짓말로', 'eps를', '간다면', '내일은', '내년에']","['만약 서정진이 내년에 꼴까닥 간다면', '주린이 갸미는 오늘 뭣하러 매수해 호구 되남', '언젠가 한번은 중요한 일봉 타임 때 신한이 나와']",뭐냐 - 서정진이 - 정말 - 이거 - 삼바 - 거짓말로 - eps를 - 간다면 - 내일은 - 내년에,1.0,False
내일은 보러 간다,1,1_뭐냐_서정진이_정말_이거,"['뭐냐', '서정진이', '정말', '이거', '삼바', '거짓말로', 'eps를', '간다면', '내일은', '내년에']","['만약 서정진이 내년에 꼴까닥 간다면', '주린이 갸미는 오늘 뭣하러 매수해 호구 되남', '언젠가 한번은 중요한 일봉 타임 때 신한이 나와']",뭐냐 - 서정진이 - 정말 - 이거 - 삼바 - 거짓말로 - eps를 - 간다면 - 내일은 - 내년에,1.0,False
블록딜 들어왔다,1,1_뭐냐_서정진이_정말_이거,"['뭐냐', '서정진이', '정말', '이거', '삼바', '거짓말로', 'eps를', '간다면', '내일은', '내년에']","['만약 서정진이 내년에 꼴까닥 간다면', '주린이 갸미는 오늘 뭣하러 매수해 호구 되남', '언젠가 한번은 중요한 일봉 타임 때 신한이 나와']",뭐냐 - 서정진이 - 정말 - 이거 - 삼바 - 거짓말로 - eps를 - 간다면 - 내일은 - 내년에,1.0,False
역시 최저가마감 몸통 긴 음봉이라,0,0_삼바_공견들_만원_역시,"['삼바', '공견들', '만원', '역시', '서정진의', '구라는', '시총이', '차라리', '주식', '매수']","['삼바 인적분할 주식 장사에', '모지리들아 삼바 만원 간다', '삼바 사바 삼바 삼바 오세요 서민주식하는게']",삼바 - 공견들 - 만원 - 역시 - 서정진의 - 구라는 - 시총이 - 차라리 - 주식 - 매수,0.9161288262777011,False
셀트리온은,-1,-1_공매도_셀트리온_삼바가_만원대,"['공매도', '셀트리온', '삼바가', '만원대', '바이오주들', '나스닥', '찍어', '셀트는', '셀트', '감액']","['나스닥 바이오주들 금욜 전종목 상승하고', '아침 넥스트 장에 팔고 본장에 사서 채우고', '엔비디아 vs 일라이리리 삼바 vs 셀트리온']",공매도 - 셀트리온 - 삼바가 - 만원대 - 바이오주들 - 나스닥 - 찍어 - 셀트는 - 셀트 - 감액,0.0,False
삼바 형님 돌아오셨다고 또 질질흐르네,1,1_뭐냐_서정진이_정말_이거,"['뭐냐', '서정진이', '정말', '이거', '삼바', '거짓말로', 'eps를', '간다면', '내일은', '내년에']","['만약 서정진이 내년에 꼴까닥 간다면', '주린이 갸미는 오늘 뭣하러 매수해 호구 되남', '언젠가 한번은 중요한 일봉 타임 때 신한이 나와']",뭐냐 - 서정진이 - 정말 - 이거 - 삼바 - 거짓말로 - eps를 - 간다면 - 내일은 - 내년에,1.0,False
