Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
종가 장난질보소,0,0_오늘_차전지_끝났다_이제,"['오늘', '차전지', '끝났다', '이제', '아직도', '배터리', '마지막', '북미', '씨케이솔루션', '신한']","['머니을 준비하라 차전지 분수령 공개', '오늘', '가격 조정은 다 받았아 이제 기간 조정 좀받다']",오늘 - 차전지 - 끝났다 - 이제 - 아직도 - 배터리 - 마지막 - 북미 - 씨케이솔루션 - 신한,0.9485225101138904,False
계좌 녹는다,1,1_공매도_경제_계좌_계획,"['공매도', '경제', '계좌', '계획', '공매도세력들', '공매도잔액확인방법', '공매세력은', '공매들', '뉴욕', '녹는다']","['일 초 혁신 경제 차 계획 발표', '공매세력은 우리보다 정보력 빠르다', '금리 인하 시사 에 뉴욕 증시 들썩 다']",공매도 - 경제 - 계좌 - 계획 - 공매도세력들 - 공매도잔액확인방법 - 공매세력은 - 공매들 - 뉴욕 - 녹는다,1.0,False
피말리고 있다,0,0_오늘_차전지_끝났다_이제,"['오늘', '차전지', '끝났다', '이제', '아직도', '배터리', '마지막', '북미', '씨케이솔루션', '신한']","['머니을 준비하라 차전지 분수령 공개', '오늘', '가격 조정은 다 받았아 이제 기간 조정 좀받다']",오늘 - 차전지 - 끝났다 - 이제 - 아직도 - 배터리 - 마지막 - 북미 - 씨케이솔루션 - 신한,1.0,False
우린 더러워서 빠진다,0,0_오늘_차전지_끝났다_이제,"['오늘', '차전지', '끝났다', '이제', '아직도', '배터리', '마지막', '북미', '씨케이솔루션', '신한']","['머니을 준비하라 차전지 분수령 공개', '오늘', '가격 조정은 다 받았아 이제 기간 조정 좀받다']",오늘 - 차전지 - 끝났다 - 이제 - 아직도 - 배터리 - 마지막 - 북미 - 씨케이솔루션 - 신한,1.0,False
역시 저점갱신의 신,0,0_오늘_차전지_끝났다_이제,"['오늘', '차전지', '끝났다', '이제', '아직도', '배터리', '마지막', '북미', '씨케이솔루션', '신한']","['머니을 준비하라 차전지 분수령 공개', '오늘', '가격 조정은 다 받았아 이제 기간 조정 좀받다']",오늘 - 차전지 - 끝났다 - 이제 - 아직도 - 배터리 - 마지막 - 북미 - 씨케이솔루션 - 신한,0.9231016248153068,False
년반 물려있다가 탈출해서 다행이네,0,0_오늘_차전지_끝났다_이제,"['오늘', '차전지', '끝났다', '이제', '아직도', '배터리', '마지막', '북미', '씨케이솔루션', '신한']","['머니을 준비하라 차전지 분수령 공개', '오늘', '가격 조정은 다 받았아 이제 기간 조정 좀받다']",오늘 - 차전지 - 끝났다 - 이제 - 아직도 - 배터리 - 마지막 - 북미 - 씨케이솔루션 - 신한,0.8974039595694416,False
내일 상승 갭 이상 예상합니다,-1,-1_만원_배터리_lg는_내일,"['만원', '배터리', 'lg는', '내일', '미국', 'go', '상승', '매수', 'ai로', '공급과잉']","['만원 오면 매수', '중국 CATL 에서 월 나트륨 배터리 양산', '미국 내 배터리 생산 능력 년도 이후']",만원 - 배터리 - lg는 - 내일 - 미국 - go - 상승 - 매수 - ai로 - 공급과잉,0.0,False
이번 조정은 단기조정이 아니라 중기 조정,0,0_오늘_차전지_끝났다_이제,"['오늘', '차전지', '끝났다', '이제', '아직도', '배터리', '마지막', '북미', '씨케이솔루션', '신한']","['머니을 준비하라 차전지 분수령 공개', '오늘', '가격 조정은 다 받았아 이제 기간 조정 좀받다']",오늘 - 차전지 - 끝났다 - 이제 - 아직도 - 배터리 - 마지막 - 북미 - 씨케이솔루션 - 신한,0.9954697778614232,False
지난 주에는,0,0_오늘_차전지_끝났다_이제,"['오늘', '차전지', '끝났다', '이제', '아직도', '배터리', '마지막', '북미', '씨케이솔루션', '신한']","['머니을 준비하라 차전지 분수령 공개', '오늘', '가격 조정은 다 받았아 이제 기간 조정 좀받다']",오늘 - 차전지 - 끝났다 - 이제 - 아직도 - 배터리 - 마지막 - 북미 - 씨케이솔루션 - 신한,1.0,False
아직도,0,0_오늘_차전지_끝났다_이제,"['오늘', '차전지', '끝났다', '이제', '아직도', '배터리', '마지막', '북미', '씨케이솔루션', '신한']","['머니을 준비하라 차전지 분수령 공개', '오늘', '가격 조정은 다 받았아 이제 기간 조정 좀받다']",오늘 - 차전지 - 끝났다 - 이제 - 아직도 - 배터리 - 마지막 - 북미 - 씨케이솔루션 - 신한,1.0,False
주님께서 만원 까지 폭락 한다고 말씀하셨습니,0,0_오늘_차전지_끝났다_이제,"['오늘', '차전지', '끝났다', '이제', '아직도', '배터리', '마지막', '북미', '씨케이솔루션', '신한']","['머니을 준비하라 차전지 분수령 공개', '오늘', '가격 조정은 다 받았아 이제 기간 조정 좀받다']",오늘 - 차전지 - 끝났다 - 이제 - 아직도 - 배터리 - 마지막 - 북미 - 씨케이솔루션 - 신한,1.0,False
공매 잡것드라,-1,-1_만원_배터리_lg는_내일,"['만원', '배터리', 'lg는', '내일', '미국', 'go', '상승', '매수', 'ai로', '공급과잉']","['만원 오면 매수', '중국 CATL 에서 월 나트륨 배터리 양산', '미국 내 배터리 생산 능력 년도 이후']",만원 - 배터리 - lg는 - 내일 - 미국 - go - 상승 - 매수 - ai로 - 공급과잉,0.0,False
방산은 우크라 종전으로 끝났다 이제 곧,0,0_오늘_차전지_끝났다_이제,"['오늘', '차전지', '끝났다', '이제', '아직도', '배터리', '마지막', '북미', '씨케이솔루션', '신한']","['머니을 준비하라 차전지 분수령 공개', '오늘', '가격 조정은 다 받았아 이제 기간 조정 좀받다']",오늘 - 차전지 - 끝났다 - 이제 - 아직도 - 배터리 - 마지막 - 북미 - 씨케이솔루션 - 신한,1.0,False
앞으로 내려갈일 뿐,0,0_오늘_차전지_끝났다_이제,"['오늘', '차전지', '끝났다', '이제', '아직도', '배터리', '마지막', '북미', '씨케이솔루션', '신한']","['머니을 준비하라 차전지 분수령 공개', '오늘', '가격 조정은 다 받았아 이제 기간 조정 좀받다']",오늘 - 차전지 - 끝났다 - 이제 - 아직도 - 배터리 - 마지막 - 북미 - 씨케이솔루션 - 신한,0.7882086330322313,False
역시 희대의 사기개잡주답군,0,0_오늘_차전지_끝났다_이제,"['오늘', '차전지', '끝났다', '이제', '아직도', '배터리', '마지막', '북미', '씨케이솔루션', '신한']","['머니을 준비하라 차전지 분수령 공개', '오늘', '가격 조정은 다 받았아 이제 기간 조정 좀받다']",오늘 - 차전지 - 끝났다 - 이제 - 아직도 - 배터리 - 마지막 - 북미 - 씨케이솔루션 - 신한,1.0,False
원이 마지막 희망이다,0,0_오늘_차전지_끝났다_이제,"['오늘', '차전지', '끝났다', '이제', '아직도', '배터리', '마지막', '북미', '씨케이솔루션', '신한']","['머니을 준비하라 차전지 분수령 공개', '오늘', '가격 조정은 다 받았아 이제 기간 조정 좀받다']",오늘 - 차전지 - 끝났다 - 이제 - 아직도 - 배터리 - 마지막 - 북미 - 씨케이솔루션 - 신한,1.0,False
