Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
아아아아,-1,-1_오늘_아이온_결국_공매도,"['오늘', '아이온', '결국', '공매도', '엔씨', '열차', '내일', 'bm', '아재들', '사람이']","['오늘 live방송하고 내일 시초가', '엔씨 단톡방 만들었어요 많은 사람이 함께하고 있어', '결국 pvp 안하면']",오늘 - 아이온 - 결국 - 공매도 - 엔씨 - 열차 - 내일 - bm - 아재들 - 사람이,0.0,False
공매도 잔고만 스읍 스퀴즈 했음 좋겠네,-1,-1_오늘_아이온_결국_공매도,"['오늘', '아이온', '결국', '공매도', '엔씨', '열차', '내일', 'bm', '아재들', '사람이']","['오늘 live방송하고 내일 시초가', '엔씨 단톡방 만들었어요 많은 사람이 함께하고 있어', '결국 pvp 안하면']",오늘 - 아이온 - 결국 - 공매도 - 엔씨 - 열차 - 내일 - bm - 아재들 - 사람이,0.0,False
아이온 미래,-1,-1_오늘_아이온_결국_공매도,"['오늘', '아이온', '결국', '공매도', '엔씨', '열차', '내일', 'bm', '아재들', '사람이']","['오늘 live방송하고 내일 시초가', '엔씨 단톡방 만들었어요 많은 사람이 함께하고 있어', '결국 pvp 안하면']",오늘 - 아이온 - 결국 - 공매도 - 엔씨 - 열차 - 내일 - bm - 아재들 - 사람이,0.0,False
아재들 그만 쉬고싶다 수동조작도 피곤하고,-1,-1_오늘_아이온_결국_공매도,"['오늘', '아이온', '결국', '공매도', '엔씨', '열차', '내일', 'bm', '아재들', '사람이']","['오늘 live방송하고 내일 시초가', '엔씨 단톡방 만들었어요 많은 사람이 함께하고 있어', '결국 pvp 안하면']",오늘 - 아이온 - 결국 - 공매도 - 엔씨 - 열차 - 내일 - bm - 아재들 - 사람이,0.0,False
자제 결체 억 영익 확정,-1,-1_오늘_아이온_결국_공매도,"['오늘', '아이온', '결국', '공매도', '엔씨', '열차', '내일', 'bm', '아재들', '사람이']","['오늘 live방송하고 내일 시초가', '엔씨 단톡방 만들었어요 많은 사람이 함께하고 있어', '결국 pvp 안하면']",오늘 - 아이온 - 결국 - 공매도 - 엔씨 - 열차 - 내일 - bm - 아재들 - 사람이,0.0,False
아이온 출시하면서 자체 결제 제대로 자리잡아놓,-1,-1_오늘_아이온_결국_공매도,"['오늘', '아이온', '결국', '공매도', '엔씨', '열차', '내일', 'bm', '아재들', '사람이']","['오늘 live방송하고 내일 시초가', '엔씨 단톡방 만들었어요 많은 사람이 함께하고 있어', '결국 pvp 안하면']",오늘 - 아이온 - 결국 - 공매도 - 엔씨 - 열차 - 내일 - bm - 아재들 - 사람이,0.0,False
만 열차 출발합니다,-1,-1_오늘_아이온_결국_공매도,"['오늘', '아이온', '결국', '공매도', '엔씨', '열차', '내일', 'bm', '아재들', '사람이']","['오늘 live방송하고 내일 시초가', '엔씨 단톡방 만들었어요 많은 사람이 함께하고 있어', '결국 pvp 안하면']",오늘 - 아이온 - 결국 - 공매도 - 엔씨 - 열차 - 내일 - bm - 아재들 - 사람이,0.0,False
간신히 호흡기 달아놈,-1,-1_오늘_아이온_결국_공매도,"['오늘', '아이온', '결국', '공매도', '엔씨', '열차', '내일', 'bm', '아재들', '사람이']","['오늘 live방송하고 내일 시초가', '엔씨 단톡방 만들었어요 많은 사람이 함께하고 있어', '결국 pvp 안하면']",오늘 - 아이온 - 결국 - 공매도 - 엔씨 - 열차 - 내일 - bm - 아재들 - 사람이,0.0,False
외국인 폭풍매수,0,0_시청자수_실제후기_종목_치열한,"['시청자수', '실제후기', '종목', '치열한', '고생', '가지고', 'al를', '만이면', '과거로의', '그들만의']","['아이온 시청자수 압도적위 치지직 숲', '영포티 그들만의 치열한 싸움', '환율 영향 없는 종목']",시청자수 - 실제후기 - 종목 - 치열한 - 고생 - 가지고 - al를 - 만이면 - 과거로의 - 그들만의,0.7674597198866012,False
아재들 리니지m에 억씩만 현질하세요,-1,-1_오늘_아이온_결국_공매도,"['오늘', '아이온', '결국', '공매도', '엔씨', '열차', '내일', 'bm', '아재들', '사람이']","['오늘 live방송하고 내일 시초가', '엔씨 단톡방 만들었어요 많은 사람이 함께하고 있어', '결국 pvp 안하면']",오늘 - 아이온 - 결국 - 공매도 - 엔씨 - 열차 - 내일 - bm - 아재들 - 사람이,0.0,False
