Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
외인 시방수 꾸르들 왜냥 팔아 째끼는거야,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,1.0,False
HD현대 조억원 규모 초대형 컨테이,1,1_반도체_hd현대중공업_ai_종목임,"['반도체', 'hd현대중공업', 'ai', '종목임', '컨테이', '조선도', '수주', '반도체보다', '반도체주는', '기간']","['개국장 대형주들은 모두 반도체 종목임', '반도체 꺽이면 조선도 꺽인다 반도체를 사수하', '조선도 반도체 종목임 AI 거품주중 하']",반도체 - hd현대중공업 - ai - 종목임 - 컨테이 - 조선도 - 수주 - 반도체보다 - 반도체주는 - 기간,1.0,False
일단 철수가 답이다,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,1.0,False
이미 노출된 재료 당분간 급락 피할 수 없음,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,1.0,False
모터보트 척 수주공시,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,0.9748656324628755,False
조선의 개잡주 현중 변동퍽이 큰 놈,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,1.0,False
조선주 다민폐 끼친다 개잡주가,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,1.0,False
배두대 수주했다며,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,1.0,False
질문,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,1.0,False
한조가 오늘 조가 넘는 수주건을 발표했다,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,1.0,False
하닉 팔고 현중으로,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,1.0,False
한조 조 수주건 현중 억 수주건,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,1.0,True
계약 나온 날도 신한 공매도,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,0.9342567648852966,False
공시 떳다 얘들아,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,1.0,False
AI 요약 에이치디현대중공업 주 이 컨테이,1,1_반도체_hd현대중공업_ai_종목임,"['반도체', 'hd현대중공업', 'ai', '종목임', '컨테이', '조선도', '수주', '반도체보다', '반도체주는', '기간']","['개국장 대형주들은 모두 반도체 종목임', '반도체 꺽이면 조선도 꺽인다 반도체를 사수하', '조선도 반도체 종목임 AI 거품주중 하']",반도체 - hd현대중공업 - ai - 종목임 - 컨테이 - 조선도 - 수주 - 반도체보다 - 반도체주는 - 기간,1.0,False
일선,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,1.0,False
이거 배가 완전히 기우네차 일선 이면,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,1.0,False
현중 조선주 다 망치네,0,0_현중_수주건_매수_공매도,"['현중', '수주건', '매수', '공매도', '역시', '개잡주', '오늘', '잠수함', '조선주는', '하닉']","['현중 어제 폭락', '한조 조 수주건 현중 억 수주건', '개잡주 현중']",현중 - 수주건 - 매수 - 공매도 - 역시 - 개잡주 - 오늘 - 잠수함 - 조선주는 - 하닉,0.8811537301801655,False
