Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
아 수급이 들어와야는데,-1,-1_오늘_무너뜨린_어서_오늘은,"['오늘', '무너뜨린', '어서', '오늘은', '만원', 'ai', '많이', '사법체계', '법무장관', '세대는']","['세대는 이재명 대통령 정치에 분노한다', '사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러나라']",오늘 - 무너뜨린 - 어서 - 오늘은 - 만원 - ai - 많이 - 사법체계 - 법무장관 - 세대는,0.0,False
찍어 눌러서,-1,-1_오늘_무너뜨린_어서_오늘은,"['오늘', '무너뜨린', '어서', '오늘은', '만원', 'ai', '많이', '사법체계', '법무장관', '세대는']","['세대는 이재명 대통령 정치에 분노한다', '사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러나라']",오늘 - 무너뜨린 - 어서 - 오늘은 - 만원 - ai - 많이 - 사법체계 - 법무장관 - 세대는,0.0,False
동시호가 백만주 무엇,-1,-1_오늘_무너뜨린_어서_오늘은,"['오늘', '무너뜨린', '어서', '오늘은', '만원', 'ai', '많이', '사법체계', '법무장관', '세대는']","['세대는 이재명 대통령 정치에 분노한다', '사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러나라']",오늘 - 무너뜨린 - 어서 - 오늘은 - 만원 - ai - 많이 - 사법체계 - 법무장관 - 세대는,0.0,False
배당분리과세 세율,2,2_배당금_배당분리과세_ima_ir,"['배당금', '배당분리과세', 'ima', 'ir', '경신', '경제', 'roe', 'usd', '리뷰', '국개연금']","['배당금', 'USD 환율 연일 최고치 경신', '분기 실적 ir 리뷰 금융업 년차']",배당금 - 배당분리과세 - ima - ir - 경신 - 경제 - roe - usd - 리뷰 - 국개연금,1.0,False
겁주려면 물량좀 싫어줘라,0,0_오늘_오늘도_다음주_우금지,"['오늘', '오늘도', '다음주', '우금지', 'isa', '가두리로', '가스라이팅하는군', '계속버티네', '고만하고', '국룰아니냐']","['운전 어디서 배웠는지 정말 답 안나오네', '신규 주주 모집중인 착한 아이 우금지', '에휴 그래 이정도면 우금지 치곤 잘가네']",오늘 - 오늘도 - 다음주 - 우금지 - isa - 가두리로 - 가스라이팅하는군 - 계속버티네 - 고만하고 - 국룰아니냐,0.8895600075201525,False
USD 환율 연일 최고치 경신,2,2_배당금_배당분리과세_ima_ir,"['배당금', '배당분리과세', 'ima', 'ir', '경신', '경제', 'roe', 'usd', '리뷰', '국개연금']","['배당금', 'USD 환율 연일 최고치 경신', '분기 실적 ir 리뷰 금융업 년차']",배당금 - 배당분리과세 - ima - ir - 경신 - 경제 - roe - usd - 리뷰 - 국개연금,0.9718977916566871,True
대단하네,1,1_될것인가_자가_버텨_위아래,"['될것인가', '자가', '버텨', '위아래', '궁금한게', '가즈아', '가겠죠', '까요', '꼴등', '단타만']","['낼 은 오를 까요 떨어질까요', '기간조정 빡시니까 욕이 많네', '자가 될것인가 자가 될것인가']",될것인가 - 자가 - 버텨 - 위아래 - 궁금한게 - 가즈아 - 가겠죠 - 까요 - 꼴등 - 단타만,0.8655077100483324,False
독자 생존,1,1_될것인가_자가_버텨_위아래,"['될것인가', '자가', '버텨', '위아래', '궁금한게', '가즈아', '가겠죠', '까요', '꼴등', '단타만']","['낼 은 오를 까요 떨어질까요', '기간조정 빡시니까 욕이 많네', '자가 될것인가 자가 될것인가']",될것인가 - 자가 - 버텨 - 위아래 - 궁금한게 - 가즈아 - 가겠죠 - 까요 - 꼴등 - 단타만,0.9903683751467,False
세대는 이재명 대통령 정치에 분노한다,-1,-1_오늘_무너뜨린_어서_오늘은,"['오늘', '무너뜨린', '어서', '오늘은', '만원', 'ai', '많이', '사법체계', '법무장관', '세대는']","['세대는 이재명 대통령 정치에 분노한다', '사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러나라']",오늘 - 무너뜨린 - 어서 - 오늘은 - 만원 - ai - 많이 - 사법체계 - 법무장관 - 세대는,0.0,True
비과세,1,1_될것인가_자가_버텨_위아래,"['될것인가', '자가', '버텨', '위아래', '궁금한게', '가즈아', '가겠죠', '까요', '꼴등', '단타만']","['낼 은 오를 까요 떨어질까요', '기간조정 빡시니까 욕이 많네', '자가 될것인가 자가 될것인가']",될것인가 - 자가 - 버텨 - 위아래 - 궁금한게 - 가즈아 - 가겠죠 - 까요 - 꼴등 - 단타만,1.0,False
다음주 월화 더 조정할려나,0,0_오늘_오늘도_다음주_우금지,"['오늘', '오늘도', '다음주', '우금지', 'isa', '가두리로', '가스라이팅하는군', '계속버티네', '고만하고', '국룰아니냐']","['운전 어디서 배웠는지 정말 답 안나오네', '신규 주주 모집중인 착한 아이 우금지', '에휴 그래 이정도면 우금지 치곤 잘가네']",오늘 - 오늘도 - 다음주 - 우금지 - isa - 가두리로 - 가스라이팅하는군 - 계속버티네 - 고만하고 - 국룰아니냐,0.9139179039756198,False
대차잔고감소,-1,-1_오늘_무너뜨린_어서_오늘은,"['오늘', '무너뜨린', '어서', '오늘은', '만원', 'ai', '많이', '사법체계', '법무장관', '세대는']","['세대는 이재명 대통령 정치에 분노한다', '사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러나라']",오늘 - 무너뜨린 - 어서 - 오늘은 - 만원 - ai - 많이 - 사법체계 - 법무장관 - 세대는,0.0,False
층 입구 입벌렸는데,-1,-1_오늘_무너뜨린_어서_오늘은,"['오늘', '무너뜨린', '어서', '오늘은', '만원', 'ai', '많이', '사법체계', '법무장관', '세대는']","['세대는 이재명 대통령 정치에 분노한다', '사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러나라']",오늘 - 무너뜨린 - 어서 - 오늘은 - 만원 - ai - 많이 - 사법체계 - 법무장관 - 세대는,0.0,False
한 미 관세협상 팩트시트 발표후 우리 경제,2,2_배당금_배당분리과세_ima_ir,"['배당금', '배당분리과세', 'ima', 'ir', '경신', '경제', 'roe', 'usd', '리뷰', '국개연금']","['배당금', 'USD 환율 연일 최고치 경신', '분기 실적 ir 리뷰 금융업 년차']",배당금 - 배당분리과세 - ima - ir - 경신 - 경제 - roe - usd - 리뷰 - 국개연금,0.977183783791403,False
Isa 납입한도 억으로좀 올려줘라,0,0_오늘_오늘도_다음주_우금지,"['오늘', '오늘도', '다음주', '우금지', 'isa', '가두리로', '가스라이팅하는군', '계속버티네', '고만하고', '국룰아니냐']","['운전 어디서 배웠는지 정말 답 안나오네', '신규 주주 모집중인 착한 아이 우금지', '에휴 그래 이정도면 우금지 치곤 잘가네']",오늘 - 오늘도 - 다음주 - 우금지 - isa - 가두리로 - 가스라이팅하는군 - 계속버티네 - 고만하고 - 국룰아니냐,1.0,False
오늘같은 날,-1,-1_오늘_무너뜨린_어서_오늘은,"['오늘', '무너뜨린', '어서', '오늘은', '만원', 'ai', '많이', '사법체계', '법무장관', '세대는']","['세대는 이재명 대통령 정치에 분노한다', '사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러나라']",오늘 - 무너뜨린 - 어서 - 오늘은 - 만원 - ai - 많이 - 사법체계 - 법무장관 - 세대는,0.0,False
층 부터는 개미들이 사재끼니까,-1,-1_오늘_무너뜨린_어서_오늘은,"['오늘', '무너뜨린', '어서', '오늘은', '만원', 'ai', '많이', '사법체계', '법무장관', '세대는']","['세대는 이재명 대통령 정치에 분노한다', '사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러나라']",오늘 - 무너뜨린 - 어서 - 오늘은 - 만원 - ai - 많이 - 사법체계 - 법무장관 - 세대는,0.0,False
진성준이를 빨리 쳐내야함,0,0_오늘_오늘도_다음주_우금지,"['오늘', '오늘도', '다음주', '우금지', 'isa', '가두리로', '가스라이팅하는군', '계속버티네', '고만하고', '국룰아니냐']","['운전 어디서 배웠는지 정말 답 안나오네', '신규 주주 모집중인 착한 아이 우금지', '에휴 그래 이정도면 우금지 치곤 잘가네']",오늘 - 오늘도 - 다음주 - 우금지 - isa - 가두리로 - 가스라이팅하는군 - 계속버티네 - 고만하고 - 국룰아니냐,1.0,False
세제개편안만 다들 기다리고있네,0,0_오늘_오늘도_다음주_우금지,"['오늘', '오늘도', '다음주', '우금지', 'isa', '가두리로', '가스라이팅하는군', '계속버티네', '고만하고', '국룰아니냐']","['운전 어디서 배웠는지 정말 답 안나오네', '신규 주주 모집중인 착한 아이 우금지', '에휴 그래 이정도면 우금지 치곤 잘가네']",오늘 - 오늘도 - 다음주 - 우금지 - isa - 가두리로 - 가스라이팅하는군 - 계속버티네 - 고만하고 - 국룰아니냐,1.0,False
국장 오늘 줄초상 날판이네,0,0_오늘_오늘도_다음주_우금지,"['오늘', '오늘도', '다음주', '우금지', 'isa', '가두리로', '가스라이팅하는군', '계속버티네', '고만하고', '국룰아니냐']","['운전 어디서 배웠는지 정말 답 안나오네', '신규 주주 모집중인 착한 아이 우금지', '에휴 그래 이정도면 우금지 치곤 잘가네']",오늘 - 오늘도 - 다음주 - 우금지 - isa - 가두리로 - 가스라이팅하는군 - 계속버티네 - 고만하고 - 국룰아니냐,1.0,False
AI 요약 우리금융지주 년 제,-1,-1_오늘_무너뜨린_어서_오늘은,"['오늘', '무너뜨린', '어서', '오늘은', '만원', 'ai', '많이', '사법체계', '법무장관', '세대는']","['세대는 이재명 대통령 정치에 분노한다', '사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러나라']",오늘 - 무너뜨린 - 어서 - 오늘은 - 만원 - ai - 많이 - 사법체계 - 법무장관 - 세대는,0.0,False
의도적으로 막판에 금융지주 다 눌럿네,3,3_배당_가장_경제에_감액배당,"['배당', '가장', '경제에', '감액배당', '금융중', '금융지주', '내가오늘', '고수님들', '되는지', '눌럿네']","['고수님들 환율 되면 은행주 어케됨', '주주들은 손해보는데 종업원들은 월급 따박따박 받', '눌러 봤자지 감액배당 무슨 수로 이겨']",배당 - 가장 - 경제에 - 감액배당 - 금융중 - 금융지주 - 내가오늘 - 고수님들 - 되는지 - 눌럿네,0.9874927633305245,False
증권사 ima 진출,2,2_배당금_배당분리과세_ima_ir,"['배당금', '배당분리과세', 'ima', 'ir', '경신', '경제', 'roe', 'usd', '리뷰', '국개연금']","['배당금', 'USD 환율 연일 최고치 경신', '분기 실적 ir 리뷰 금융업 년차']",배당금 - 배당분리과세 - ima - ir - 경신 - 경제 - roe - usd - 리뷰 - 국개연금,1.0,False
국가 백년대계를 다시 짤 새로운 지도자 필요해,-1,-1_오늘_무너뜨린_어서_오늘은,"['오늘', '무너뜨린', '어서', '오늘은', '만원', 'ai', '많이', '사법체계', '법무장관', '세대는']","['세대는 이재명 대통령 정치에 분노한다', '사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러나라']",오늘 - 무너뜨린 - 어서 - 오늘은 - 만원 - ai - 많이 - 사법체계 - 법무장관 - 세대는,0.0,False
자동차 은행만,-1,-1_오늘_무너뜨린_어서_오늘은,"['오늘', '무너뜨린', '어서', '오늘은', '만원', 'ai', '많이', '사법체계', '법무장관', '세대는']","['세대는 이재명 대통령 정치에 분노한다', '사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러나라']",오늘 - 무너뜨린 - 어서 - 오늘은 - 만원 - ai - 많이 - 사법체계 - 법무장관 - 세대는,0.0,False
만원 곧 갑니다,-1,-1_오늘_무너뜨린_어서_오늘은,"['오늘', '무너뜨린', '어서', '오늘은', '만원', 'ai', '많이', '사법체계', '법무장관', '세대는']","['세대는 이재명 대통령 정치에 분노한다', '사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러나라']",오늘 - 무너뜨린 - 어서 - 오늘은 - 만원 - ai - 많이 - 사법체계 - 법무장관 - 세대는,0.0,False
