Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
코웨이 주주들 참 힘들게 하네요,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,1.0,False
물타고 물타고 오늘의 평단,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,1.0,False
미친듯이 던지네,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,1.0,False
주가 조작을 대 놓고 하고 있네,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,1.0,False
방준혁이 벌린다,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,1.0,False
적정가치 원,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,1.0,False
지수 따라 못오르는것도 짜증인데,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,1.0,False
AI 요약 코웨이 해외 컨퍼런스 참석,1,1_실적_분기_요약_ai,"['실적', '분기', '요약', 'ai', '코웨이', '긍정적', '기후변화', '능력', '노란봉투법', '매직']","['AI 요약 코웨이 해외 컨퍼런스 참석', 'AI 요약 코웨이 년 분기 실적이', '장 요약 분기 실적 발표 아이콘']",실적 - 분기 - 요약 - ai - 코웨이 - 긍정적 - 기후변화 - 능력 - 노란봉투법 - 매직,0.6102747414965274,True
매일 좋은 뉴스,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,0.8778170388534428,False
우짜노,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,0.8797538479266606,False
그만 자사주 작전 해라,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,1.0,False
긍정적 사고방식,1,1_실적_분기_요약_ai,"['실적', '분기', '요약', 'ai', '코웨이', '긍정적', '기후변화', '능력', '노란봉투법', '매직']","['AI 요약 코웨이 해외 컨퍼런스 참석', 'AI 요약 코웨이 년 분기 실적이', '장 요약 분기 실적 발표 아이콘']",실적 - 분기 - 요약 - ai - 코웨이 - 긍정적 - 기후변화 - 능력 - 노란봉투법 - 매직,0.6583745599306876,False
방준혁 묻은건 쳐다보지도 마라,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,1.0,False
원까지 내리네,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,0.9731305445599757,False
최근 연기금 매도에서 매수로 완전 전환,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,1.0,False
든든한 주식,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,0.8447874057254556,False
상승이유,-1,-1_가치주인가_같네_개발사업_거래량도,"['가치주인가', '같네', '개발사업', '거래량도', '공매치네', '공매치며', '공유', '과천지구', '근접', '꼴아박고']","['원칙없는 증권거래세 원복 반대 청원', '코웨이 주 의 과천지구 개발사업 참여 소식이 발표', '거래량도 적으면서 초반부터 작정하고 공매치며 밀어']",가치주인가 - 같네 - 개발사업 - 거래량도 - 공매치네 - 공매치며 - 공유 - 과천지구 - 근접 - 꼴아박고,0.0,False
오른거 또 다 반납이네,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,0.9608070425778373,False
유통물량이 너무 없는거 같네,-1,-1_가치주인가_같네_개발사업_거래량도,"['가치주인가', '같네', '개발사업', '거래량도', '공매치네', '공매치며', '공유', '과천지구', '근접', '꼴아박고']","['원칙없는 증권거래세 원복 반대 청원', '코웨이 주 의 과천지구 개발사업 참여 소식이 발표', '거래량도 적으면서 초반부터 작정하고 공매치며 밀어']",가치주인가 - 같네 - 개발사업 - 거래량도 - 공매치네 - 공매치며 - 공유 - 과천지구 - 근접 - 꼴아박고,0.0,False
실적은 괜찮네 그런데 주가는,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,1.0,False
현재 per 이면 적정주가임,0,0_코웨이_자사주_넷마블_방준혁이,"['코웨이', '자사주', '넷마블', '방준혁이', '이건', '분기', 'per', '물타고', '매도', '다시']","['코웨이 분기 순항 국내서 역대 분기 최대', '방준혁이 코웨이 매각 검토', '코웨이 넷마블']",코웨이 - 자사주 - 넷마블 - 방준혁이 - 이건 - 분기 - per - 물타고 - 매도 - 다시,0.8447874057254556,False
배당률 근접,-1,-1_가치주인가_같네_개발사업_거래량도,"['가치주인가', '같네', '개발사업', '거래량도', '공매치네', '공매치며', '공유', '과천지구', '근접', '꼴아박고']","['원칙없는 증권거래세 원복 반대 청원', '코웨이 주 의 과천지구 개발사업 참여 소식이 발표', '거래량도 적으면서 초반부터 작정하고 공매치며 밀어']",가치주인가 - 같네 - 개발사업 - 거래량도 - 공매치네 - 공매치며 - 공유 - 과천지구 - 근접 - 꼴아박고,0.0,False
