Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
아직 공매 남았다,-1,-1_지수_크래프톤_게임주_오늘,"['지수', '크래프톤', '게임주', '오늘', '갈아탈듯', '결과', '개미만', '거래일', '거품을', '무근본']","['지수 오르는날 또 통수때린다', '지수 오를때도 떨어져 내릴땐 폭락해', '지수 올라도 맞고 지수 내려도 맞는다']",지수 - 크래프톤 - 게임주 - 오늘 - 갈아탈듯 - 결과 - 개미만 - 거래일 - 거품을 - 무근본,0.0,False
좋은말 할때 오늘 만원 찍어라,0,0_크래프톤_오늘_만원_진짜,"['크래프톤', '오늘', '만원', '진짜', '주식', '코스피', '다시', '신작', '연기금이', '주가']","['크래프톤 아크 잡을 대박 신작 공개', '오늘 코스피 포인트 이상 폭락이네', '좋은말 할때 오늘 만원 찍어라']",크래프톤 - 오늘 - 만원 - 진짜 - 주식 - 코스피 - 다시 - 신작 - 연기금이 - 주가,1.0,True
이렇게까지 떨어질 이유는 없다,-1,-1_지수_크래프톤_게임주_오늘,"['지수', '크래프톤', '게임주', '오늘', '갈아탈듯', '결과', '개미만', '거래일', '거품을', '무근본']","['지수 오르는날 또 통수때린다', '지수 오를때도 떨어져 내릴땐 폭락해', '지수 올라도 맞고 지수 내려도 맞는다']",지수 - 크래프톤 - 게임주 - 오늘 - 갈아탈듯 - 결과 - 개미만 - 거래일 - 거품을 - 무근본,0.0,False
신작 부재라고 해서 내렸지만,0,0_크래프톤_오늘_만원_진짜,"['크래프톤', '오늘', '만원', '진짜', '주식', '코스피', '다시', '신작', '연기금이', '주가']","['크래프톤 아크 잡을 대박 신작 공개', '오늘 코스피 포인트 이상 폭락이네', '좋은말 할때 오늘 만원 찍어라']",크래프톤 - 오늘 - 만원 - 진짜 - 주식 - 코스피 - 다시 - 신작 - 연기금이 - 주가,1.0,False
게임대장주,0,0_크래프톤_오늘_만원_진짜,"['크래프톤', '오늘', '만원', '진짜', '주식', '코스피', '다시', '신작', '연기금이', '주가']","['크래프톤 아크 잡을 대박 신작 공개', '오늘 코스피 포인트 이상 폭락이네', '좋은말 할때 오늘 만원 찍어라']",크래프톤 - 오늘 - 만원 - 진짜 - 주식 - 코스피 - 다시 - 신작 - 연기금이 - 주가,1.0,False
아크레이더스 대적할 수 있는 개꿀잼 게임 블,0,0_크래프톤_오늘_만원_진짜,"['크래프톤', '오늘', '만원', '진짜', '주식', '코스피', '다시', '신작', '연기금이', '주가']","['크래프톤 아크 잡을 대박 신작 공개', '오늘 코스피 포인트 이상 폭락이네', '좋은말 할때 오늘 만원 찍어라']",크래프톤 - 오늘 - 만원 - 진짜 - 주식 - 코스피 - 다시 - 신작 - 연기금이 - 주가,1.0,False
주주친화적인지 아닌지 하는 기업명단좀 나왔으,0,0_크래프톤_오늘_만원_진짜,"['크래프톤', '오늘', '만원', '진짜', '주식', '코스피', '다시', '신작', '연기금이', '주가']","['크래프톤 아크 잡을 대박 신작 공개', '오늘 코스피 포인트 이상 폭락이네', '좋은말 할때 오늘 만원 찍어라']",크래프톤 - 오늘 - 만원 - 진짜 - 주식 - 코스피 - 다시 - 신작 - 연기금이 - 주가,1.0,False
느낌상,0,0_크래프톤_오늘_만원_진짜,"['크래프톤', '오늘', '만원', '진짜', '주식', '코스피', '다시', '신작', '연기금이', '주가']","['크래프톤 아크 잡을 대박 신작 공개', '오늘 코스피 포인트 이상 폭락이네', '좋은말 할때 오늘 만원 찍어라']",크래프톤 - 오늘 - 만원 - 진짜 - 주식 - 코스피 - 다시 - 신작 - 연기금이 - 주가,1.0,False
크래프톤 버릇 나오네 런각 보는중,0,0_크래프톤_오늘_만원_진짜,"['크래프톤', '오늘', '만원', '진짜', '주식', '코스피', '다시', '신작', '연기금이', '주가']","['크래프톤 아크 잡을 대박 신작 공개', '오늘 코스피 포인트 이상 폭락이네', '좋은말 할때 오늘 만원 찍어라']",크래프톤 - 오늘 - 만원 - 진짜 - 주식 - 코스피 - 다시 - 신작 - 연기금이 - 주가,1.0,False
블랙버짓 테스트일정공개,0,0_크래프톤_오늘_만원_진짜,"['크래프톤', '오늘', '만원', '진짜', '주식', '코스피', '다시', '신작', '연기금이', '주가']","['크래프톤 아크 잡을 대박 신작 공개', '오늘 코스피 포인트 이상 폭락이네', '좋은말 할때 오늘 만원 찍어라']",크래프톤 - 오늘 - 만원 - 진짜 - 주식 - 코스피 - 다시 - 신작 - 연기금이 - 주가,1.0,False
크래프톤 아크 잡을 대박 신작 공개,0,0_크래프톤_오늘_만원_진짜,"['크래프톤', '오늘', '만원', '진짜', '주식', '코스피', '다시', '신작', '연기금이', '주가']","['크래프톤 아크 잡을 대박 신작 공개', '오늘 코스피 포인트 이상 폭락이네', '좋은말 할때 오늘 만원 찍어라']",크래프톤 - 오늘 - 만원 - 진짜 - 주식 - 코스피 - 다시 - 신작 - 연기금이 - 주가,1.0,True
