Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
이선주도 가망 없다,-1,-1_분기_일본_오늘_중국,"['분기', '일본', '오늘', '중국', '에서', '다음은', '가자', '안가고', '상한가', '한국']","['오늘 상한가 가자', '중국 일본 여행 안가고한국으로', '중국도 일본 안가고 일본도 중국 안가고']",분기 - 일본 - 오늘 - 중국 - 에서 - 다음은 - 가자 - 안가고 - 상한가 - 한국,0.0,False
개잡주 다 됐네,-1,-1_분기_일본_오늘_중국,"['분기', '일본', '오늘', '중국', '에서', '다음은', '가자', '안가고', '상한가', '한국']","['오늘 상한가 가자', '중국 일본 여행 안가고한국으로', '중국도 일본 안가고 일본도 중국 안가고']",분기 - 일본 - 오늘 - 중국 - 에서 - 다음은 - 가자 - 안가고 - 상한가 - 한국,0.0,False
상해 플러스다,3,3_갈아타라_그거여_웃기네_끝났나,"['갈아타라', '그거여', '웃기네', '끝났나', '납니다', '눈물이', '담아라', '머먹냐', '뭐여', '미쳤네']","['주워 담아라', '흐름 보니까', '형들 또 존버했네 했어']",갈아타라 - 그거여 - 웃기네 - 끝났나 - 납니다 - 눈물이 - 담아라 - 머먹냐 - 뭐여 - 미쳤네,0.984103346824751,False
물렸어요,1,1_ai_구조조정_야금_연기금,"['ai', '구조조정', '야금', '연기금', '숏커버링', '기술주', '대세는', '거품이', '그렇구나', '기다렸다']","['얘들아 대세는 AI 반도체다', '으따 AI 기술주 거품이', 'AI 생건이다 앞으로 기업명 바꾸자 생건']",ai - 구조조정 - 야금 - 연기금 - 숏커버링 - 기술주 - 대세는 - 거품이 - 그렇구나 - 기다렸다,0.8802144670418556,False
죽을 해석 잘해보지고 답이 있,0,0_선주_이대출신_매도_요즘,"['선주', '이대출신', '매도', '요즘', '아직도', '선주야', '숏커버링', '간당', '건드리지', '고공행진했는데']","['요즘 화장품 회사가 머이리 많냐', '새 대표 선주 실체가 있는 거야', '선주야 시간 얼마 못준다 알아서좀 해라']",선주 - 이대출신 - 매도 - 요즘 - 아직도 - 선주야 - 숏커버링 - 간당 - 건드리지 - 고공행진했는데,0.8419073862271793,False
형이다 아직도 안 판 흑우들 없제,0,0_선주_이대출신_매도_요즘,"['선주', '이대출신', '매도', '요즘', '아직도', '선주야', '숏커버링', '간당', '건드리지', '고공행진했는데']","['요즘 화장품 회사가 머이리 많냐', '새 대표 선주 실체가 있는 거야', '선주야 시간 얼마 못준다 알아서좀 해라']",선주 - 이대출신 - 매도 - 요즘 - 아직도 - 선주야 - 숏커버링 - 간당 - 건드리지 - 고공행진했는데,0.7210639587225629,False
마지막 사나이테스트인가,-1,-1_분기_일본_오늘_중국,"['분기', '일본', '오늘', '중국', '에서', '다음은', '가자', '안가고', '상한가', '한국']","['오늘 상한가 가자', '중국 일본 여행 안가고한국으로', '중국도 일본 안가고 일본도 중국 안가고']",분기 - 일본 - 오늘 - 중국 - 에서 - 다음은 - 가자 - 안가고 - 상한가 - 한국,0.0,False
형이다 에서 팔라했제,-1,-1_분기_일본_오늘_중국,"['분기', '일본', '오늘', '중국', '에서', '다음은', '가자', '안가고', '상한가', '한국']","['오늘 상한가 가자', '중국 일본 여행 안가고한국으로', '중국도 일본 안가고 일본도 중국 안가고']",분기 - 일본 - 오늘 - 중국 - 에서 - 다음은 - 가자 - 안가고 - 상한가 - 한국,0.0,False
정말,1,1_ai_구조조정_야금_연기금,"['ai', '구조조정', '야금', '연기금', '숏커버링', '기술주', '대세는', '거품이', '그렇구나', '기다렸다']","['얘들아 대세는 AI 반도체다', '으따 AI 기술주 거품이', 'AI 생건이다 앞으로 기업명 바꾸자 생건']",ai - 구조조정 - 야금 - 연기금 - 숏커버링 - 기술주 - 대세는 - 거품이 - 그렇구나 - 기다렸다,1.0,False
엉아 억들어 갓다,-1,-1_분기_일본_오늘_중국,"['분기', '일본', '오늘', '중국', '에서', '다음은', '가자', '안가고', '상한가', '한국']","['오늘 상한가 가자', '중국 일본 여행 안가고한국으로', '중국도 일본 안가고 일본도 중국 안가고']",분기 - 일본 - 오늘 - 중국 - 에서 - 다음은 - 가자 - 안가고 - 상한가 - 한국,0.0,False
일단,1,1_ai_구조조정_야금_연기금,"['ai', '구조조정', '야금', '연기금', '숏커버링', '기술주', '대세는', '거품이', '그렇구나', '기다렸다']","['얘들아 대세는 AI 반도체다', '으따 AI 기술주 거품이', 'AI 생건이다 앞으로 기업명 바꾸자 생건']",ai - 구조조정 - 야금 - 연기금 - 숏커버링 - 기술주 - 대세는 - 거품이 - 그렇구나 - 기다렸다,0.7511893814248258,False
참 무능한 회사다,-1,-1_분기_일본_오늘_중국,"['분기', '일본', '오늘', '중국', '에서', '다음은', '가자', '안가고', '상한가', '한국']","['오늘 상한가 가자', '중국 일본 여행 안가고한국으로', '중국도 일본 안가고 일본도 중국 안가고']",분기 - 일본 - 오늘 - 중국 - 에서 - 다음은 - 가자 - 안가고 - 상한가 - 한국,0.0,False
나스닥 조정 들어가기시작하면,0,0_선주_이대출신_매도_요즘,"['선주', '이대출신', '매도', '요즘', '아직도', '선주야', '숏커버링', '간당', '건드리지', '고공행진했는데']","['요즘 화장품 회사가 머이리 많냐', '새 대표 선주 실체가 있는 거야', '선주야 시간 얼마 못준다 알아서좀 해라']",선주 - 이대출신 - 매도 - 요즘 - 아직도 - 선주야 - 숏커버링 - 간당 - 건드리지 - 고공행진했는데,0.9835846322707886,False
