Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
이건 뭔가요 뉴스에 내용이 있는데,-1,-1_내일_디알젬_gtp답변_근태가,"['내일', '디알젬', 'gtp답변', '근태가', 'ray에', '너믄', '남았지', '내가', '내용이', '뉴스에']","['내일', '내일 쩜인줄 알았더니', '이거 내일 볼만하겠네 웃기는군']",내일 - 디알젬 - gtp답변 - 근태가 - ray에 - 너믄 - 남았지 - 내가 - 내용이 - 뉴스에,0.0,False
환율최대수혜주 세계일류상품엑스레이,-1,-1_내일_디알젬_gtp답변_근태가,"['내일', '디알젬', 'gtp답변', '근태가', 'ray에', '너믄', '남았지', '내가', '내용이', '뉴스에']","['내일', '내일 쩜인줄 알았더니', '이거 내일 볼만하겠네 웃기는군']",내일 - 디알젬 - gtp답변 - 근태가 - ray에 - 너믄 - 남았지 - 내가 - 내용이 - 뉴스에,0.0,False
몇번째 자식이 운영하나요,0,0_디알젬_회사_윗꼬리_아직도,"['디알젬', '회사', '윗꼬리', '아직도', '어제', '이런', '정병이를', '나와야', '실적', '메디젬']","['회사 이름만 보면 잡주 같은데 의외로', '지금 글 쓰는 인간들 죄다 어제 그제 들어와서 물린', '디알젬']",디알젬 - 회사 - 윗꼬리 - 아직도 - 어제 - 이런 - 정병이를 - 나와야 - 실적 - 메디젬,0.9017121172564722,False
증여마무리되니 올리네,0,0_디알젬_회사_윗꼬리_아직도,"['디알젬', '회사', '윗꼬리', '아직도', '어제', '이런', '정병이를', '나와야', '실적', '메디젬']","['회사 이름만 보면 잡주 같은데 의외로', '지금 글 쓰는 인간들 죄다 어제 그제 들어와서 물린', '디알젬']",디알젬 - 회사 - 윗꼬리 - 아직도 - 어제 - 이런 - 정병이를 - 나와야 - 실적 - 메디젬,0.9016246497684975,False
실적이 좋아,0,0_디알젬_회사_윗꼬리_아직도,"['디알젬', '회사', '윗꼬리', '아직도', '어제', '이런', '정병이를', '나와야', '실적', '메디젬']","['회사 이름만 보면 잡주 같은데 의외로', '지금 글 쓰는 인간들 죄다 어제 그제 들어와서 물린', '디알젬']",디알젬 - 회사 - 윗꼬리 - 아직도 - 어제 - 이런 - 정병이를 - 나와야 - 실적 - 메디젬,1.0,False
자전거래 아주 괘씸,0,0_디알젬_회사_윗꼬리_아직도,"['디알젬', '회사', '윗꼬리', '아직도', '어제', '이런', '정병이를', '나와야', '실적', '메디젬']","['회사 이름만 보면 잡주 같은데 의외로', '지금 글 쓰는 인간들 죄다 어제 그제 들어와서 물린', '디알젬']",디알젬 - 회사 - 윗꼬리 - 아직도 - 어제 - 이런 - 정병이를 - 나와야 - 실적 - 메디젬,0.9908568592162404,False
시총이 억 잉여금이 억 말이돼,0,0_디알젬_회사_윗꼬리_아직도,"['디알젬', '회사', '윗꼬리', '아직도', '어제', '이런', '정병이를', '나와야', '실적', '메디젬']","['회사 이름만 보면 잡주 같은데 의외로', '지금 글 쓰는 인간들 죄다 어제 그제 들어와서 물린', '디알젬']",디알젬 - 회사 - 윗꼬리 - 아직도 - 어제 - 이런 - 정병이를 - 나와야 - 실적 - 메디젬,0.864821348352762,False
오우 실적 좋네,0,0_디알젬_회사_윗꼬리_아직도,"['디알젬', '회사', '윗꼬리', '아직도', '어제', '이런', '정병이를', '나와야', '실적', '메디젬']","['회사 이름만 보면 잡주 같은데 의외로', '지금 글 쓰는 인간들 죄다 어제 그제 들어와서 물린', '디알젬']",디알젬 - 회사 - 윗꼬리 - 아직도 - 어제 - 이런 - 정병이를 - 나와야 - 실적 - 메디젬,0.9367638476416813,False
K 엑스레이수출주 디알젬 프로 상승시 추가베팅준,0,0_디알젬_회사_윗꼬리_아직도,"['디알젬', '회사', '윗꼬리', '아직도', '어제', '이런', '정병이를', '나와야', '실적', '메디젬']","['회사 이름만 보면 잡주 같은데 의외로', '지금 글 쓰는 인간들 죄다 어제 그제 들어와서 물린', '디알젬']",디알젬 - 회사 - 윗꼬리 - 아직도 - 어제 - 이런 - 정병이를 - 나와야 - 실적 - 메디젬,1.0,False
올해부터실적어닝서프라이즈 텐베거 환율폭등,0,0_디알젬_회사_윗꼬리_아직도,"['디알젬', '회사', '윗꼬리', '아직도', '어제', '이런', '정병이를', '나와야', '실적', '메디젬']","['회사 이름만 보면 잡주 같은데 의외로', '지금 글 쓰는 인간들 죄다 어제 그제 들어와서 물린', '디알젬']",디알젬 - 회사 - 윗꼬리 - 아직도 - 어제 - 이런 - 정병이를 - 나와야 - 실적 - 메디젬,0.864821348352762,False
정병이형의 계획,0,0_디알젬_회사_윗꼬리_아직도,"['디알젬', '회사', '윗꼬리', '아직도', '어제', '이런', '정병이를', '나와야', '실적', '메디젬']","['회사 이름만 보면 잡주 같은데 의외로', '지금 글 쓰는 인간들 죄다 어제 그제 들어와서 물린', '디알젬']",디알젬 - 회사 - 윗꼬리 - 아직도 - 어제 - 이런 - 정병이를 - 나와야 - 실적 - 메디젬,1.0,False
