Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
에 만주 매수 정체가 뭐여,0,0_매수_기은_이재명_자사주,"['매수', '기은', '이재명', '자사주', '오늘', '성태야', '소각', '분리과세', '배당', '새로운']","['이재명 청년들 미래 위해 그만둬야', '배당 분리과세 자사주 소각 중복수혜받는 유일', '자사주 소각 배당 분리과세 중복 수혜 유일한']",매수 - 기은 - 이재명 - 자사주 - 오늘 - 성태야 - 소각 - 분리과세 - 배당 - 새로운,1.0,False
오늘은,0,0_매수_기은_이재명_자사주,"['매수', '기은', '이재명', '자사주', '오늘', '성태야', '소각', '분리과세', '배당', '새로운']","['이재명 청년들 미래 위해 그만둬야', '배당 분리과세 자사주 소각 중복수혜받는 유일', '자사주 소각 배당 분리과세 중복 수혜 유일한']",매수 - 기은 - 이재명 - 자사주 - 오늘 - 성태야 - 소각 - 분리과세 - 배당 - 새로운,1.0,False
성태야 행장 언제 되었노,0,0_매수_기은_이재명_자사주,"['매수', '기은', '이재명', '자사주', '오늘', '성태야', '소각', '분리과세', '배당', '새로운']","['이재명 청년들 미래 위해 그만둬야', '배당 분리과세 자사주 소각 중복수혜받는 유일', '자사주 소각 배당 분리과세 중복 수혜 유일한']",매수 - 기은 - 이재명 - 자사주 - 오늘 - 성태야 - 소각 - 분리과세 - 배당 - 새로운,0.9099706109546992,False
국가 백년대계를 다시 짤 새로운 지도자 필요,0,0_매수_기은_이재명_자사주,"['매수', '기은', '이재명', '자사주', '오늘', '성태야', '소각', '분리과세', '배당', '새로운']","['이재명 청년들 미래 위해 그만둬야', '배당 분리과세 자사주 소각 중복수혜받는 유일', '자사주 소각 배당 분리과세 중복 수혜 유일한']",매수 - 기은 - 이재명 - 자사주 - 오늘 - 성태야 - 소각 - 분리과세 - 배당 - 새로운,0.7253388503456394,False
여기는 변동성이 정말 없네요,0,0_매수_기은_이재명_자사주,"['매수', '기은', '이재명', '자사주', '오늘', '성태야', '소각', '분리과세', '배당', '새로운']","['이재명 청년들 미래 위해 그만둬야', '배당 분리과세 자사주 소각 중복수혜받는 유일', '자사주 소각 배당 분리과세 중복 수혜 유일한']",매수 - 기은 - 이재명 - 자사주 - 오늘 - 성태야 - 소각 - 분리과세 - 배당 - 새로운,1.0,False
미국증시 폭락시 어떻게 된다,-1,-1_세대는_배당_이재명정부_정책에,"['세대는', '배당', '이재명정부', '정책에', '소각', '자사주', '기업은행', '기업아', '년에', '공매']","['월 자사주 소각 배당 분리과세 법안 유일', '세대는 이재명정부 정책에 분노', '세대는 이재명정부 정책에 분노한']",세대는 - 배당 - 이재명정부 - 정책에 - 소각 - 자사주 - 기업은행 - 기업아 - 년에 - 공매,0.0,False
오늘 원키자,0,0_매수_기은_이재명_자사주,"['매수', '기은', '이재명', '자사주', '오늘', '성태야', '소각', '분리과세', '배당', '새로운']","['이재명 청년들 미래 위해 그만둬야', '배당 분리과세 자사주 소각 중복수혜받는 유일', '자사주 소각 배당 분리과세 중복 수혜 유일한']",매수 - 기은 - 이재명 - 자사주 - 오늘 - 성태야 - 소각 - 분리과세 - 배당 - 새로운,1.0,False
애는 왜 내리는거지,0,0_매수_기은_이재명_자사주,"['매수', '기은', '이재명', '자사주', '오늘', '성태야', '소각', '분리과세', '배당', '새로운']","['이재명 청년들 미래 위해 그만둬야', '배당 분리과세 자사주 소각 중복수혜받는 유일', '자사주 소각 배당 분리과세 중복 수혜 유일한']",매수 - 기은 - 이재명 - 자사주 - 오늘 - 성태야 - 소각 - 분리과세 - 배당 - 새로운,1.0,False
여기는,0,0_매수_기은_이재명_자사주,"['매수', '기은', '이재명', '자사주', '오늘', '성태야', '소각', '분리과세', '배당', '새로운']","['이재명 청년들 미래 위해 그만둬야', '배당 분리과세 자사주 소각 중복수혜받는 유일', '자사주 소각 배당 분리과세 중복 수혜 유일한']",매수 - 기은 - 이재명 - 자사주 - 오늘 - 성태야 - 소각 - 분리과세 - 배당 - 새로운,1.0,False
오늘같은 불장에,0,0_매수_기은_이재명_자사주,"['매수', '기은', '이재명', '자사주', '오늘', '성태야', '소각', '분리과세', '배당', '새로운']","['이재명 청년들 미래 위해 그만둬야', '배당 분리과세 자사주 소각 중복수혜받는 유일', '자사주 소각 배당 분리과세 중복 수혜 유일한']",매수 - 기은 - 이재명 - 자사주 - 오늘 - 성태야 - 소각 - 분리과세 - 배당 - 새로운,0.9355000095036462,False
