종목명,전체댓글수,긍정수,부정수,긍정비율(%),부정비율(%),감성스코어
대한항공,1,1,0,100.0,0.0,100.0
KB금융,192,155,37,80.73,19.27,61.46
두산,195,155,40,79.49,20.51,58.98
JB금융지주,170,133,37,78.24,21.76,56.48
두산밥캣,195,152,43,77.95,22.05,55.9
신한지주,189,145,44,76.72,23.28,53.44
LG디스플레이,182,139,43,76.37,23.63,52.74
크래프톤,193,147,46,76.17,23.83,52.34
LIG넥스원,192,144,48,75.0,25.0,50.0
HD현대중공업,194,144,50,74.23,25.77,48.46
LG전자,187,136,51,72.73,27.27,45.46
한국금융지주,189,137,52,72.49,27.51,44.98
하나금융지주,198,143,55,72.22,27.78,44.44
삼성SDI,184,132,52,71.74,28.26,43.48
한화솔루션,194,139,55,71.65,28.35,43.3
LS,189,135,54,71.43,28.57,42.86
삼성바이오로직스,186,132,54,70.97,29.03,41.94
SK,195,138,57,70.77,29.23,41.54
우리금융지주,194,137,57,70.62,29.38,41.24
오리온,179,126,53,70.39,29.61,40.78
SK텔레콤,194,136,58,70.1,29.9,40.2
한국항공우주,193,135,58,69.95,30.05,39.9
하이브,193,134,59,69.43,30.57,38.86
LG,191,132,59,69.11,30.89,38.22
한진칼,195,134,61,68.72,31.28,37.44
삼성증권,188,129,59,68.62,31.38,37.24
엔씨소프트,197,135,62,68.53,31.47,37.06
KT&G,187,127,60,67.91,32.09,35.82
삼성화재,167,113,54,67.66,32.34,35.32
삼성전자,193,130,63,67.36,32.64,34.72
LG에너지솔루션,186,125,61,67.2,32.8,34.4
셀트리온,192,128,64,66.67,33.33,33.34
SK하이닉스,194,129,65,66.49,33.51,32.98
HMM,188,125,63,66.49,33.51,32.98
한화오션,185,122,63,65.95,34.05,31.9
아모레퍼시픽,189,124,65,65.61,34.39,31.22
현대로템,194,127,67,65.46,34.54,30.92
CJ,187,122,65,65.24,34.76,30.48
삼성카드,181,118,63,65.19,34.81,30.38
현대차,192,125,67,65.1,34.9,30.2
GS,192,125,67,65.1,34.9,30.2
삼성에스디에스,194,126,68,64.95,35.05,29.9
LG생활건강,195,126,69,64.62,35.38,29.24
기업은행,189,122,67,64.55,35.45,29.1
넷마블,194,125,69,64.43,35.57,28.86
엘앤에프,191,123,68,64.4,35.6,28.8
두산에너빌리티,185,119,66,64.32,35.68,28.64
현대글로비스,190,122,68,64.21,35.79,28.42
DB손해보험,184,118,66,64.13,35.87,28.26
한국전력,192,123,69,64.06,35.94,28.12
HD현대일렉트릭,180,115,65,63.89,36.11,27.78
한미약품,185,118,67,63.78,36.22,27.56
삼성E&A,193,123,70,63.73,36.27,27.46
HD한국조선해양,181,115,66,63.54,36.46,27.08
메리츠금융지주,164,104,60,63.41,36.59,26.82
SK바이오팜,194,123,71,63.4,36.6,26.8
LG유플러스,175,110,65,62.86,37.14,25.72
KT,155,96,59,61.94,38.06,23.88
미래에셋증권,186,115,71,61.83,38.17,23.66
고려아연,191,118,73,61.78,38.22,23.56
포스코인터내셔널,169,104,65,61.54,38.46,23.08
NAVER,192,118,74,61.46,38.54,22.92
한국타이어앤테크놀로지,184,113,71,61.41,38.59,22.82
현대건설,188,115,73,61.17,38.83,22.34
삼성중공업,188,115,73,61.17,38.83,22.34
삼성전기,172,104,68,60.47,39.53,20.94
삼양식품,186,112,74,60.22,39.78,20.44
카카오뱅크,188,113,75,60.11,39.89,20.22
한화에어로스페이스,190,114,76,60.0,40.0,20.0
카카오,192,115,77,59.9,40.1,19.8
삼성생명,182,109,73,59.89,40.11,19.78
LS ELECTRIC,193,115,78,59.59,40.41,19.18
효성중공업,183,109,74,59.56,40.44,19.12
키움증권,180,106,74,58.89,41.11,17.78
POSCO홀딩스,189,110,79,58.2,41.8,16.4
S-Oil,193,112,81,58.03,41.97,16.06
대한전선,187,108,79,57.75,42.25,15.5
NH투자증권,178,102,76,57.3,42.7,14.6
기아,187,107,80,57.22,42.78,14.44
포스코퓨처엠,182,104,78,57.14,42.86,14.28
카카오페이,190,108,82,56.84,43.16,13.68
유한양행,188,106,82,56.38,43.62,12.76
코웨이,177,99,78,55.93,44.07,11.86
LG화학,187,104,83,55.61,44.39,11.22
한화시스템,187,103,84,55.08,44.92,10.16
삼성물산,188,102,86,54.26,45.74,8.52
HD현대미포,171,92,79,53.8,46.2,7.6
SK바이오사이언스,179,96,83,53.63,46.37,7.26
한화,185,99,86,53.51,46.49,7.02
LG이노텍,189,99,90,52.38,47.62,4.76
에이피알,150,78,72,52.0,48.0,4.0
현대모비스,175,91,84,52.0,48.0,4.0
한미반도체,155,77,78,49.68,50.32,-0.64
SKC,171,83,88,48.54,51.46,-2.92
HD현대마린솔루션,188,89,99,47.34,52.66,-5.32
