Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
오늘같은날 빨간불 마무리 대단합니다,0,0_오늘_나스닥_있으니_찬티들,"['오늘', '나스닥', '있으니', '찬티들', '추미애', '이거', '개미', '아침에', '매수', '간게']","['오늘밤 다우 나스닥 이상 폭등 예상', '찬티들 공매 알바 있으니 조심', '윗꼬리 개미 입성 이거 아 골로 가는 공식']",오늘 - 나스닥 - 있으니 - 찬티들 - 추미애 - 이거 - 개미 - 아침에 - 매수 - 간게,0.9071768586343375,False
비만주에 관심가지면서,0,0_오늘_나스닥_있으니_찬티들,"['오늘', '나스닥', '있으니', '찬티들', '추미애', '이거', '개미', '아침에', '매수', '간게']","['오늘밤 다우 나스닥 이상 폭등 예상', '찬티들 공매 알바 있으니 조심', '윗꼬리 개미 입성 이거 아 골로 가는 공식']",오늘 - 나스닥 - 있으니 - 찬티들 - 추미애 - 이거 - 개미 - 아침에 - 매수 - 간게,0.9382844531562272,False
아침에 매집 흔적 아닐까,0,0_오늘_나스닥_있으니_찬티들,"['오늘', '나스닥', '있으니', '찬티들', '추미애', '이거', '개미', '아침에', '매수', '간게']","['오늘밤 다우 나스닥 이상 폭등 예상', '찬티들 공매 알바 있으니 조심', '윗꼬리 개미 입성 이거 아 골로 가는 공식']",오늘 - 나스닥 - 있으니 - 찬티들 - 추미애 - 이거 - 개미 - 아침에 - 매수 - 간게,0.9688291769235496,False
삼성에피스 키 재기하자,0,0_오늘_나스닥_있으니_찬티들,"['오늘', '나스닥', '있으니', '찬티들', '추미애', '이거', '개미', '아침에', '매수', '간게']","['오늘밤 다우 나스닥 이상 폭등 예상', '찬티들 공매 알바 있으니 조심', '윗꼬리 개미 입성 이거 아 골로 가는 공식']",오늘 - 나스닥 - 있으니 - 찬티들 - 추미애 - 이거 - 개미 - 아침에 - 매수 - 간게,0.8918671777645855,False
오랫만에 보는,1,1_매수_기관_외국인_고려,"['매수', '기관', '외국인', '고려', '꺾이지', '고민된다', '고점대비', '기회', '대웅제약', '대기중']","['중요한 것은 꺾이지 않는 마음', '외국인 매수', '외국인 기관 매수']",매수 - 기관 - 외국인 - 고려 - 꺾이지 - 고민된다 - 고점대비 - 기회 - 대웅제약 - 대기중,0.761953511424904,False
아침에 폭등하는거 보니까,0,0_오늘_나스닥_있으니_찬티들,"['오늘', '나스닥', '있으니', '찬티들', '추미애', '이거', '개미', '아침에', '매수', '간게']","['오늘밤 다우 나스닥 이상 폭등 예상', '찬티들 공매 알바 있으니 조심', '윗꼬리 개미 입성 이거 아 골로 가는 공식']",오늘 - 나스닥 - 있으니 - 찬티들 - 추미애 - 이거 - 개미 - 아침에 - 매수 - 간게,0.9611416710573396,False
한미는,1,1_매수_기관_외국인_고려,"['매수', '기관', '외국인', '고려', '꺾이지', '고민된다', '고점대비', '기회', '대웅제약', '대기중']","['중요한 것은 꺾이지 않는 마음', '외국인 매수', '외국인 기관 매수']",매수 - 기관 - 외국인 - 고려 - 꺾이지 - 고민된다 - 고점대비 - 기회 - 대웅제약 - 대기중,1.0,False
찬티들 적당히 하자,0,0_오늘_나스닥_있으니_찬티들,"['오늘', '나스닥', '있으니', '찬티들', '추미애', '이거', '개미', '아침에', '매수', '간게']","['오늘밤 다우 나스닥 이상 폭등 예상', '찬티들 공매 알바 있으니 조심', '윗꼬리 개미 입성 이거 아 골로 가는 공식']",오늘 - 나스닥 - 있으니 - 찬티들 - 추미애 - 이거 - 개미 - 아침에 - 매수 - 간게,1.0,False
년 월,1,1_매수_기관_외국인_고려,"['매수', '기관', '외국인', '고려', '꺾이지', '고민된다', '고점대비', '기회', '대웅제약', '대기중']","['중요한 것은 꺾이지 않는 마음', '외국인 매수', '외국인 기관 매수']",매수 - 기관 - 외국인 - 고려 - 꺾이지 - 고민된다 - 고점대비 - 기회 - 대웅제약 - 대기중,1.0,False
급등 종목 아니니,-1,-1_바이오_한미약품_top_만원,"['바이오', '한미약품', 'top', '만원', '제약', '오늘', 'pick', '월요일', '폭락', 'mash']","['NH투자증권 제약 바이오 Top Pic', '대신증권 제약 바이오 Top Pick', '하나증권 제약 바이오 Top Pick']",바이오 - 한미약품 - top - 만원 - 제약 - 오늘 - pick - 월요일 - 폭락 - mash,0.0,False
