Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
물타고 물타고 오늘의 평단,0,0_삼생_오늘_주식_배당이나,"['삼생', '오늘', '주식', '배당이나', '많이', '매각', '삼전', '이거', '지분', '코스피']","['이거 너무하넹 삼전 쬐끔만 팔아도', '장 요약 지분 매각 특별', '제안 매년 조씩 삼성전자 지분 매각 으로']",삼생 - 오늘 - 주식 - 배당이나 - 많이 - 매각 - 삼전 - 이거 - 지분 - 코스피,1.0,False
의심을 안 할 수 없어,0,0_삼생_오늘_주식_배당이나,"['삼생', '오늘', '주식', '배당이나', '많이', '매각', '삼전', '이거', '지분', '코스피']","['이거 너무하넹 삼전 쬐끔만 팔아도', '장 요약 지분 매각 특별', '제안 매년 조씩 삼성전자 지분 매각 으로']",삼생 - 오늘 - 주식 - 배당이나 - 많이 - 매각 - 삼전 - 이거 - 지분 - 코스피,0.9548622591565469,False
어지간히 내리 꽂아라,0,0_삼생_오늘_주식_배당이나,"['삼생', '오늘', '주식', '배당이나', '많이', '매각', '삼전', '이거', '지분', '코스피']","['이거 너무하넹 삼전 쬐끔만 팔아도', '장 요약 지분 매각 특별', '제안 매년 조씩 삼성전자 지분 매각 으로']",삼생 - 오늘 - 주식 - 배당이나 - 많이 - 매각 - 삼전 - 이거 - 지분 - 코스피,1.0,False
올려줄 생각이없는듯,0,0_삼생_오늘_주식_배당이나,"['삼생', '오늘', '주식', '배당이나', '많이', '매각', '삼전', '이거', '지분', '코스피']","['이거 너무하넹 삼전 쬐끔만 팔아도', '장 요약 지분 매각 특별', '제안 매년 조씩 삼성전자 지분 매각 으로']",삼생 - 오늘 - 주식 - 배당이나 - 많이 - 매각 - 삼전 - 이거 - 지분 - 코스피,1.0,False
한고비 또 넘긴 삼생,0,0_삼생_오늘_주식_배당이나,"['삼생', '오늘', '주식', '배당이나', '많이', '매각', '삼전', '이거', '지분', '코스피']","['이거 너무하넹 삼전 쬐끔만 팔아도', '장 요약 지분 매각 특별', '제안 매년 조씩 삼성전자 지분 매각 으로']",삼생 - 오늘 - 주식 - 배당이나 - 많이 - 매각 - 삼전 - 이거 - 지분 - 코스피,1.0,False
세상과 주식을 이해하려 하지 마라 그,0,0_삼생_오늘_주식_배당이나,"['삼생', '오늘', '주식', '배당이나', '많이', '매각', '삼전', '이거', '지분', '코스피']","['이거 너무하넹 삼전 쬐끔만 팔아도', '장 요약 지분 매각 특별', '제안 매년 조씩 삼성전자 지분 매각 으로']",삼생 - 오늘 - 주식 - 배당이나 - 많이 - 매각 - 삼전 - 이거 - 지분 - 코스피,1.0,False
삼성 외삼촌 회사 PBR 이렇께,1,1_삼성생명_삼성_삼성의_주가,"['삼성생명', '삼성', '삼성의', '주가', '요약', 'ai', '금융지주', '년말', '뉘스', 'pbr']","['삼성생명 웃기네', '삼성생명 좀 드가보자', '삼성생명']",삼성생명 - 삼성 - 삼성의 - 주가 - 요약 - ai - 금융지주 - 년말 - 뉘스 - pbr,0.7950557161559255,False
삼생은 어디로 가고 있나,0,0_삼생_오늘_주식_배당이나,"['삼생', '오늘', '주식', '배당이나', '많이', '매각', '삼전', '이거', '지분', '코스피']","['이거 너무하넹 삼전 쬐끔만 팔아도', '장 요약 지분 매각 특별', '제안 매년 조씩 삼성전자 지분 매각 으로']",삼생 - 오늘 - 주식 - 배당이나 - 많이 - 매각 - 삼전 - 이거 - 지분 - 코스피,1.0,False
몇가지만,0,0_삼생_오늘_주식_배당이나,"['삼생', '오늘', '주식', '배당이나', '많이', '매각', '삼전', '이거', '지분', '코스피']","['이거 너무하넹 삼전 쬐끔만 팔아도', '장 요약 지분 매각 특별', '제안 매년 조씩 삼성전자 지분 매각 으로']",삼생 - 오늘 - 주식 - 배당이나 - 많이 - 매각 - 삼전 - 이거 - 지분 - 코스피,1.0,False
불장 때도 내리고,0,0_삼생_오늘_주식_배당이나,"['삼생', '오늘', '주식', '배당이나', '많이', '매각', '삼전', '이거', '지분', '코스피']","['이거 너무하넹 삼전 쬐끔만 팔아도', '장 요약 지분 매각 특별', '제안 매년 조씩 삼성전자 지분 매각 으로']",삼생 - 오늘 - 주식 - 배당이나 - 많이 - 매각 - 삼전 - 이거 - 지분 - 코스피,0.9961132050800707,False
