Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
막판설사 큰거쌌다,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.7475868091002907,False
미친 진짜,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
외국인 순매도 몫은 항상 기아다,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.6997973437327005,False
조바심 갖지말고,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.7520708327576713,False
정씨,1,1_기아_오르는데_정의선_진짜,"['기아', '오르는데', '정의선', '진짜', '기아차', 'make', 'china', 'ai', 'ir', '맞죠']","['잘한다 진짜 현대는 몇천원이 오르는데', 'AI 요약 기아 해외지역 방문 IR N', '기아']",기아 - 오르는데 - 정의선 - 진짜 - 기아차 - make - china - ai - ir - 맞죠,1.0,False
실적 안 좋아서 개박살나네,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.7851427572083688,False
내일종가,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
만으로 가는건가,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.819645744965699,False
으악,1,1_기아_오르는데_정의선_진짜,"['기아', '오르는데', '정의선', '진짜', '기아차', 'make', 'china', 'ai', 'ir', '맞죠']","['잘한다 진짜 현대는 몇천원이 오르는데', 'AI 요약 기아 해외지역 방문 IR N', '기아']",기아 - 오르는데 - 정의선 - 진짜 - 기아차 - make - china - ai - ir - 맞죠,1.0,False
낼 프로그램 매도 하락,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
이곳은 뭐하는 곳일까,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
해도해도 도가 지나치네,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.8418795218505541,False
대머리 주가조작의혹 수사해라,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.9890366307440742,False
최근 일주일 공매도 비중이,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.6860346984721944,False
스위스도적늄 UBS악마 강도늄 매도,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
외인 기관 다팔고 도망가고 있다,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
살 려 주 세 요,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
기아차는 무슨,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
희망있다고 봄,1,1_기아_오르는데_정의선_진짜,"['기아', '오르는데', '정의선', '진짜', '기아차', 'make', 'china', 'ai', 'ir', '맞죠']","['잘한다 진짜 현대는 몇천원이 오르는데', 'AI 요약 기아 해외지역 방문 IR N', '기아']",기아 - 오르는데 - 정의선 - 진짜 - 기아차 - make - china - ai - ir - 맞죠,1.0,False
그동안 기아로 돈벌었는데 너무나 내겐 편,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,1.0,False
으이그,1,1_기아_오르는데_정의선_진짜,"['기아', '오르는데', '정의선', '진짜', '기아차', 'make', 'china', 'ai', 'ir', '맞죠']","['잘한다 진짜 현대는 몇천원이 오르는데', 'AI 요약 기아 해외지역 방문 IR N', '기아']",기아 - 오르는데 - 정의선 - 진짜 - 기아차 - make - china - ai - ir - 맞죠,0.9895317998231934,False
내가 다시는 현대기아 주식을 사나봐라,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.9616562161027948,False
차 안사고,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
지수만 처오르면 이모양이네,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
이거 절대사지말고 하닉으로 복구,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.8203829576814378,False
오늘,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,True
그놈의 슝계슝계슝계,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.7251392217205418,False
위아 만도 프로씩이나 오르는데,1,1_기아_오르는데_정의선_진짜,"['기아', '오르는데', '정의선', '진짜', '기아차', 'make', 'china', 'ai', 'ir', '맞죠']","['잘한다 진짜 현대는 몇천원이 오르는데', 'AI 요약 기아 해외지역 방문 IR N', '기아']",기아 - 오르는데 - 정의선 - 진짜 - 기아차 - make - china - ai - ir - 맞죠,0.9072167833971788,False
첫째 정의선문제,1,1_기아_오르는데_정의선_진짜,"['기아', '오르는데', '정의선', '진짜', '기아차', 'make', 'china', 'ai', 'ir', '맞죠']","['잘한다 진짜 현대는 몇천원이 오르는데', 'AI 요약 기아 해외지역 방문 IR N', '기아']",기아 - 오르는데 - 정의선 - 진짜 - 기아차 - make - china - ai - ir - 맞죠,0.9410797985911922,False
이 개잡이는 왜이러는거,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.7454668805725644,False
오늘같은 날도 처빠지네,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.9502441410887675,False
프리장에 또 올리는 척,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.9692307979574434,False
또 반도체만 올리네,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
기아매도 외인악마강도늄들 마리 찐늄들,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
기아 리포트,1,1_기아_오르는데_정의선_진짜,"['기아', '오르는데', '정의선', '진짜', '기아차', 'make', 'china', 'ai', 'ir', '맞죠']","['잘한다 진짜 현대는 몇천원이 오르는데', 'AI 요약 기아 해외지역 방문 IR N', '기아']",기아 - 오르는데 - 정의선 - 진짜 - 기아차 - make - china - ai - ir - 맞죠,1.0,False
올해 배당 원,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.8494844499697622,False
새로운 리서치가 있어요,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
무슨 주 가지고 누르냐,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.7358403168566943,False
에혀,1,1_기아_오르는데_정의선_진짜,"['기아', '오르는데', '정의선', '진짜', '기아차', 'make', 'china', 'ai', 'ir', '맞죠']","['잘한다 진짜 현대는 몇천원이 오르는데', 'AI 요약 기아 해외지역 방문 IR N', '기아']",기아 - 오르는데 - 정의선 - 진짜 - 기아차 - make - china - ai - ir - 맞죠,1.0,False
현대그룹 정의선 이가문제다,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
아이고 저꼴좀봐라,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.7298465732408627,False
오늘 가나요,-1,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']",오늘 - 자동차 - 기아 - 기아차 - 매도 - 그만하고 - 진짜 - 강도늄 - 갑자기 - 가자,0.0,False
내년 월 월까지 들고있으면 배당나,0,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']",지금 - 다시 - 날도 - 오늘같은 - 수사 - 하닉으로 - 오면 - 보합딱 - 어제 - 내가,0.9287679525485149,False
세대는 이재명 대통령 정치에,1,1_기아_오르는데_정의선_진짜,"['기아', '오르는데', '정의선', '진짜', '기아차', 'make', 'china', 'ai', 'ir', '맞죠']","['잘한다 진짜 현대는 몇천원이 오르는데', 'AI 요약 기아 해외지역 방문 IR N', '기아']",기아 - 오르는데 - 정의선 - 진짜 - 기아차 - make - china - ai - ir - 맞죠,0.9356576931784201,False
투자자보호를 위한 첫걸음을 시작했습니,1,1_기아_오르는데_정의선_진짜,"['기아', '오르는데', '정의선', '진짜', '기아차', 'make', 'china', 'ai', 'ir', '맞죠']","['잘한다 진짜 현대는 몇천원이 오르는데', 'AI 요약 기아 해외지역 방문 IR N', '기아']",기아 - 오르는데 - 정의선 - 진짜 - 기아차 - make - china - ai - ir - 맞죠,1.0,False
