Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
피지컬 AI 시대가 다가오는데 그 눈을 만드,-1,-1_옵트론텍_기술_환기_주식,"['옵트론텍', '기술', '환기', '주식', '임지윤', '환기종목', '시디즈', '양산', '개발', '자율주행']","['옵트론텍 저평가 속 프리즘 양산 모멘텀', '임지윤 옵트론텍 관련', '옵트론텍']",옵트론텍 - 기술 - 환기 - 주식 - 임지윤 - 환기종목 - 시디즈 - 양산 - 개발 - 자율주행,0.0,False
추억의 옵트론텍,-1,-1_옵트론텍_기술_환기_주식,"['옵트론텍', '기술', '환기', '주식', '임지윤', '환기종목', '시디즈', '양산', '개발', '자율주행']","['옵트론텍 저평가 속 프리즘 양산 모멘텀', '임지윤 옵트론텍 관련', '옵트론텍']",옵트론텍 - 기술 - 환기 - 주식 - 임지윤 - 환기종목 - 시디즈 - 양산 - 개발 - 자율주행,0.0,False
장난하지마라,1,1_살려줘요_본전_없애고_절대,"['살려줘요', '본전', '없애고', '절대', '주식이', '환짜나', '이런', '오늘', '검찰조사하고', '개발했다고']","['환짜나 없애고 적전해라', '무슨 주식이 리플이여 천단위를 벗어나지 못하네', '불장에 혹시나 하고 잠깐 기대 해본 내가 밉다']",살려줘요 - 본전 - 없애고 - 절대 - 주식이 - 환짜나 - 이런 - 오늘 - 검찰조사하고 - 개발했다고,1.0,False
이상 상승했어요,0,0_이상_gae_같이_간만에,"['이상', 'gae', '같이', '간만에', '계속', '구십프로', '구주주', '개잡주인줄', '푸르구나', '그래디언트']","['누군가 계속 매수하네', '이상 상승했어요', '이상 하락했어요']",이상 - gae - 같이 - 간만에 - 계속 - 구십프로 - 구주주 - 개잡주인줄 - 푸르구나 - 그래디언트,1.0,True
불법공매도 검찰조사하고,1,1_살려줘요_본전_없애고_절대,"['살려줘요', '본전', '없애고', '절대', '주식이', '환짜나', '이런', '오늘', '검찰조사하고', '개발했다고']","['환짜나 없애고 적전해라', '무슨 주식이 리플이여 천단위를 벗어나지 못하네', '불장에 혹시나 하고 잠깐 기대 해본 내가 밉다']",살려줘요 - 본전 - 없애고 - 절대 - 주식이 - 환짜나 - 이런 - 오늘 - 검찰조사하고 - 개발했다고,0.7991118137732569,False
테슬라 수혜주 아니냐,1,1_살려줘요_본전_없애고_절대,"['살려줘요', '본전', '없애고', '절대', '주식이', '환짜나', '이런', '오늘', '검찰조사하고', '개발했다고']","['환짜나 없애고 적전해라', '무슨 주식이 리플이여 천단위를 벗어나지 못하네', '불장에 혹시나 하고 잠깐 기대 해본 내가 밉다']",살려줘요 - 본전 - 없애고 - 절대 - 주식이 - 환짜나 - 이런 - 오늘 - 검찰조사하고 - 개발했다고,1.0,False
옵트론텍 분기 누적 매출액 억원,-1,-1_옵트론텍_기술_환기_주식,"['옵트론텍', '기술', '환기', '주식', '임지윤', '환기종목', '시디즈', '양산', '개발', '자율주행']","['옵트론텍 저평가 속 프리즘 양산 모멘텀', '임지윤 옵트론텍 관련', '옵트론텍']",옵트론텍 - 기술 - 환기 - 주식 - 임지윤 - 환기종목 - 시디즈 - 양산 - 개발 - 자율주행,0.0,False
없어질지 모르는종목은,1,1_살려줘요_본전_없애고_절대,"['살려줘요', '본전', '없애고', '절대', '주식이', '환짜나', '이런', '오늘', '검찰조사하고', '개발했다고']","['환짜나 없애고 적전해라', '무슨 주식이 리플이여 천단위를 벗어나지 못하네', '불장에 혹시나 하고 잠깐 기대 해본 내가 밉다']",살려줘요 - 본전 - 없애고 - 절대 - 주식이 - 환짜나 - 이런 - 오늘 - 검찰조사하고 - 개발했다고,0.849442360031205,False
무슨일,0,0_이상_gae_같이_간만에,"['이상', 'gae', '같이', '간만에', '계속', '구십프로', '구주주', '개잡주인줄', '푸르구나', '그래디언트']","['누군가 계속 매수하네', '이상 상승했어요', '이상 하락했어요']",이상 - gae - 같이 - 간만에 - 계속 - 구십프로 - 구주주 - 개잡주인줄 - 푸르구나 - 그래디언트,0.9783048225739385,False
옵트론텍 저평가 속 프리즘 양산 모멘텀,-1,-1_옵트론텍_기술_환기_주식,"['옵트론텍', '기술', '환기', '주식', '임지윤', '환기종목', '시디즈', '양산', '개발', '자율주행']","['옵트론텍 저평가 속 프리즘 양산 모멘텀', '임지윤 옵트론텍 관련', '옵트론텍']",옵트론텍 - 기술 - 환기 - 주식 - 임지윤 - 환기종목 - 시디즈 - 양산 - 개발 - 자율주행,0.0,True
