Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
게시판 글은 여론조사 개념으로 회사는,-1,-1_바이오_공매도_유한양행_개념으로,"['바이오', '공매도', '유한양행', '개념으로', 'per이', '개인들은', '거의', '거래량', '계실까요', '게시판']","['미국장 바이오 거의 다 불기둥', '내년 대변화 조짐 제약바이오 K 바이오 전', '유한양행 바이오 상승이유 순환매 금리인하 전']",바이오 - 공매도 - 유한양행 - 개념으로 - per이 - 개인들은 - 거의 - 거래량 - 계실까요 - 게시판,0.0,False
여기가,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,1.0,False
누구 맘대로 봉사상 천만원씩 뿌리고 있냐,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,1.0,False
유한아,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,0.9239789553825748,False
뭣같은 종목,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,1.0,False
글로벌 제약사 위를 간다고,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,0.6198095337155924,False
유한 양갱 암덩어리,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,1.0,True
진짜 궁금한데 개인들은 이걸 왜 살까,-1,-1_바이오_공매도_유한양행_개념으로,"['바이오', '공매도', '유한양행', '개념으로', 'per이', '개인들은', '거의', '거래량', '계실까요', '게시판']","['미국장 바이오 거의 다 불기둥', '내년 대변화 조짐 제약바이오 K 바이오 전', '유한양행 바이오 상승이유 순환매 금리인하 전']",바이오 - 공매도 - 유한양행 - 개념으로 - per이 - 개인들은 - 거의 - 거래량 - 계실까요 - 게시판,0.0,False
아니 왜 이렇게 욕을해,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,0.8936586377574262,False
더 빠지겠네,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,0.6371265374420697,False
주가부양좀 하자,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,1.0,False
장담하는데 여기 대표만 바뀌어도,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,1.0,False
암아 암아,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,1.0,False
능력자 조욱제,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,0.9041621070105726,False
욱제,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,0.9518973457167454,False
매일 내려가네,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,0.7938604265982211,False
분명 세력이 있다,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,0.8024080603466236,False
유한양행은 투자자 본인들이,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,0.7132186339372713,False
에피스 하한가 갔네,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,0.6964597847862962,False
조가야,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,1.0,False
멍 같은 조옥제,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,1.0,False
사고팔고 자전거 너무 돌리네,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,1.0,False
뉴스 도배하겠네,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,0.94751815471318,False
자자 번째 말한다,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,1.0,False
하방 뚫렸네,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,0.9298448001997224,False
이주식사는순간,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,0.7910899943015705,False
이런,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,1.0,False
슬슬 만 깨지면,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,0.8255401772221618,False
삼성 신한 제이피콤보에,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,1.0,False
정확하잖어,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,1.0,False
주식접을때가 온듯,0,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']",유한양행 - 오늘도 - 조욱제 - 오늘 - 여기 - 유한이 - 회사 - 투자자 - 사기꾼 - 내가,0.7693161550462893,False
유한이는 썩은 나무 썩은 나무에 계속 물주고,1,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']",유한 - per - 무상증자 - 암아 - 썩은 - 조옥제 - 주주가치 - 유한양행은 - 진짜 - 유한양행,1.0,True
