Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
이럴거면,1,1_아까_이거_거품주를_내가깨지고,"['아까', '이거', '거품주를', '내가깨지고', '넥장에', '기분', '깨지겟는데', '다팔았는데', '더뺀다고', '된다']","['지지 못했네 우상향 실패', '아까 넥장에 다팔았는데', '이거 영어아인교 머라 읽는지 아려주시요']",아까 - 이거 - 거품주를 - 내가깨지고 - 넥장에 - 기분 - 깨지겟는데 - 다팔았는데 - 더뺀다고 - 된다,1.0,False
전력주 년 황금기 왔다 전력주 슈,-1,-1_너무_어제_전력주_오늘,"['너무', '어제', '전력주', '오늘', '미증시', '마넌', '상승', '나스닥', '그득', '팔고']","['어제 신고가 달성하고 오늘 폭락', '전력주 년 황금기 왔다 전력주 슈', '어제 상승 갭이 너무 커서 팔고 나왔다']",너무 - 어제 - 전력주 - 오늘 - 미증시 - 마넌 - 상승 - 나스닥 - 그득 - 팔고,0.0,True
현재 미국선물 폭등중,2,2_엔비디아_미국선물_g정상회의_ai기본사회,"['엔비디아', '미국선물', 'g정상회의', 'ai기본사회', '꺼억억', '과하락', 'l자', 'ms최고경자', '수급의변화주목', '상승중']","['엔비디아', '현재 미국선물 폭등중', '엔비디아 에프터 상승으로 마감']",엔비디아 - 미국선물 - g정상회의 - ai기본사회 - 꺼억억 - 과하락 - l자 - ms최고경자 - 수급의변화주목 - 상승중,0.9421874985406979,True
개 거품 물은 주식,-1,-1_너무_어제_전력주_오늘,"['너무', '어제', '전력주', '오늘', '미증시', '마넌', '상승', '나스닥', '그득', '팔고']","['어제 신고가 달성하고 오늘 폭락', '전력주 년 황금기 왔다 전력주 슈', '어제 상승 갭이 너무 커서 팔고 나왔다']",너무 - 어제 - 전력주 - 오늘 - 미증시 - 마넌 - 상승 - 나스닥 - 그득 - 팔고,0.0,False
너무 과하면 부족한것만 못하다,-1,-1_너무_어제_전력주_오늘,"['너무', '어제', '전력주', '오늘', '미증시', '마넌', '상승', '나스닥', '그득', '팔고']","['어제 신고가 달성하고 오늘 폭락', '전력주 년 황금기 왔다 전력주 슈', '어제 상승 갭이 너무 커서 팔고 나왔다']",너무 - 어제 - 전력주 - 오늘 - 미증시 - 마넌 - 상승 - 나스닥 - 그득 - 팔고,0.0,False
신한 패대기 시작하네,-1,-1_너무_어제_전력주_오늘,"['너무', '어제', '전력주', '오늘', '미증시', '마넌', '상승', '나스닥', '그득', '팔고']","['어제 신고가 달성하고 오늘 폭락', '전력주 년 황금기 왔다 전력주 슈', '어제 상승 갭이 너무 커서 팔고 나왔다']",너무 - 어제 - 전력주 - 오늘 - 미증시 - 마넌 - 상승 - 나스닥 - 그득 - 팔고,0.0,False
살얼음판,-1,-1_너무_어제_전력주_오늘,"['너무', '어제', '전력주', '오늘', '미증시', '마넌', '상승', '나스닥', '그득', '팔고']","['어제 신고가 달성하고 오늘 폭락', '전력주 년 황금기 왔다 전력주 슈', '어제 상승 갭이 너무 커서 팔고 나왔다']",너무 - 어제 - 전력주 - 오늘 - 미증시 - 마넌 - 상승 - 나스닥 - 그득 - 팔고,0.0,False
하한가급 폭락에 반등도 없네,-1,-1_너무_어제_전력주_오늘,"['너무', '어제', '전력주', '오늘', '미증시', '마넌', '상승', '나스닥', '그득', '팔고']","['어제 신고가 달성하고 오늘 폭락', '전력주 년 황금기 왔다 전력주 슈', '어제 상승 갭이 너무 커서 팔고 나왔다']",너무 - 어제 - 전력주 - 오늘 - 미증시 - 마넌 - 상승 - 나스닥 - 그득 - 팔고,0.0,False
전력주 년 수퍼 사이클 왔다 엔,-1,-1_너무_어제_전력주_오늘,"['너무', '어제', '전력주', '오늘', '미증시', '마넌', '상승', '나스닥', '그득', '팔고']","['어제 신고가 달성하고 오늘 폭락', '전력주 년 황금기 왔다 전력주 슈', '어제 상승 갭이 너무 커서 팔고 나왔다']",너무 - 어제 - 전력주 - 오늘 - 미증시 - 마넌 - 상승 - 나스닥 - 그득 - 팔고,0.0,False
장이 안좋은데 방어를 잘 하네요,-1,-1_너무_어제_전력주_오늘,"['너무', '어제', '전력주', '오늘', '미증시', '마넌', '상승', '나스닥', '그득', '팔고']","['어제 신고가 달성하고 오늘 폭락', '전력주 년 황금기 왔다 전력주 슈', '어제 상승 갭이 너무 커서 팔고 나왔다']",너무 - 어제 - 전력주 - 오늘 - 미증시 - 마넌 - 상승 - 나스닥 - 그득 - 팔고,0.0,False
