Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
이것은 정말 잘못된 것 같습니다,0,0_반도체_이제_sk피크아웃닉스_개미들이,"['반도체', '이제', 'sk피크아웃닉스', '개미들이', '개잡주물타는거보다', '갔네', '같습니다', '겁니까', '계속', '공매좀']","['아직도 이걸 이해 못하는 사람들을 보면', '남의 뒤나 캐고 실실 쪼개면 좋은가요', '이제 주도주가 삼전으로 갔네 이잡']",반도체 - 이제 - sk피크아웃닉스 - 개미들이 - 개잡주물타는거보다 - 갔네 - 같습니다 - 겁니까 - 계속 - 공매좀,1.0,False
또 오르겠죠,-1,-1_현대차_오늘_배당_하락,"['현대차', '오늘', '배당', '하락', '환율', '트럼프', '오늘도', 'tong', '있나요', '일째']","['이번 분기 말고 올해 추가 배당 있나요', '현대차 관세 프로 적용받고 있나요', '오늘 하락 예정']",현대차 - 오늘 - 배당 - 하락 - 환율 - 트럼프 - 오늘도 - tong - 있나요 - 일째,0.0,False
동시호가 보믄,1,1_feat_걸래차_게c_계열사,"['feat', '걸래차', '게c', '계열사', '관리바람', '광고성', '그만하고', '기사', '기준점이', '동시호가']","['광고성 기사', '계열사 관리바람 feat 성우하이텍', '정가야 투자 그만하고 현재 시가총액 조']",feat - 걸래차 - 게c - 계열사 - 관리바람 - 광고성 - 그만하고 - 기사 - 기준점이 - 동시호가,0.624412916065133,False
년동안 배당만 받은것만으로도,-1,-1_현대차_오늘_배당_하락,"['현대차', '오늘', '배당', '하락', '환율', '트럼프', '오늘도', 'tong', '있나요', '일째']","['이번 분기 말고 올해 추가 배당 있나요', '현대차 관세 프로 적용받고 있나요', '오늘 하락 예정']",현대차 - 오늘 - 배당 - 하락 - 환율 - 트럼프 - 오늘도 - tong - 있나요 - 일째,0.0,False
현대차 특징,-1,-1_현대차_오늘_배당_하락,"['현대차', '오늘', '배당', '하락', '환율', '트럼프', '오늘도', 'tong', '있나요', '일째']","['이번 분기 말고 올해 추가 배당 있나요', '현대차 관세 프로 적용받고 있나요', '오늘 하락 예정']",현대차 - 오늘 - 배당 - 하락 - 환율 - 트럼프 - 오늘도 - tong - 있나요 - 일째,0.0,False
걍 상폐 시켜라,0,0_반도체_이제_sk피크아웃닉스_개미들이,"['반도체', '이제', 'sk피크아웃닉스', '개미들이', '개잡주물타는거보다', '갔네', '같습니다', '겁니까', '계속', '공매좀']","['아직도 이걸 이해 못하는 사람들을 보면', '남의 뒤나 캐고 실실 쪼개면 좋은가요', '이제 주도주가 삼전으로 갔네 이잡']",반도체 - 이제 - sk피크아웃닉스 - 개미들이 - 개잡주물타는거보다 - 갔네 - 같습니다 - 겁니까 - 계속 - 공매좀,1.0,False
외넘이 노골적으로 찍어누우고있다,2,2_만원_sdi들고서_강원도산불_개만도,"['만원', 'sdi들고서', '강원도산불', '개만도', 'bd상장이', '개최', '계엄령', '기대하자', '근거를', '김흥국']","['아침에 만원 이상 좀 상승해봐라 일 하락', '제네시스 미국 매체 선정 최고의 럭셔리 자', '김흥국 개만도 못해 필요할 때만 찾아 면']",만원 - sdi들고서 - 강원도산불 - 개만도 - bd상장이 - 개최 - 계엄령 - 기대하자 - 근거를 - 김흥국,1.0,False
매수금지,-1,-1_현대차_오늘_배당_하락,"['현대차', '오늘', '배당', '하락', '환율', '트럼프', '오늘도', 'tong', '있나요', '일째']","['이번 분기 말고 올해 추가 배당 있나요', '현대차 관세 프로 적용받고 있나요', '오늘 하락 예정']",현대차 - 오늘 - 배당 - 하락 - 환율 - 트럼프 - 오늘도 - tong - 있나요 - 일째,0.0,False
그러고도 세계위 기업이냐,0,0_반도체_이제_sk피크아웃닉스_개미들이,"['반도체', '이제', 'sk피크아웃닉스', '개미들이', '개잡주물타는거보다', '갔네', '같습니다', '겁니까', '계속', '공매좀']","['아직도 이걸 이해 못하는 사람들을 보면', '남의 뒤나 캐고 실실 쪼개면 좋은가요', '이제 주도주가 삼전으로 갔네 이잡']",반도체 - 이제 - sk피크아웃닉스 - 개미들이 - 개잡주물타는거보다 - 갔네 - 같습니다 - 겁니까 - 계속 - 공매좀,0.8346874944706916,False
오래된 종목의,1,1_feat_걸래차_게c_계열사,"['feat', '걸래차', '게c', '계열사', '관리바람', '광고성', '그만하고', '기사', '기준점이', '동시호가']","['광고성 기사', '계열사 관리바람 feat 성우하이텍', '정가야 투자 그만하고 현재 시가총액 조']",feat - 걸래차 - 게c - 계열사 - 관리바람 - 광고성 - 그만하고 - 기사 - 기준점이 - 동시호가,0.9777340273074047,False
현대차 는 반드시 국민주식 만들자,3,3_현대차는_현대차_가격이다_국민주식,"['현대차는', '현대차', '가격이다', '국민주식', '고환율', '그룹에', '누르기', '만들자', '리포트', '러우종결']","['현대차는 진짜 말도 안되는 가격이다', '현대차는', '현대차는 로봇회사가 아니야 현대차 그룹에 로']",현대차는 - 현대차 - 가격이다 - 국민주식 - 고환율 - 그룹에 - 누르기 - 만들자 - 리포트 - 러우종결,1.0,False
만원,-1,-1_현대차_오늘_배당_하락,"['현대차', '오늘', '배당', '하락', '환율', '트럼프', '오늘도', 'tong', '있나요', '일째']","['이번 분기 말고 올해 추가 배당 있나요', '현대차 관세 프로 적용받고 있나요', '오늘 하락 예정']",현대차 - 오늘 - 배당 - 하락 - 환율 - 트럼프 - 오늘도 - tong - 있나요 - 일째,0.0,False
이거 상장폐지 되나요,0,0_반도체_이제_sk피크아웃닉스_개미들이,"['반도체', '이제', 'sk피크아웃닉스', '개미들이', '개잡주물타는거보다', '갔네', '같습니다', '겁니까', '계속', '공매좀']","['아직도 이걸 이해 못하는 사람들을 보면', '남의 뒤나 캐고 실실 쪼개면 좋은가요', '이제 주도주가 삼전으로 갔네 이잡']",반도체 - 이제 - sk피크아웃닉스 - 개미들이 - 개잡주물타는거보다 - 갔네 - 같습니다 - 겁니까 - 계속 - 공매좀,1.0,False
낼도 떨어지려나,0,0_반도체_이제_sk피크아웃닉스_개미들이,"['반도체', '이제', 'sk피크아웃닉스', '개미들이', '개잡주물타는거보다', '갔네', '같습니다', '겁니까', '계속', '공매좀']","['아직도 이걸 이해 못하는 사람들을 보면', '남의 뒤나 캐고 실실 쪼개면 좋은가요', '이제 주도주가 삼전으로 갔네 이잡']",반도체 - 이제 - sk피크아웃닉스 - 개미들이 - 개잡주물타는거보다 - 갔네 - 같습니다 - 겁니까 - 계속 - 공매좀,1.0,False
여러분의 선택은,-1,-1_현대차_오늘_배당_하락,"['현대차', '오늘', '배당', '하락', '환율', '트럼프', '오늘도', 'tong', '있나요', '일째']","['이번 분기 말고 올해 추가 배당 있나요', '현대차 관세 프로 적용받고 있나요', '오늘 하락 예정']",현대차 - 오늘 - 배당 - 하락 - 환율 - 트럼프 - 오늘도 - tong - 있나요 - 일째,0.0,False
