Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
물타고 물타고 오늘의 평단,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,0.9873718523228845,False
자 이제,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,1.0,False
체결이 왜 이따위냐,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,0.9638707157921722,False
러 우 종전 그러던데,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,1.0,False
언제올까,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,0.6628183198591322,False
이집트 플랜트사업,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,0.6924179347082451,False
내꺼 오늘 매매동태,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,0.8245740970251536,True
대한항공말구,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,0.856824573393823,False
오늘 벌은거 읍지만 잘빼고 잘넣,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,1.0,False
부들부들,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,0.966018327636148,False
진짜 코스피 오를떈 꿈쩍오 안하면,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,1.0,False
미장 무슨일 있나요,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,0.8435150343686793,False
이건 뭐지,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,0.9427364597730608,False
내꺼 원에,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,1.0,True
삼성E A 공장조기착공 최대 수,1,1_삼성e_ai_갈취_ai시그널,"['삼성e', 'ai', '갈취', 'ai시그널', '공장조기착공', '개인자금', '삼성', '본사', '방법', '근무하는']","['배 주가상승 딱 좋은 삼성E A', '삼성E A 공장조기착공 최대 수', '삼성e a 가 폭락한 원인']",삼성e - ai - 갈취 - ai시그널 - 공장조기착공 - 개인자금 - 삼성 - 본사 - 방법 - 근무하는,1.0,True
아직 때가 아닌가벼,0,0_오늘_내꺼_어제_진짜,"['오늘', '내꺼', '어제', '진짜', '기관', '원에', '외인이', '이건', '주식', '삼성전자']","['내꺼 원에', '내꺼 오늘 매매동태', '오늘 장']",오늘 - 내꺼 - 어제 - 진짜 - 기관 - 원에 - 외인이 - 이건 - 주식 - 삼성전자,0.9469028694558467,False
