Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
외인 프로그램 양아치 신한,-1,-1_외인_대한전선_하락_만원,"['외인', '대한전선', '하락', '만원', '연속', '전기', '좋은', '신한', '시장이', '개미']","['외인 프로그램 양아치 신한', '외인 프로그램 신한', '대한전선 일 연속 하락']",외인 - 대한전선 - 하락 - 만원 - 연속 - 전기 - 좋은 - 신한 - 시장이 - 개미,0.0,True
샀으면 걍 들고있어 사팔사팔 말고,-1,-1_외인_대한전선_하락_만원,"['외인', '대한전선', '하락', '만원', '연속', '전기', '좋은', '신한', '시장이', '개미']","['외인 프로그램 양아치 신한', '외인 프로그램 신한', '대한전선 일 연속 하락']",외인 - 대한전선 - 하락 - 만원 - 연속 - 전기 - 좋은 - 신한 - 시장이 - 개미,0.0,False
년전 옥순이,1,1_대한전선_뒤통수_년전_구멍가계,"['대한전선', '뒤통수', '년전', '구멍가계', '개잡주', '대한', '옥순이', '예언', '세력의', '심리']","['세력의 심리', '년전 옥순이', '뒤통수 치는 대한전선']",대한전선 - 뒤통수 - 년전 - 구멍가계 - 개잡주 - 대한 - 옥순이 - 예언 - 세력의 - 심리,0.7318018596769528,True
뒤통수 치는 대한전선,1,1_대한전선_뒤통수_년전_구멍가계,"['대한전선', '뒤통수', '년전', '구멍가계', '개잡주', '대한', '옥순이', '예언', '세력의', '심리']","['세력의 심리', '년전 옥순이', '뒤통수 치는 대한전선']",대한전선 - 뒤통수 - 년전 - 구멍가계 - 개잡주 - 대한 - 옥순이 - 예언 - 세력의 - 심리,0.7382416983993492,True
이렇게 댕슈류 기 같은 주식은,-1,-1_외인_대한전선_하락_만원,"['외인', '대한전선', '하락', '만원', '연속', '전기', '좋은', '신한', '시장이', '개미']","['외인 프로그램 양아치 신한', '외인 프로그램 신한', '대한전선 일 연속 하락']",외인 - 대한전선 - 하락 - 만원 - 연속 - 전기 - 좋은 - 신한 - 시장이 - 개미,0.0,False
장투이건 중단투이건,0,0_이제_하한가_만주_금요일,"['이제', '하한가', '만주', '금요일', '배당', '이건', '상승', '사라', '안티들', '원까지']","['전라도 대한전선 월요일 하한가 대폭락', '금요일 폭락 시키고 오늘 낙폭을 만회 하지 못', '금요일 흐름봐서는 이제 대한전선']",이제 - 하한가 - 만주 - 금요일 - 배당 - 이건 - 상승 - 사라 - 안티들 - 원까지,0.9389218391018197,False
개미가 공매도 치는 물량들을 소화시킬 수 있,-1,-1_외인_대한전선_하락_만원,"['외인', '대한전선', '하락', '만원', '연속', '전기', '좋은', '신한', '시장이', '개미']","['외인 프로그램 양아치 신한', '외인 프로그램 신한', '대한전선 일 연속 하락']",외인 - 대한전선 - 하락 - 만원 - 연속 - 전기 - 좋은 - 신한 - 시장이 - 개미,0.0,False
내일도 하락,-1,-1_외인_대한전선_하락_만원,"['외인', '대한전선', '하락', '만원', '연속', '전기', '좋은', '신한', '시장이', '개미']","['외인 프로그램 양아치 신한', '외인 프로그램 신한', '대한전선 일 연속 하락']",외인 - 대한전선 - 하락 - 만원 - 연속 - 전기 - 좋은 - 신한 - 시장이 - 개미,0.0,False
더 눌러라,0,0_이제_하한가_만주_금요일,"['이제', '하한가', '만주', '금요일', '배당', '이건', '상승', '사라', '안티들', '원까지']","['전라도 대한전선 월요일 하한가 대폭락', '금요일 폭락 시키고 오늘 낙폭을 만회 하지 못', '금요일 흐름봐서는 이제 대한전선']",이제 - 하한가 - 만주 - 금요일 - 배당 - 이건 - 상승 - 사라 - 안티들 - 원까지,1.0,False
계산이,-1,-1_외인_대한전선_하락_만원,"['외인', '대한전선', '하락', '만원', '연속', '전기', '좋은', '신한', '시장이', '개미']","['외인 프로그램 양아치 신한', '외인 프로그램 신한', '대한전선 일 연속 하락']",외인 - 대한전선 - 하락 - 만원 - 연속 - 전기 - 좋은 - 신한 - 시장이 - 개미,0.0,False
내일은 상승 할꺼에욤,0,0_이제_하한가_만주_금요일,"['이제', '하한가', '만주', '금요일', '배당', '이건', '상승', '사라', '안티들', '원까지']","['전라도 대한전선 월요일 하한가 대폭락', '금요일 폭락 시키고 오늘 낙폭을 만회 하지 못', '금요일 흐름봐서는 이제 대한전선']",이제 - 하한가 - 만주 - 금요일 - 배당 - 이건 - 상승 - 사라 - 안티들 - 원까지,0.916453224620782,False
외인들,-1,-1_외인_대한전선_하락_만원,"['외인', '대한전선', '하락', '만원', '연속', '전기', '좋은', '신한', '시장이', '개미']","['외인 프로그램 양아치 신한', '외인 프로그램 신한', '대한전선 일 연속 하락']",외인 - 대한전선 - 하락 - 만원 - 연속 - 전기 - 좋은 - 신한 - 시장이 - 개미,0.0,False
드럽네,0,0_이제_하한가_만주_금요일,"['이제', '하한가', '만주', '금요일', '배당', '이건', '상승', '사라', '안티들', '원까지']","['전라도 대한전선 월요일 하한가 대폭락', '금요일 폭락 시키고 오늘 낙폭을 만회 하지 못', '금요일 흐름봐서는 이제 대한전선']",이제 - 하한가 - 만주 - 금요일 - 배당 - 이건 - 상승 - 사라 - 안티들 - 원까지,1.0,False
