Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
진심 재공시를 기대한거임,-1,-1_형들_고객사_유리기판_마지막,"['형들', '고객사', '유리기판', '마지막', '긍정결과', '동박', '인증', '봐봐', '프로세스를', '오늘이']","['형들 봐봐', '글라스기판은 고객사 인증 프로세스를 시작', '글라스기판은 고객사 인증 프로세스를 시']",형들 - 고객사 - 유리기판 - 마지막 - 긍정결과 - 동박 - 인증 - 봐봐 - 프로세스를 - 오늘이,0.0,False
딱보면 모르나,0,0_코스피_만원_형들_내가,"['코스피', '만원', '형들', '내가', '가네요', '가자', 'eve', 'skc가', '곧상패각이나', '과연']","['근데형들 내가 팩트 체크하나만 해줄게', 'SK온 EVE 합작공장 지분 맞교환 옌청', '요번 코스피 조정 할때 만원 한번 째려본다']",코스피 - 만원 - 형들 - 내가 - 가네요 - 가자 - eve - skc가 - 곧상패각이나 - 과연,0.8061091524130067,False
사나이 박춘배다,0,0_코스피_만원_형들_내가,"['코스피', '만원', '형들', '내가', '가네요', '가자', 'eve', 'skc가', '곧상패각이나', '과연']","['근데형들 내가 팩트 체크하나만 해줄게', 'SK온 EVE 합작공장 지분 맞교환 옌청', '요번 코스피 조정 할때 만원 한번 째려본다']",코스피 - 만원 - 형들 - 내가 - 가네요 - 가자 - eve - skc가 - 곧상패각이나 - 과연,0.9043908713750641,False
개월 장난하냐,2,2_차단_ai몰빵팀장이다_개미들은_가겠다,"['차단', 'ai몰빵팀장이다', '개미들은', '가겠다', '꿈깨라', '깨지겠네', '나스닥', '개월', '물려따', '내일은만깨지는날']","['만까지 가겠다 나야뭐', 'AI몰빵팀장이다 이눔은 자에 사야지', '차단 참 좋다 ama 어험 도 차단']",차단 - ai몰빵팀장이다 - 개미들은 - 가겠다 - 꿈깨라 - 깨지겠네 - 나스닥 - 개월 - 물려따 - 내일은만깨지는날,1.0,False
사실무근 튀자,-1,-1_형들_고객사_유리기판_마지막,"['형들', '고객사', '유리기판', '마지막', '긍정결과', '동박', '인증', '봐봐', '프로세스를', '오늘이']","['형들 봐봐', '글라스기판은 고객사 인증 프로세스를 시작', '글라스기판은 고객사 인증 프로세스를 시']",형들 - 고객사 - 유리기판 - 마지막 - 긍정결과 - 동박 - 인증 - 봐봐 - 프로세스를 - 오늘이,0.0,False
장마감 후 공시,1,1_종목_skc_lg엔솔동박_isc가,"['종목', 'skc', 'lg엔솔동박', 'isc가', '기본', '가능성', '가면', '개잡주', '갭하락은', '공매견들']","['드러운 종목', '풍문 재공시를 기대한다는것 부터가', '모든 투자의 책임은 본인에게 있다']",종목 - skc - lg엔솔동박 - isc가 - 기본 - 가능성 - 가면 - 개잡주 - 갭하락은 - 공매견들,0.8545275562721696,False
글라스기판은 고객사 인증 프로세스를 시,-1,-1_형들_고객사_유리기판_마지막,"['형들', '고객사', '유리기판', '마지막', '긍정결과', '동박', '인증', '봐봐', '프로세스를', '오늘이']","['형들 봐봐', '글라스기판은 고객사 인증 프로세스를 시작', '글라스기판은 고객사 인증 프로세스를 시']",형들 - 고객사 - 유리기판 - 마지막 - 긍정결과 - 동박 - 인증 - 봐봐 - 프로세스를 - 오늘이,0.0,True
공시 실망감으로 내일은 개급이냐,-1,-1_형들_고객사_유리기판_마지막,"['형들', '고객사', '유리기판', '마지막', '긍정결과', '동박', '인증', '봐봐', '프로세스를', '오늘이']","['형들 봐봐', '글라스기판은 고객사 인증 프로세스를 시작', '글라스기판은 고객사 인증 프로세스를 시']",형들 - 고객사 - 유리기판 - 마지막 - 긍정결과 - 동박 - 인증 - 봐봐 - 프로세스를 - 오늘이,0.0,False
와 풍문공시 아직도 안내는거봐,0,0_코스피_만원_형들_내가,"['코스피', '만원', '형들', '내가', '가네요', '가자', 'eve', 'skc가', '곧상패각이나', '과연']","['근데형들 내가 팩트 체크하나만 해줄게', 'SK온 EVE 합작공장 지분 맞교환 옌청', '요번 코스피 조정 할때 만원 한번 째려본다']",코스피 - 만원 - 형들 - 내가 - 가네요 - 가자 - eve - skc가 - 곧상패각이나 - 과연,1.0,False
가면안돼,-1,-1_형들_고객사_유리기판_마지막,"['형들', '고객사', '유리기판', '마지막', '긍정결과', '동박', '인증', '봐봐', '프로세스를', '오늘이']","['형들 봐봐', '글라스기판은 고객사 인증 프로세스를 시작', '글라스기판은 고객사 인증 프로세스를 시']",형들 - 고객사 - 유리기판 - 마지막 - 긍정결과 - 동박 - 인증 - 봐봐 - 프로세스를 - 오늘이,0.0,False
