Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
배당이나 많이 주세요,0,0_만원_배당이나_이런_이렇게,"['만원', '배당이나', '이런', '이렇게', '효성', '애드라', '주가', '나오면', '돔황챠', '보면']","['주가 만원 향해 달린다', '세상에 이런 일이 효성 효성중공업 시총', '효성 주가 전망 차트분석 가격 개만 보면 되네']",만원 - 배당이나 - 이런 - 이렇게 - 효성 - 애드라 - 주가 - 나오면 - 돔황챠 - 보면,1.0,False
떨어질땐 무자비하게 떨어지는데 오를땐 찔금,-1,-1_떨어지면_줍줍_만원_꼴이좋네,"['떨어지면', '줍줍', '만원', '꼴이좋네', '기대합니다', '같아요', '가네', '매집하면', '몇시에', '더사면']","['떨어지면 더사면 됩니다', '떨어질땐 무자비하게 떨어지는데 오를땐 찔금', '만 이하로 떨어지면 줍줍']",떨어지면 - 줍줍 - 만원 - 꼴이좋네 - 기대합니다 - 같아요 - 가네 - 매집하면 - 몇시에 - 더사면,0.0,True
나의분석노트,1,1_요약_ai_상승_지주사,"['요약', 'ai', '상승', '지주사', '효성', '나의분석노트', '입성', '감사합니다', '효성이', '좋은']","['장 요약 배당소득세 인하 지주사', 'AI 요약 효성중공업 호원구역 재개발정비', 'AI 요약 효성이 투자경고종목으로 지정되었']",요약 - ai - 상승 - 지주사 - 효성 - 나의분석노트 - 입성 - 감사합니다 - 효성이 - 좋은,0.84782005146769,False
낼 경고 풀리는데도 나기네,0,0_만원_배당이나_이런_이렇게,"['만원', '배당이나', '이런', '이렇게', '효성', '애드라', '주가', '나오면', '돔황챠', '보면']","['주가 만원 향해 달린다', '세상에 이런 일이 효성 효성중공업 시총', '효성 주가 전망 차트분석 가격 개만 보면 되네']",만원 - 배당이나 - 이런 - 이렇게 - 효성 - 애드라 - 주가 - 나오면 - 돔황챠 - 보면,1.0,False
투기판 요즘뉴스꺼리 보면 공인들 재산공개많이,0,0_만원_배당이나_이런_이렇게,"['만원', '배당이나', '이런', '이렇게', '효성', '애드라', '주가', '나오면', '돔황챠', '보면']","['주가 만원 향해 달린다', '세상에 이런 일이 효성 효성중공업 시총', '효성 주가 전망 차트분석 가격 개만 보면 되네']",만원 - 배당이나 - 이런 - 이렇게 - 효성 - 애드라 - 주가 - 나오면 - 돔황챠 - 보면,0.9717322897180021,False
상법개정으로 난리인데 여긴 자사주가 없네,0,0_만원_배당이나_이런_이렇게,"['만원', '배당이나', '이런', '이렇게', '효성', '애드라', '주가', '나오면', '돔황챠', '보면']","['주가 만원 향해 달린다', '세상에 이런 일이 효성 효성중공업 시총', '효성 주가 전망 차트분석 가격 개만 보면 되네']",만원 - 배당이나 - 이런 - 이렇게 - 효성 - 애드라 - 주가 - 나오면 - 돔황챠 - 보면,1.0,False
흐름을보니,1,1_요약_ai_상승_지주사,"['요약', 'ai', '상승', '지주사', '효성', '나의분석노트', '입성', '감사합니다', '효성이', '좋은']","['장 요약 배당소득세 인하 지주사', 'AI 요약 효성중공업 호원구역 재개발정비', 'AI 요약 효성이 투자경고종목으로 지정되었']",요약 - ai - 상승 - 지주사 - 효성 - 나의분석노트 - 입성 - 감사합니다 - 효성이 - 좋은,1.0,False
좋은 날,1,1_요약_ai_상승_지주사,"['요약', 'ai', '상승', '지주사', '효성', '나의분석노트', '입성', '감사합니다', '효성이', '좋은']","['장 요약 배당소득세 인하 지주사', 'AI 요약 효성중공업 호원구역 재개발정비', 'AI 요약 효성이 투자경고종목으로 지정되었']",요약 - ai - 상승 - 지주사 - 효성 - 나의분석노트 - 입성 - 감사합니다 - 효성이 - 좋은,1.0,False
그래,1,1_요약_ai_상승_지주사,"['요약', 'ai', '상승', '지주사', '효성', '나의분석노트', '입성', '감사합니다', '효성이', '좋은']","['장 요약 배당소득세 인하 지주사', 'AI 요약 효성중공업 호원구역 재개발정비', 'AI 요약 효성이 투자경고종목으로 지정되었']",요약 - ai - 상승 - 지주사 - 효성 - 나의분석노트 - 입성 - 감사합니다 - 효성이 - 좋은,1.0,False
나의분석노트 월요일 상승 하락,1,1_요약_ai_상승_지주사,"['요약', 'ai', '상승', '지주사', '효성', '나의분석노트', '입성', '감사합니다', '효성이', '좋은']","['장 요약 배당소득세 인하 지주사', 'AI 요약 효성중공업 호원구역 재개발정비', 'AI 요약 효성이 투자경고종목으로 지정되었']",요약 - ai - 상승 - 지주사 - 효성 - 나의분석노트 - 입성 - 감사합니다 - 효성이 - 좋은,1.0,False
